"","airport2_country","continent","pass_2018_FALSE","pass_2018_TRUE","pass_km_2018_FALSE","pass_km_2018_TRUE"
"1","Albania","Europe",148866,NA,280430448.9,NA
"2","Austria","Europe",828703,1566962,875515675,2035994533
"3","Belarus","Europe",35011,NA,67636098.2,NA
"4","Belgium","Europe",1363,1624721,1037239,787194176.2
"5","Bosnia-Herzegovina","Europe",197,NA,421245.1,NA
"6","Bulgaria","Europe",1843155,NA,4078521969,NA
"7","Croatia","Europe",1661554,NA,2737106338.5,NA
"8","Czech Republic","Europe",219179,2051200,265867492.1,2246406408.1
"9","Denmark","Europe",230591,3361673,197775259.9,3208919068.5
"10","Estonia","Europe",179785,NA,320216960.8,NA
"11","Faroe Islands","Europe",15810,NA,11443224.8,NA
"12","Finland","Europe",1407108,NA,2678565769.2,NA
"13","France","Europe",997883,12495490,945727505.3,9341122591.9
"14","Germany","Europe",333943,14770762,253901085.7,11964543687.4
"15","Gibraltar","Europe",NA,435195,NA,760377641.5
"16","Greece","Europe",7698601,NA,19455582647.7,NA
"17","Guernsey","Europe",943393,NA,233490136.1,NA
"18","Hungary","Europe",2256345,NA,3475810112.5,NA
"19","Iceland","Europe",1601261,NA,2877836350.7,NA
"20","Irish Republic","Europe",13008093,NA,5551957120.4,NA
"21","Isle of Man","Europe",546496,NA,205786497.1,NA
"22","Italy","Europe",2626357,13779358,4386891793.7,17342311367
"23","Jersey","Europe",2184049,NA,652053615.1,NA
"24","Kosovo","Europe",56374,NA,107767996,NA
"25","Latvia","Europe",828698,NA,1378449772.6,NA
"26","Lithuania","Europe",1181742,NA,2001773954.5,NA
"27","Luxembourg","Europe",470,554842,287499,281241825.4
"28","Macedonia","Europe",85330,NA,170282318.5,NA
"29","Malta","Europe",1673142,NA,3712611133.4,NA
"30","Netherlands","Europe",1139819,9857956,642751045.4,4345049003.1
"31","Norway","Europe",882901,1697203,865114721.7,1998280766.9
"32","Poland","Europe",1840311,6163829,2774574491.2,8557138815.9
"33","Portugal","Europe",962101,7214714,2269686950.7,12093992341.6
"34","Republic of Moldova","Europe",185029,NA,400658718.2,NA
"35","Republic of Montenegro","Europe",60877,NA,110538834.7,NA
"36","Republic of Serbia","Europe",200227,NA,348089958.9,NA
"37","Romania","Europe",2948904,NA,6026264567.6,NA
"38","Russia","Europe",871345,NA,2151236801.4,NA
"39","Slovak Republic","Europe",217538,491099,338662391.4,672432357.7
"40","Slovenia","Europe",250448,NA,306603305.9,NA
"41","Spain","Europe",19695510,24137469,45020117312.4,35875214890.4
"42","Sweden","Europe",83711,2741183,118434017.1,3697553512.7
"43","Switzerland","Europe",45314,5829765,51089812.3,4777498445.7
"44","Ukraine","Europe",399715,NA,854033657.3,NA
"45","United Kingdom","Europe",22464981,20504030,9227008017.4,9946359961.5
