rundate,report_period,airport_name,this_year_pax,this_year_total_pax,Five_years_prev_pax,Five_years_prev_pax_total
17/03/2016 11:27,2015,HEATHROW,74953981,251478601,65745250,210655826
17/03/2016 11:27,2015,GATWICK,40260068,251478601,31342263,210655826
17/03/2016 11:27,2015,MANCHESTER,23094593,251478601,17662699,210655826
17/03/2016 11:27,2015,STANSTED,22513443,251478601,18561598,210655826
17/03/2016 11:27,2015,LUTON,12262581,251478601,8733837,210655826
17/03/2016 11:27,2015,EDINBURGH,11113386,251478601,8594449,210655826
17/03/2016 11:27,2015,BIRMINGHAM,10180059,251478601,8563505,210655826
17/03/2016 11:27,2015,GLASGOW,8709531,251478601,6521765,210655826
17/03/2016 11:27,2015,BRISTOL,6781195,251478601,5723182,210655826
17/03/2016 11:27,2015,NEWCASTLE,4559848,251478601,4345952,210655826
17/03/2016 11:27,2015,EAST MIDLANDS INTERNATIONAL,4446219,251478601,4110529,210655826
17/03/2016 11:27,2015,BELFAST INTERNATIONAL,4389861,251478601,4010972,210655826
17/03/2016 11:27,2015,LONDON CITY,4319301,251478601,2780582,210655826
17/03/2016 11:27,2015,LIVERPOOL (JOHN LENNON),4295763,251478601,5007944,210655826
17/03/2016 11:27,2015,ABERDEEN,3469328,251478601,2763491,210655826
17/03/2016 11:27,2015,LEEDS BRADFORD,3445291,251478601,2723833,210655826
17/03/2016 11:27,2015,BELFAST CITY (GEORGE BEST),2692713,251478601,2740305,210655826
17/03/2016 11:27,2015,SOUTHAMPTON,1775638,251478601,1733553,210655826
17/03/2016 11:27,2015,CARDIFF WALES,1158383,251478601,1397864,210655826
17/03/2016 11:27,2015,SOUTHEND,900634,251478601,3583,210655826
17/03/2016 11:27,2015,DONCASTER SHEFFIELD,856592,251478601,875605,210655826
17/03/2016 11:27,2015,EXETER,821165,251478601,736680,210655826
17/03/2016 11:27,2015,BOURNEMOUTH,705433,251478601,749790,210655826
17/03/2016 11:27,2015,INVERNESS,667560,251478601,528447,210655826
17/03/2016 11:27,2015,PRESTWICK,609589,251478601,1659946,210655826
17/03/2016 11:27,2015,NORWICH,459664,251478601,425662,210655826
17/03/2016 11:27,2015,CITY OF DERRY (EGLINTON),284482,251478601,338505,210655826
17/03/2016 11:27,2015,SUMBURGH,270126,251478601,139171,210655826
17/03/2016 11:27,2015,SCATSTA,253526,251478601,279442,210655826
17/03/2016 11:27,2015,NEWQUAY,250278,251478601,285271,210655826
17/03/2016 11:27,2015,HUMBERSIDE,221190,251478601,282583,210655826
17/03/2016 11:27,2015,KIRKWALL,149524,251478601,129022,210655826
17/03/2016 11:27,2015,DURHAM TEES VALLEY,140373,251478601,224673,210655826
17/03/2016 11:27,2015,STORNOWAY,124984,251478601,112226,210655826
17/03/2016 11:27,2015,ISLES OF SCILLY (ST.MARYS),94718,251478601,113365,210655826
17/03/2016 11:27,2015,LANDS END (ST JUST),53704,251478601,29509,210655826
17/03/2016 11:27,2015,BLACKPOOL,33494,251478601,235340,210655826
17/03/2016 11:27,2015,BENBECULA,32125,251478601,30023,210655826
17/03/2016 11:27,2015,ISLAY,28993,251478601,24946,210655826
17/03/2016 11:27,2015,WICK JOHN O GROATS,24152,251478601,22299,210655826
17/03/2016 11:27,2015,DUNDEE,21942,251478601,70360,210655826
17/03/2016 11:27,2015,GLOUCESTERSHIRE,12253,251478601,16238,210655826
17/03/2016 11:27,2015,BARRA,10658,251478601,10192,210655826
17/03/2016 11:27,2015,TIREE,9564,251478601,7859,210655826
17/03/2016 11:27,2015,CAMPBELTOWN,8288,251478601,8682,210655826
17/03/2016 11:27,2015,CAMBRIDGE,5799,251478601,916,210655826
17/03/2016 11:27,2015,LERWICK (TINGWALL),4175,251478601,4609,210655826
17/03/2016 11:27,2015,LYDD,1134,251478601,485,210655826
17/03/2016 11:27,2015,BIGGIN HILL,644,251478601,0,210655826
17/03/2016 11:27,2015,SHOREHAM,490,251478601,866,210655826
17/03/2016 11:27,2015,OXFORD (KIDLINGTON),166,251478601,2186,210655826
17/03/2016 11:27,2015,ISLES OF SCILLY (TRESCO),0,251478601,32113,210655826
17/03/2016 11:27,2015,MANSTON (KENT INT),0,251478601,25692,210655826
17/03/2016 11:27,2015,PENZANCE HELIPORT,0,251478601,89469,210655826
17/03/2016 11:27,2015,PLYMOUTH,0,251478601,96498,210655826
