rundate,report_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,atms_shd,atms_cht,term_shd_pax,term_cht_pax,trans_shd_pax,trans_cht_pax,shd_frt,cht_frt,shd_mail,cht_mail
17/03/2016 11:29,2015,1,1,London Area Airports,GATWICK,242213,20426,36155343,4104725,5680,3339,67501.297,5869.838,5493.482,28.147
17/03/2016 11:29,2015,1,1,London Area Airports,HEATHROW,469658,2473,74814273,139708,31767,0,1460531.621,36019.352,94931.129,44.034
17/03/2016 11:29,2015,1,1,London Area Airports,LONDON CITY,79250,4400,4319281,20,0,0,23.945,0,1437.868,0
17/03/2016 11:29,2015,1,1,London Area Airports,LUTON,80808,11197,11806102,456479,783,141,4101.423,23906.388,0,0
17/03/2016 11:29,2015,1,1,London Area Airports,SOUTHEND,8913,1072,894287,6347,14,0,0.045,4.728,0,0
17/03/2016 11:29,2015,1,1,London Area Airports,STANSTED,142833,13080,21909281,604162,3772,1963,52255.189,155741.161,22.868,19092.105
17/03/2016 11:29,2015,1,2,Miscellaneous,METRO LONDON HELIPORT,0,2166,0,0,0,0,0,0,0,0
17/03/2016 11:29,2015,1,3,Other UK Airports,ABERDEEN,51113,49602,2642216,827112,190,7,921.78,5623.675,6.061,1522.194
17/03/2016 11:29,2015,1,3,Other UK Airports,BARRA,947,5,10658,0,0,0,15.122,0,0.044,0
17/03/2016 11:29,2015,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),40476,849,2682431,10282,0,0,550.862,0,0,0
17/03/2016 11:29,2015,1,3,Other UK Airports,BELFAST INTERNATIONAL,30516,7532,4100345,289516,404,1027,34.141,30354.548,0.378,16770.796
17/03/2016 11:29,2015,1,3,Other UK Airports,BENBECULA,1692,1307,32125,0,21,0,6.014,0,1.769,0
17/03/2016 11:29,2015,1,3,Other UK Airports,BIGGIN HILL,0,7452,0,644,0,0,0,0,0,0
17/03/2016 11:29,2015,1,3,Other UK Airports,BIRMINGHAM,81125,8944,8552805,1627254,2278,4785,6940.284,223.559,112.57,0
17/03/2016 11:29,2015,1,3,Other UK Airports,BLACKPOOL,1046,6784,10339,23155,0,0,0,0,0,0
17/03/2016 11:29,2015,1,3,Other UK Airports,BOURNEMOUTH,5602,3300,527895,177538,1077,266,0,1565.4,47.692,7227.373
17/03/2016 11:29,2015,1,3,Other UK Airports,BRISTOL,49234,6715,5958476,822719,65,5530,0.02,0.206,0.881,1.554
17/03/2016 11:29,2015,1,3,Other UK Airports,CAMBRIDGE,245,186,2182,3617,0,0,0,0,0,0
17/03/2016 11:29,2015,1,3,Other UK Airports,CAMPBELTOWN,976,115,8252,36,223,0,0.322,0,0,0
17/03/2016 11:29,2015,1,3,Other UK Airports,CARDIFF WALES,10755,3340,633143,525240,1194,929,0.393,25.426,0.002,274.076
17/03/2016 11:29,2015,1,3,Other UK Airports,CARLISLE,0,570,0,0,0,0,0,0,0,0
17/03/2016 11:29,2015,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),1923,60,284238,244,3,0,0,0,0,0
17/03/2016 11:29,2015,1,3,Other UK Airports,COVENTRY,0,1921,0,0,0,0,0,2258.524,0,0
17/03/2016 11:29,2015,1,3,Other UK Airports,DONCASTER SHEFFIELD,3190,2755,450643,405949,128,389,78.801,3122.261,0,0
17/03/2016 11:29,2015,1,3,Other UK Airports,DUNDEE,1114,313,20110,1832,31,0,0,0,0,0
17/03/2016 11:29,2015,1,3,Other UK Airports,DURHAM TEES VALLEY,3868,802,136322,4051,529,0,0,0,0,0
17/03/2016 11:29,2015,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,31310,29444,3650045,796174,2332,2311,26253.581,265434.988,88.552,29839.498
17/03/2016 11:29,2015,1,3,Other UK Airports,EDINBURGH,101163,8391,10863412,249974,1023,178,1363.11,17958.896,1902.262,14457.96
17/03/2016 11:29,2015,1,3,Other UK Airports,EXETER,10904,2909,576281,244884,26,598,0.232,0.001,0.045,3531.921
17/03/2016 11:29,2015,1,3,Other UK Airports,GLASGOW,74746,8652,7747595,961936,2958,1818,12410.48,782.341,110.099,1.695
17/03/2016 11:29,2015,1,3,Other UK Airports,GLOUCESTERSHIRE,1207,402,12243,10,14,0,0,0,0,0
17/03/2016 11:29,2015,1,3,Other UK Airports,HUMBERSIDE,3975,7851,155669,65521,465,452,21.766,126.664,0.138,0.06
17/03/2016 11:29,2015,1,3,Other UK Airports,INVERNESS,10499,4334,663950,3610,1804,0,0,0,0,3.513
17/03/2016 11:29,2015,1,3,Other UK Airports,ISLAY,1611,188,28993,0,353,0,232.894,0,69.408,0
17/03/2016 11:29,2015,1,3,Other UK Airports,ISLES OF SCILLY (ST.MARYS),10585,227,94718,0,0,0,60.955,0,169.079,0
17/03/2016 11:29,2015,1,3,Other UK Airports,KIRKWALL,10566,2194,149298,226,9898,812,38.087,0.007,28.306,0.01
17/03/2016 11:29,2015,1,3,Other UK Airports,LANDS END (ST JUST),8101,229,53704,0,465,0,68.6,0,163.1,0
17/03/2016 11:29,2015,1,3,Other UK Airports,LEEDS BRADFORD,30354,1742,3320084,125207,9692,462,5.298,3.02,0,0
17/03/2016 11:29,2015,1,3,Other UK Airports,LERWICK (TINGWALL),1151,887,4166,9,92,0,0,0,0,0
