rundate,report_period,span,chunk,annus,tot_movements,tot_comm,tot_comm_atms,tot_comm_other,tot_non_comm,tot_non_comm_ac_np,tot_non_comm_tt,tot_non_comm_other
17/03/2016 11:29,2015,1991 - 2015,1,1991,2835016,1461958,1348181,113777,1373058,962419,242551,168088
17/03/2016 11:29,2015,1991 - 2015,1,1992,2768823,1537076,1427418,109658,1231747,886908,173662,171177
17/03/2016 11:29,2015,1991 - 2015,1,1993,2783301,1563669,1459812,103857,1219632,918392,141010,160230
17/03/2016 11:29,2015,1991 - 2015,1,1994,2894524,1632032,1525990,106042,1262492,929360,170812,162320
17/03/2016 11:29,2015,1991 - 2015,1,1995,3041713,1707170,1589138,118032,1334543,978947,193760,161836
17/03/2016 11:29,2015,1991 - 2015,2,1996,3045940,1789835,1663404,126431,1256105,960729,162253,133123
17/03/2016 11:29,2015,1991 - 2015,2,1997,3181458,1879558,1740251,139307,1301900,1004048,168916,128936
17/03/2016 11:29,2015,1991 - 2015,2,1998,3324787,1996909,1841464,155445,1327878,1025295,178517,124066
17/03/2016 11:29,2015,1991 - 2015,2,1999,3334999,2086088,1931711,154377,1248911,951905,183522,113484
17/03/2016 11:29,2015,1991 - 2015,2,2000,3344188,2169881,2015577,154304,1174307,916139,158841,99327
17/03/2016 11:29,2015,1991 - 2015,3,2001,3407449,2214272,2068872,145400,1193177,909483,163921,119773
17/03/2016 11:29,2015,1991 - 2015,3,2002,3268537,2182915,2067075,115840,1085622,808224,147286,130112
17/03/2016 11:29,2015,1991 - 2015,3,2003,3415890,2243703,2128020,115683,1172187,879236,163396,129555
17/03/2016 11:29,2015,1991 - 2015,3,2004,3479207,2356466,2242718,113748,1122741,824048,166490,132203
17/03/2016 11:29,2015,1991 - 2015,3,2005,3606651,2488734,2370823,117911,1117917,819542,164100,134275
17/03/2016 11:29,2015,1991 - 2015,4,2006,3589512,2543761,2417135,126626,1045751,758759,145919,141073
17/03/2016 11:29,2015,1991 - 2015,4,2007,3606090,2583520,2460919,122601,1022570,730837,157980,133753
17/03/2016 11:29,2015,1991 - 2015,4,2008,3483882,2519384,2406643,112741,964498,670147,164134,130217
17/03/2016 11:29,2015,1991 - 2015,4,2009,3202241,2290569,2194920,95649,911672,630260,163786,117626
17/03/2016 11:29,2015,1991 - 2015,4,2010,2940777,2168825,2069786,99039,771952,523968,117043,130941
17/03/2016 11:29,2015,1991 - 2015,5,2011,2958608,2210159,2115941,94218,748449,499308,125935,123206
17/03/2016 11:29,2015,1991 - 2015,5,2012,2912859,2181498,2088836,92662,731361,476850,134473,120038
17/03/2016 11:29,2015,1991 - 2015,5,2013,2889444,2195570,2106353,89217,693874,454648,125465,113761
17/03/2016 11:29,2015,1991 - 2015,5,2014,2893817,2221682,2129900,91782,672135,438788,125159,108188
17/03/2016 11:29,2015,1991 - 2015,5,2015,2945441,2274197,2180931,93266,671244,435224,117562,118458
