rundate,report_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,grand_total,air_transport,air_taxi,positioning_flights,local_movements,test_and_training,other_flights,aero_club,private_flights,official,military,business_aviation
17/03/2016 11:29,2015,1,1,London Area Airports,GATWICK,267760,262639,68,3571,2,106,135,0,49,9,3,1246
17/03/2016 11:29,2015,1,1,London Area Airports,HEATHROW,474087,472131,71,1161,2,94,76,0,31,148,21,423
17/03/2016 11:29,2015,1,1,London Area Airports,LONDON CITY,84753,83650,4399,612,0,250,1,0,0,0,0,240
17/03/2016 11:29,2015,1,1,London Area Airports,LUTON,114083,92005,4565,6590,1,134,412,0,755,65,6,14115
17/03/2016 11:29,2015,1,1,London Area Airports,SOUTHEND,23538,9985,1010,959,449,1212,116,6784,3300,2,90,641
17/03/2016 11:29,2015,1,1,London Area Airports,STANSTED,168629,155913,1435,4830,2,110,557,0,0,70,43,7104
17/03/2016 11:29,2015,1,2,Miscellaneous,METRO LONDON HELIPORT,10352,2166,2166,2122,1808,0,1312,0,2488,12,148,296
17/03/2016 11:29,2015,1,3,Other UK Airports,ABERDEEN,112357,100715,5028,5065,0,3138,568,2592,104,1,53,121
17/03/2016 11:29,2015,1,3,Other UK Airports,BARRA,1034,952,5,6,0,0,0,0,76,0,0,0
17/03/2016 11:29,2015,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),41782,41325,754,152,18,26,6,0,190,20,14,31
17/03/2016 11:29,2015,1,3,Other UK Airports,BELFAST INTERNATIONAL,52246,38048,1775,1240,4039,238,11,898,1053,0,6211,508
17/03/2016 11:29,2015,1,3,Other UK Airports,BENBECULA,3517,2999,1307,390,5,26,0,3,42,0,51,1
17/03/2016 11:29,2015,1,3,Other UK Airports,BIGGIN HILL,50481,7452,7428,60,0,8,0,28924,9602,0,186,4249
17/03/2016 11:29,2015,1,3,Other UK Airports,BIRMINGHAM,98015,90069,232,2676,1746,215,51,100,1200,15,212,1731
