rundate,span,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,yr01,yr02,yr03,yr04,yr05,yr06,yr07,yr08,yr09,yr10,yr11,pc_change
17/03/2016 11:30,2005 - 2015,1,1,London Area Airports,GATWICK,261292,263363,266550,263653,251879,240500,251067,246987,250520,259962,267760,2.999669182
17/03/2016 11:30,2005 - 2015,1,1,London Area Airports,HEATHROW,477887,477048,481476,478693,466393,454823,480906,475176,471936,472802,474087,0.27178396
17/03/2016 11:30,2005 - 2015,1,1,London Area Airports,LONDON CITY,71105,79436,91177,94516,76861,68640,68792,70781,74006,76260,84753,11.13690008
17/03/2016 11:30,2005 - 2015,1,1,London Area Airports,LUTON,107892,116131,120238,117859,98736,94574,97574,96797,95763,101950,114083,11.90093183
17/03/2016 11:30,2005 - 2015,1,1,London Area Airports,SOUTHEND,38696,38858,39881,37227,31785,27320,25470,27715,29443,30514,23538,-22.86163728
17/03/2016 11:30,2005 - 2015,1,1,London Area Airports,STANSTED,193511,206693,208462,193282,167817,155140,148317,143511,146324,157117,168629,7.32702381
17/03/2016 11:30,2005 - 2015,1,2,Miscellaneous,METRO LONDON HELIPORT,12018,14225,13126,11326,8391,8055,8442,7170,7650,8925,10352,15.98879552
17/03/2016 11:30,2005 - 2015,1,3,Other UK Airports,ABERDEEN,109232,116971,121927,119831,109876,102396,108862,115013,118219,124282,112357,-9.595114337
17/03/2016 11:30,2005 - 2015,1,3,Other UK Airports,BARRA,1323,1321,1296,1310,1356,1252,1258,1403,966,988,1034,4.655870445
17/03/2016 11:30,2005 - 2015,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),40443,39411,43022,42990,39330,40324,41844,37189,38050,37112,41782,12.58353093
17/03/2016 11:30,2005 - 2015,1,3,Other UK Airports,BELFAST INTERNATIONAL,81350,77652,77395,77943,68813,60742,57460,58011,54003,50973,52246,2.497400585
17/03/2016 11:30,2005 - 2015,1,3,Other UK Airports,BEMBRIDGE,12475,12238,13354,15462,17460,15514,,,,,,
17/03/2016 11:30,2005 - 2015,1,3,Other UK Airports,BENBECULA,4466,4462,4810,4660,4779,4402,4366,4478,3708,3504,3517,0.371004566
17/03/2016 11:30,2005 - 2015,1,3,Other UK Airports,BIGGIN HILL,70473,65180,69244,62211,58279,49830,47354,44264,41493,45477,50481,11.00336434
17/03/2016 11:30,2005 - 2015,1,3,Other UK Airports,BIRMINGHAM,123133,119490,114679,112227,101221,95454,93145,92632,95713,97346,98015,0.687239332
17/03/2016 11:30,2005 - 2015,1,3,Other UK Airports,BLACKPOOL,76779,65990,58824,54249,52575,50905,48922,46875,41406,32776,33075,0.912252868
17/03/2016 11:30,2005 - 2015,1,3,Other UK Airports,BOURNEMOUTH,79512,75505,71742,78527,82538,55398,51799,51089,47174,43122,43020,-0.236538194
17/03/2016 11:30,2005 - 2015,1,3,Other UK Airports,BRISTOL,84289,84583,76428,76517,70245,69134,66179,61206,65299,64230,68074,5.984742332
17/03/2016 11:30,2005 - 2015,1,3,Other UK Airports,CAMBRIDGE,45285,27148,38983,42602,39573,24304,21745,17292,19785,20036,19215,-4.097624276
17/03/2016 11:30,2005 - 2015,1,3,Other UK Airports,CAMPBELTOWN,2500,3837,3674,1921,2418,2334,1993,1527,1596,1628,1520,-6.633906634
17/03/2016 11:30,2005 - 2015,1,3,Other UK Airports,CARDIFF WALES,43040,42055,43963,37123,27003,25645,29130,26842,24879,25864,25077,-3.042839468
17/03/2016 11:30,2005 - 2015,1,3,Other UK Airports,CARLISLE,24353,21597,23363,19626,21395,18419,14911,17349,17280,16427,18427,12.17507762
