rundate,report_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,total_atms,atms_shd_uk,atms_shd_fe,atms_shd_fn,atms_cht_uk,atms_cht_fe,atms_cht_fn
17/03/2016 11:30,2015,1,1,London Area Airports,GATWICK,262571,178524,29096,34593,17142,2208,1008
17/03/2016 11:30,2015,1,1,London Area Airports,HEATHROW,472060,261676,96390,111592,872,1486,44
17/03/2016 11:30,2015,1,1,London Area Airports,LONDON CITY,79251,45141,27635,6474,0,1,0
17/03/2016 11:30,2015,1,1,London Area Airports,LUTON,87440,41175,37746,1887,3216,3195,221
17/03/2016 11:30,2015,1,1,London Area Airports,SOUTHEND,8975,5846,2440,627,9,50,3
17/03/2016 11:30,2015,1,1,London Area Airports,STANSTED,154478,22714,116427,3692,6347,1395,3903
17/03/2016 11:30,2015,1,3,Other UK Airports,ABERDEEN,95687,37271,10854,2988,43870,626,78
17/03/2016 11:30,2015,1,3,Other UK Airports,BARRA,947,947,0,0,0,0,0
17/03/2016 11:30,2015,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),40571,32722,7754,0,2,92,1
17/03/2016 11:30,2015,1,3,Other UK Airports,BELFAST INTERNATIONAL,36273,29712,315,489,3451,2268,38
17/03/2016 11:30,2015,1,3,Other UK Airports,BENBECULA,1692,1692,0,0,0,0,0
17/03/2016 11:30,2015,1,3,Other UK Airports,BIGGIN HILL,24,0,0,0,16,8,0
17/03/2016 11:30,2015,1,3,Other UK Airports,BIRMINGHAM,89837,43753,29933,7439,7718,822,172
17/03/2016 11:30,2015,1,3,Other UK Airports,BLACKPOOL,6554,0,1046,0,5508,0,0
17/03/2016 11:30,2015,1,3,Other UK Airports,BOURNEMOUTH,8554,3420,2182,0,2852,97,3
17/03/2016 11:30,2015,1,3,Other UK Airports,BRISTOL,54741,33696,15538,0,5162,345,0
17/03/2016 11:30,2015,1,3,Other UK Airports,CAMBRIDGE,373,0,245,0,61,67,0
17/03/2016 11:30,2015,1,3,Other UK Airports,CAMPBELTOWN,977,976,0,0,1,0,0
17/03/2016 11:30,2015,1,3,Other UK Airports,CARDIFF WALES,14044,5439,5316,0,2796,454,39
17/03/2016 11:30,2015,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),1927,3,1920,0,2,2,0
17/03/2016 11:30,2015,1,3,Other UK Airports,COVENTRY,676,0,0,0,499,177,0
17/03/2016 11:30,2015,1,3,Other UK Airports,DONCASTER SHEFFIELD,5581,77,3112,1,2099,153,139
17/03/2016 11:30,2015,1,3,Other UK Airports,DUNDEE,1174,1114,0,0,38,22,0
17/03/2016 11:30,2015,1,3,Other UK Airports,DURHAM TEES VALLEY,3920,1898,1970,0,10,42,0
17/03/2016 11:30,2015,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,56378,16294,14571,445,11394,11783,1891
17/03/2016 11:30,2015,1,3,Other UK Airports,EDINBURGH,107211,69174,26896,5093,4200,1844,4
17/03/2016 11:30,2015,1,3,Other UK Airports,EXETER,12967,10904,0,0,1760,260,43
17/03/2016 11:30,2015,1,3,Other UK Airports,GLASGOW,80322,56299,14767,3680,4543,524,509
17/03/2016 11:30,2015,1,3,Other UK Airports,GLOUCESTERSHIRE,1210,0,1207,0,1,2,0
17/03/2016 11:30,2015,1,3,Other UK Airports,HUMBERSIDE,10911,1940,2035,0,5262,1672,2
17/03/2016 11:30,2015,1,3,Other UK Airports,INVERNESS,10581,10499,0,0,38,14,30
17/03/2016 11:30,2015,1,3,Other UK Airports,ISLAY,1611,1611,0,0,0,0,0
17/03/2016 11:30,2015,1,3,Other UK Airports,ISLES OF SCILLY (ST.MARYS),10585,10585,0,0,0,0,0
17/03/2016 11:30,2015,1,3,Other UK Airports,KIRKWALL,10701,10566,0,0,131,0,4
17/03/2016 11:30,2015,1,3,Other UK Airports,LANDS END (ST JUST),8101,8101,0,0,0,0,0
