rundate,report_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,tot_e_atm,sall_e_atm,spax_e_atm,call_e_atm,cpax_e_atm,tot_i_atm,sall_i_atm,spax_i_atm,call_i_atm,cpax_i_atm,tot_d_atm,sall_d_atm,spax_d_atm,call_d_atm,cpax_d_atm
17/03/2016 11:30,2015,1,1,London Area Airports,GATWICK,175053,162119,162119,12934,12933,55939,48577,48577,7362,7360,31579,31517,31517,62,62
17/03/2016 11:30,2015,1,1,London Area Airports,HEATHROW,209974,207881,207778,2093,653,219642,219350,218553,292,247,42444,42427,42427,17,14
17/03/2016 11:30,2015,1,1,London Area Airports,LONDON CITY,46313,46312,46312,1,1,10380,10380,10380,0,0,22558,22558,22558,0,0
17/03/2016 11:30,2015,1,1,London Area Airports,LUTON,68485,63603,63527,4882,3648,11237,9929,9760,1308,1268,7718,7276,7276,442,259
17/03/2016 11:30,2015,1,1,London Area Airports,SOUTHEND,7888,7834,7834,54,53,865,861,861,4,4,222,218,218,4,4
17/03/2016 11:30,2015,1,1,London Area Airports,STANSTED,122622,117617,116865,5005,2358,12754,9448,8505,3306,1137,19102,15768,15640,3334,17
17/03/2016 11:30,2015,1,3,Other UK Airports,ABERDEEN,10422,9713,9713,709,707,41955,5325,5324,36630,36010,43310,36075,36074,7235,6155
17/03/2016 11:30,2015,1,3,Other UK Airports,BARRA,0,0,0,0,0,0,0,0,0,0,947,947,946,0,0
17/03/2016 11:30,2015,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),1467,1396,1396,71,71,1,0,0,1,1,39103,39080,39080,23,23
17/03/2016 11:30,2015,1,3,Other UK Airports,BELFAST INTERNATIONAL,8348,7043,7043,1305,1292,1211,914,914,297,293,26714,22559,22559,4155,64
17/03/2016 11:30,2015,1,3,Other UK Airports,BENBECULA,0,0,0,0,0,0,0,0,0,0,1692,1692,1692,0,0
17/03/2016 11:30,2015,1,3,Other UK Airports,BIGGIN HILL,8,0,0,8,8,4,0,0,4,4,12,0,0,12,12
17/03/2016 11:30,2015,1,3,Other UK Airports,BIRMINGHAM,57868,51718,51718,6150,6150,11218,8699,8699,2519,2519,20751,20708,20708,43,43
17/03/2016 11:30,2015,1,3,Other UK Airports,BLACKPOOL,0,0,0,0,0,5508,0,0,5508,5508,1046,1046,1046,0,0
17/03/2016 11:30,2015,1,3,Other UK Airports,BOURNEMOUTH,4099,3244,3244,855,855,334,185,185,149,149,4121,2173,2161,1948,46
17/03/2016 11:30,2015,1,3,Other UK Airports,BRISTOL,40066,36007,36007,4059,4059,3069,2224,2224,845,845,11606,11003,11003,603,603
17/03/2016 11:30,2015,1,3,Other UK Airports,CAMBRIDGE,334,245,245,89,89,0,0,0,0,0,39,0,0,39,39
17/03/2016 11:30,2015,1,3,Other UK Airports,CAMPBELTOWN,1,0,0,1,1,0,0,0,0,0,976,976,976,0,0
