rundate,report_period,apt_group,intended_apt,actual_apt,total_flights
17/03/2016 11:39,2015,A,ABERDEEN,DUNDEE,2
17/03/2016 11:39,2015,A,ABERDEEN,DURHAM TEES VALLEY,1
17/03/2016 11:39,2015,A,ABERDEEN,EAST MIDLANDS INTERNATIONAL,1
17/03/2016 11:39,2015,A,ABERDEEN,EDINBURGH,8
17/03/2016 11:39,2015,A,ABERDEEN,GLASGOW,7
17/03/2016 11:39,2015,A,ABERDEEN,HUMBERSIDE,3
17/03/2016 11:39,2015,A,ABERDEEN,INVERNESS,10
17/03/2016 11:39,2015,A,ABERDEEN,LEEDS BRADFORD,1
17/03/2016 11:39,2015,A,ABERDEEN,MANCHESTER,1
17/03/2016 11:39,2015,A,ABERDEEN,PRESTWICK,1
17/03/2016 11:39,2015,A,ALDERNEY,GUERNSEY,3
17/03/2016 11:39,2015,A,BARRA,BENBECULA,1
17/03/2016 11:39,2015,A,BELFAST CITY (GEORGE BEST),BELFAST INTERNATIONAL,17
17/03/2016 11:39,2015,A,BELFAST INTERNATIONAL,LIVERPOOL (JOHN LENNON),1
17/03/2016 11:39,2015,A,BIGGIN HILL,LUTON,1
17/03/2016 11:39,2015,A,BIRMINGHAM,CARDIFF WALES,1
17/03/2016 11:39,2015,A,BIRMINGHAM,EAST MIDLANDS INTERNATIONAL,8
17/03/2016 11:39,2015,A,BIRMINGHAM,EDINBURGH,1
17/03/2016 11:39,2015,A,BIRMINGHAM,LIVERPOOL (JOHN LENNON),5
17/03/2016 11:39,2015,A,BIRMINGHAM,LUTON,1
17/03/2016 11:39,2015,A,BIRMINGHAM,MANCHESTER,5
17/03/2016 11:39,2015,A,BOURNEMOUTH,EXETER,1
17/03/2016 11:39,2015,A,BRISTOL,BIRMINGHAM,7
17/03/2016 11:39,2015,A,BRISTOL,BOURNEMOUTH,3
17/03/2016 11:39,2015,A,BRISTOL,CARDIFF WALES,20
17/03/2016 11:39,2015,A,BRISTOL,EXETER,2
17/03/2016 11:39,2015,A,BRISTOL,LUTON,1
17/03/2016 11:39,2015,A,BRISTOL,STANSTED,1
17/03/2016 11:39,2015,A,CARDIFF WALES,BIRMINGHAM,2
17/03/2016 11:39,2015,A,CARDIFF WALES,BRISTOL,1
17/03/2016 11:39,2015,A,CARDIFF WALES,EXETER,3
17/03/2016 11:39,2015,A,CITY OF DERRY (EGLINTON),BELFAST INTERNATIONAL,8
17/03/2016 11:39,2015,A,DONCASTER SHEFFIELD,GATWICK,1
17/03/2016 11:39,2015,A,DONCASTER SHEFFIELD,LEEDS BRADFORD,1
17/03/2016 11:39,2015,A,DONCASTER SHEFFIELD,LIVERPOOL (JOHN LENNON),1
17/03/2016 11:39,2015,A,DUNDEE,ABERDEEN,2
17/03/2016 11:39,2015,A,DUNDEE,EDINBURGH,2
17/03/2016 11:39,2015,A,DUNDEE,GLASGOW,1
17/03/2016 11:39,2015,A,DURHAM TEES VALLEY,NEWCASTLE,3
17/03/2016 11:39,2015,A,EAST MIDLANDS INTERNATIONAL,BIRMINGHAM,15
17/03/2016 11:39,2015,A,EAST MIDLANDS INTERNATIONAL,LIVERPOOL (JOHN LENNON),1
17/03/2016 11:39,2015,A,EAST MIDLANDS INTERNATIONAL,LUTON,1
17/03/2016 11:39,2015,A,EAST MIDLANDS INTERNATIONAL,MANCHESTER,3
17/03/2016 11:39,2015,A,EDINBURGH,MANCHESTER,1
17/03/2016 11:39,2015,A,EXETER,NEWQUAY,1
17/03/2016 11:39,2015,A,FARNBOROUGH,HEATHROW,1
17/03/2016 11:39,2015,A,GATWICK,BIRMINGHAM,3
17/03/2016 11:39,2015,A,GATWICK,BOURNEMOUTH,1
17/03/2016 11:39,2015,A,GATWICK,HEATHROW,1
17/03/2016 11:39,2015,A,GATWICK,LIVERPOOL (JOHN LENNON),1
17/03/2016 11:39,2015,A,GATWICK,LUTON,5
17/03/2016 11:39,2015,A,GATWICK,MANCHESTER,1
17/03/2016 11:39,2015,A,GATWICK,SOUTHAMPTON,1
17/03/2016 11:39,2015,A,GATWICK,STANSTED,6
17/03/2016 11:39,2015,A,GLASGOW,EDINBURGH,2
17/03/2016 11:39,2015,A,GLASGOW,LEEDS BRADFORD,1
17/03/2016 11:39,2015,A,GLASGOW,LUTON,1
17/03/2016 11:39,2015,A,GLASGOW,PRESTWICK,8
17/03/2016 11:39,2015,A,GUERNSEY,BOURNEMOUTH,1
17/03/2016 11:39,2015,A,GUERNSEY,EXETER,5
17/03/2016 11:39,2015,A,GUERNSEY,GATWICK,1
17/03/2016 11:39,2015,A,GUERNSEY,JERSEY,7
17/03/2016 11:39,2015,A,GUERNSEY,SOUTHAMPTON,1
