rundate,report_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,total_pax,pax_term_shd_uk,pax_tran_shd_uk,pax_term_shd_fe,pax_tran_shd_fe,pax_term_shd_fn,pax_tran_shd_fn,pax_term_cht_uk,pax_tran_cht_uk,pax_term_cht_fe,pax_tran_cht_fe,pax_term_cht_fn,pax_tran_cht_fn
17/03/2016 11:31,2015,1,1,London Area Airports,GATWICK,40269087,26499644,3731,3850213,381,5805486,1568,3609370,1749,326725,1199,168630,391
17/03/2016 11:31,2015,1,1,London Area Airports,HEATHROW,74985748,40312155,0,11633462,181,22868656,31586,133031,0,4068,0,2609,0
17/03/2016 11:31,2015,1,1,London Area Airports,LONDON CITY,4319301,2377647,0,1492828,0,448806,0,0,0,20,0,0,0
17/03/2016 11:31,2015,1,1,London Area Airports,LUTON,12263505,5829648,315,5769569,468,206885,0,422215,7,30728,107,3536,27
17/03/2016 11:31,2015,1,1,London Area Airports,SOUTHEND,900648,795806,14,89738,0,8743,0,546,0,5705,0,96,0
17/03/2016 11:31,2015,1,1,London Area Airports,STANSTED,22519178,2698322,2141,18892372,1631,318587,0,570856,206,23041,103,10265,1654
17/03/2016 11:31,2015,1,3,Other UK Airports,ABERDEEN,3469525,1774513,20,762307,170,105396,0,759949,7,54802,0,12361,0
17/03/2016 11:31,2015,1,3,Other UK Airports,BARRA,10658,10658,0,0,0,0,0,0,0,0,0,0,0
17/03/2016 11:31,2015,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),2692713,2072032,0,610399,0,0,0,97,0,10107,0,78,0
17/03/2016 11:31,2015,1,3,Other UK Airports,BELFAST INTERNATIONAL,4391292,3984168,275,46809,129,69368,0,247655,248,37729,732,4132,47
17/03/2016 11:31,2015,1,3,Other UK Airports,BENBECULA,32146,32125,21,0,0,0,0,0,0,0,0,0,0
17/03/2016 11:31,2015,1,3,Other UK Airports,BIGGIN HILL,644,0,0,0,0,0,0,352,0,292,0,0,0
17/03/2016 11:31,2015,1,3,Other UK Airports,BIRMINGHAM,10187122,3784304,1192,3409068,921,1359433,165,1516929,223,90047,883,20278,3679
17/03/2016 11:31,2015,1,3,Other UK Airports,BLACKPOOL,33494,0,0,10339,0,0,0,23155,0,0,0,0,0
17/03/2016 11:31,2015,1,3,Other UK Airports,BOURNEMOUTH,706776,160079,1077,367816,0,0,0,173237,237,3890,29,411,0
17/03/2016 11:31,2015,1,3,Other UK Airports,BRISTOL,6786790,4059191,54,1899285,11,0,0,777980,4835,44739,695,0,0
17/03/2016 11:31,2015,1,3,Other UK Airports,CAMBRIDGE,5799,0,0,2182,0,0,0,2700,0,917,0,0,0
17/03/2016 11:31,2015,1,3,Other UK Airports,CAMPBELTOWN,8511,8252,223,0,0,0,0,36,0,0,0,0,0
17/03/2016 11:31,2015,1,3,Other UK Airports,CARDIFF WALES,1160506,256366,1134,376777,60,0,0,465361,464,53501,465,6378,0
17/03/2016 11:31,2015,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),284485,29,3,284209,0,0,0,170,0,74,0,0,0
17/03/2016 11:31,2015,1,3,Other UK Airports,DONCASTER SHEFFIELD,857109,3790,128,446853,0,0,0,376353,193,15140,196,14456,0
17/03/2016 11:31,2015,1,3,Other UK Airports,DUNDEE,21973,20110,31,0,0,0,0,1470,0,362,0,0,0
17/03/2016 11:31,2015,1,3,Other UK Airports,DURHAM TEES VALLEY,140902,30599,439,105723,90,0,0,642,0,3409,0,0,0
17/03/2016 11:31,2015,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,4450862,1410437,1172,2239608,1160,0,0,781092,795,13238,1516,1844,0
17/03/2016 11:31,2015,1,3,Other UK Airports,EDINBURGH,11114587,6709166,721,3398925,302,755321,0,217259,178,32344,0,371,0
17/03/2016 11:31,2015,1,3,Other UK Airports,EXETER,821789,576281,26,0,0,0,0,208646,462,28272,136,7966,0
17/03/2016 11:31,2015,1,3,Other UK Airports,GLASGOW,8714307,5309482,1057,1665278,257,772835,1644,897413,0,58721,347,5802,1471
17/03/2016 11:31,2015,1,3,Other UK Airports,GLOUCESTERSHIRE,12267,0,0,12243,14,0,0,2,0,8,0,0,0
17/03/2016 11:31,2015,1,3,Other UK Airports,HUMBERSIDE,222107,33800,465,121869,0,0,0,40512,14,24645,438,364,0
17/03/2016 11:31,2015,1,3,Other UK Airports,INVERNESS,669364,663950,1804,0,0,0,0,855,0,548,0,2207,0
17/03/2016 11:31,2015,1,3,Other UK Airports,ISLAY,29346,28993,353,0,0,0,0,0,0,0,0,0,0
17/03/2016 11:31,2015,1,3,Other UK Airports,ISLES OF SCILLY (ST.MARYS),94718,94718,0,0,0,0,0,0,0,0,0,0,0
17/03/2016 11:31,2015,1,3,Other UK Airports,KIRKWALL,160234,149298,9898,0,0,0,0,30,812,0,0,196,0
17/03/2016 11:31,2015,1,3,Other UK Airports,LANDS END (ST JUST),54169,53704,465,0,0,0,0,0,0,0,0,0,0
