rundate,this_period,last_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,total_pax_tp,total_pax_eu_shd_tp,total_pax_eu_cht_tp,total_pax_eu_tp,total_pax_eu_lp,total_pax_eu_pc,total_pax_oi_shd_tp,total_pax_oi_cht_tp,total_pax_oi_tp,total_pax_oi_lp,total_pax_oi_pc
17/03/2016 11:40,2015,2014,1,1,London Area Airports,GATWICK,36663907,23491207,2454628,25945835,24003718,8.090900421,9070191,1647881,10718072,10437288,2.690200806
17/03/2016 11:40,2015,2014,1,1,London Area Airports,HEATHROW,69812535,25577252,102354,25679606,24519755,4.730271339,44096017,36912,44132929,43568662,1.295121193
17/03/2016 11:40,2015,2014,1,1,London Area Airports,LONDON CITY,3193335,2558008,20,2558028,2188402,16.89022446,635307,0,635307,684852,-7.234409809
17/03/2016 11:40,2015,2014,1,1,London Area Airports,LUTON,11317069,9493121,386872,9879993,8209476,20.34864426,1372267,64809,1437076,1333717,7.749694824
17/03/2016 11:40,2015,2014,1,1,London Area Airports,SOUTHEND,876670,834995,5961,840956,983872,-14.52587318,35615,99,35714,63760,-43.98682404
17/03/2016 11:40,2015,2014,1,1,London Area Airports,STANSTED,20768053,18914260,416129,19330389,17461595,10.70230961,1251041,186623,1437664,1346713,6.753554821
17/03/2016 11:40,2015,2014,1,3,Other UK Airports,ABERDEEN,1509419,687781,89565,777346,795145,-2.238459587,201071,531002,732073,813697,-10.03125286
17/03/2016 11:40,2015,2014,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),171117,161373,9666,171039,137244,24.62402725,0,78,78,0,
17/03/2016 11:40,2015,2014,1,3,Other UK Airports,BELFAST INTERNATIONAL,1436233,1026603,230411,1257014,1136064,10.64640713,124061,55158,179219,189804,-5.576805592
17/03/2016 11:40,2015,2014,1,3,Other UK Airports,BIGGIN HILL,278,0,246,246,333,-26.12612534,0,32,32,22,45.45454407
