rundate,this_period,last_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,total_pax_shd_tp,total_pax_cht_tp,total_pax_tp,total_pax_lp,total_pax_pc
17/03/2016 11:32,2015,2014,1,1,London Area Airports,GATWICK,3593945,2216,3596161,3652924,-1.553905845
17/03/2016 11:32,2015,2014,1,1,London Area Airports,HEATHROW,5141004,442,5141446,5282679,-2.673511028
17/03/2016 11:32,2015,2014,1,1,London Area Airports,LONDON CITY,1125966,0,1125966,774570,45.36658859
17/03/2016 11:32,2015,2014,1,1,London Area Airports,LUTON,940714,4798,945512,938308,0.767764926
17/03/2016 11:32,2015,2014,1,1,London Area Airports,SOUTHEND,23677,287,23964,54628,-56.13238525
17/03/2016 11:32,2015,2014,1,1,London Area Airports,STANSTED,1743980,1410,1745390,1149739,51.80749893
17/03/2016 11:32,2015,2014,1,3,Other UK Airports,ABERDEEN,1753364,206545,1959909,2114569,-7.314020157
17/03/2016 11:32,2015,2014,1,3,Other UK Airports,BARRA,10658,0,10658,10521,1.30215764
17/03/2016 11:32,2015,2014,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),2521058,538,2521596,2417867,4.290103436
17/03/2016 11:32,2015,2014,1,3,Other UK Airports,BELFAST INTERNATIONAL,2949681,3947,2953628,2705817,9.158453941
17/03/2016 11:32,2015,2014,1,3,Other UK Airports,BENBECULA,32125,0,32125,31190,2.997755766
17/03/2016 11:32,2015,2014,1,3,Other UK Airports,BIGGIN HILL,0,366,366,142,157.7464752
17/03/2016 11:32,2015,2014,1,3,Other UK Airports,BIRMINGHAM,1277990,2413,1280403,1314027,-2.55885148
17/03/2016 11:32,2015,2014,1,3,Other UK Airports,BLACKPOOL,10339,0,10339,15521,-33.38702393
17/03/2016 11:32,2015,2014,1,3,Other UK Airports,BOURNEMOUTH,82205,2219,84424,1075,7753.395508
17/03/2016 11:32,2015,2014,1,3,Other UK Airports,BRISTOL,1224167,5300,1229467,1147087,7.181669712
17/03/2016 11:32,2015,2014,1,3,Other UK Airports,CAMBRIDGE,0,1787,1787,1598,11.82728386
17/03/2016 11:32,2015,2014,1,3,Other UK Airports,CAMPBELTOWN,8252,0,8252,9331,-11.56360531
17/03/2016 11:32,2015,2014,1,3,Other UK Airports,CARDIFF WALES,163717,3627,167344,160313,4.385795116
17/03/2016 11:32,2015,2014,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),277135,207,277342,314907,-11.92891884
17/03/2016 11:32,2015,2014,1,3,Other UK Airports,DONCASTER SHEFFIELD,3377,207,3584,10259,-65.06481934
17/03/2016 11:32,2015,2014,1,3,Other UK Airports,DUNDEE,20110,1495,21605,21975,-1.683731556
17/03/2016 11:32,2015,2014,1,3,Other UK Airports,DURHAM TEES VALLEY,30599,758,31357,37659,-16.73437881
17/03/2016 11:32,2015,2014,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,414120,1057,415177,407420,1.903932095
17/03/2016 11:32,2015,2014,1,3,Other UK Airports,EDINBURGH,5195553,2272,5197825,4810866,8.043437958
17/03/2016 11:32,2015,2014,1,3,Other UK Airports,EXETER,374441,776,375217,302923,23.86547089
17/03/2016 11:32,2015,2014,1,3,Other UK Airports,GLASGOW,4097224,2285,4099509,3760616,9.01163578
17/03/2016 11:32,2015,2014,1,3,Other UK Airports,GLOUCESTERSHIRE,12243,0,12243,15141,-19.14008331
