rundate,report_period,region_num,foreign_region,foreign_country,uk_group,uk_apt,foreign_apt,ty_t_pax,ty_s_pax,ty_c_pax,ly_t_pax,ly_s_pax,ly_c_pax,pc_change
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,1,GATWICK,GRAZ,622,0,622,822,0,822,-24.33090024
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,1,GATWICK,INNSBRUCK,189040,128271,60769,175024,105878,69146,8.008044611
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,1,GATWICK,SALZBURG,141008,110710,30298,131466,100695,30771,7.258150396
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,1,GATWICK,VIENNA,203630,203529,101,156271,156271,0,30.30568692
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,1,HEATHROW,SALZBURG,1585,1585,0,0,0,0,0
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,1,HEATHROW,VIENNA,787631,787631,0,759910,759910,0,3.647931992
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,1,LUTON,GRAZ,613,0,613,90,0,90,581.1111111
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,1,LUTON,INNSBRUCK,850,782,68,0,0,0,0
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,1,LUTON,KLAGENFURT,75,0,75,50,0,50,50
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,1,LUTON,SALZBURG,8614,4841,3773,7849,4444,3405,9.746464518
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,1,LUTON,VIENNA,5498,5434,64,0,0,0,0
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,1,STANSTED,INNSBRUCK,8995,0,8995,8939,0,8939,0.626468285
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,1,STANSTED,LINZ,45734,45734,0,45075,45075,0,1.462007765
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,1,STANSTED,SALZBURG,97864,93705,4159,92637,87617,5020,5.642453879
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,1,STANSTED,VIENNA,13766,13663,103,0,0,0,0
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,BELFAST CITY (GEORGE BEST),SALZBURG,0,0,0,2663,0,2663,0
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,BELFAST INTERNATIONAL,SALZBURG,3530,0,3530,3364,2938,426,4.934601665
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,BELFAST INTERNATIONAL,VIENNA,256,256,0,141,0,141,81.56028369
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,BIRMINGHAM,INNSBRUCK,17042,0,17042,15770,0,15770,8.065948003
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,BIRMINGHAM,KLAGENFURT,0,0,0,68,0,68,0
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,BIRMINGHAM,LINZ,128,0,128,0,0,0,0
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,BIRMINGHAM,SALZBURG,14770,4242,10528,15189,561,14628,-2.758575285
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,BIRMINGHAM,VIENNA,380,0,380,0,0,0,0
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,BOURNEMOUTH,SALZBURG,117,0,117,0,0,0,0
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,BRISTOL,INNSBRUCK,19139,8634,10505,16664,8919,7745,14.85237638
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,BRISTOL,SALZBURG,9825,5688,4137,9035,4899,4136,8.743774211
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,BRISTOL,VIENNA,3373,3373,0,0,0,0,0
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,EAST MIDLANDS INTERNATIONAL,GRAZ,94,0,94,88,0,88,6.818181818
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,EAST MIDLANDS INTERNATIONAL,SALZBURG,3876,0,3876,3981,0,3981,-2.637528259
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,EAST MIDLANDS INTERNATIONAL,VIENNA,24,0,24,0,0,0,0
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,EDINBURGH,INNSBRUCK,11465,0,11465,13545,0,13545,-15.35622001
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,EDINBURGH,LINZ,377,0,377,0,0,0,0
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,EDINBURGH,SALZBURG,5051,4488,563,4185,4185,0,20.69295102
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,EDINBURGH,VIENNA,947,0,947,746,0,746,26.94369973
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,EXETER,GRAZ,240,0,240,332,0,332,-27.71084337
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,EXETER,INNSBRUCK,55,0,55,0,0,0,0
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,EXETER,KLAGENFURT,0,0,0,145,0,145,0
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,EXETER,LINZ,356,0,356,644,0,644,-44.72049689
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,EXETER,SALZBURG,321,0,321,1909,1537,372,-83.18491357
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,EXETER,VIENNA,1476,0,1476,2502,0,2502,-41.00719424
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,GLASGOW,GRAZ,413,0,413,680,0,680,-39.26470588
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,GLASGOW,INNSBRUCK,0,0,0,280,0,280,0
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,GLASGOW,LINZ,631,0,631,437,0,437,44.39359268
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,GLASGOW,SALZBURG,7767,285,7482,7701,0,7701,0.857031554
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,GLASGOW,VIENNA,2309,0,2309,2288,0,2288,0.917832168
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,HUMBERSIDE,SALZBURG,76,0,76,0,0,0,0
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,JERSEY,VIENNA,1442,1442,0,1048,0,1048,37.59541985
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,LEEDS BRADFORD,INNSBRUCK,1279,0,1279,4863,0,4863,-73.69936253
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,LEEDS BRADFORD,SALZBURG,4389,4389,0,3871,3871,0,13.38155515
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,LEEDS BRADFORD,VIENNA,278,0,278,288,0,288,-3.472222222
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,LIVERPOOL (JOHN LENNON),INNSBRUCK,4236,4236,0,4759,4759,0,-10.98970372
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,LIVERPOOL (JOHN LENNON),SALZBURG,4570,4570,0,4512,4512,0,1.285460993
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,LIVERPOOL (JOHN LENNON),VIENNA,0,0,0,89,0,89,0
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,MANCHESTER,INNSBRUCK,48977,11131,37846,43211,10604,32607,13.34382449
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,MANCHESTER,SALZBURG,35488,5824,29664,32972,5050,27922,7.630716972
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,MANCHESTER,VIENNA,50136,50129,7,25530,25530,0,96.38072855
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,NEWCASTLE,INNSBRUCK,4579,0,4579,4576,0,4576,0.065559441
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,NEWCASTLE,SALZBURG,10005,0,10005,10176,0,10176,-1.680424528
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,NEWCASTLE,VIENNA,292,292,0,265,0,265,10.18867925
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,SOUTHAMPTON,INNSBRUCK,2476,0,2476,1969,0,1969,25.74911122
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,AUSTRIA,2,SOUTHAMPTON,SALZBURG,1626,1626,0,2135,2135,0,-23.84074941
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,BELGIUM,1,GATWICK,BRUSSELS,93791,93791,0,97731,97731,0,-4.031474148
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,BELGIUM,1,HEATHROW,BRUSSELS,628148,628148,0,574569,574569,0,9.32507671
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,BELGIUM,1,LONDON CITY,ANTWERP,58548,58548,0,56379,56379,0,3.84717714
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,BELGIUM,1,LUTON,ANTWERP,0,0,0,110,0,110,0
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,BELGIUM,1,LUTON,BRUSSELS,168,0,168,105,0,105,60
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,BELGIUM,1,LUTON,CHARLEROI,0,0,0,2,0,2,0
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,BELGIUM,1,LUTON,LIEGE,99,0,99,37,0,37,167.5675676
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,BELGIUM,1,LUTON,OSTEND,74,0,74,0,0,0,0
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,BELGIUM,1,SOUTHEND,ANTWERP,663,663,0,10662,10662,0,-93.78165447
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,BELGIUM,1,STANSTED,BRUSSELS,98,0,98,0,0,0,0
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,BELGIUM,2,ABERDEEN,OSTEND,43,0,43,0,0,0,0
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,BELGIUM,2,BELFAST INTERNATIONAL,LIEGE,0,0,0,41,0,41,0
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,BELGIUM,2,BIRMINGHAM,ANTWERP,764,665,99,148,0,148,416.2162162
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,BELGIUM,2,BIRMINGHAM,BRUSSELS,143643,143643,0,119658,119658,0,20.04462719
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,BELGIUM,2,BIRMINGHAM,KORTRIJK/WEVELGEM,0,0,0,65,0,65,0
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,BELGIUM,2,BIRMINGHAM,LIEGE,0,0,0,42,0,42,0
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,BELGIUM,2,BRISTOL,ANTWERP,55,0,55,0,0,0,0
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,BELGIUM,2,BRISTOL,BRUSSELS,56638,56638,0,52484,52449,35,7.91479308
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,BELGIUM,2,CARDIFF WALES,ANTWERP,86,0,86,0,0,0,0
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,BELGIUM,2,CARDIFF WALES,BRUSSELS,217,0,217,563,0,563,-61.45648313
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,BELGIUM,2,DURHAM TEES VALLEY,LIEGE,20,0,20,34,0,34,-41.17647059
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,BELGIUM,2,EAST MIDLANDS INTERNATIONAL,BRUSSELS,23668,23592,76,21143,21143,0,11.94248688
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,BELGIUM,2,EAST MIDLANDS INTERNATIONAL,LIEGE,12,0,12,0,0,0,0
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,BELGIUM,2,EDINBURGH,BRUSSELS,100433,99928,505,89642,89306,336,12.03788403
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,BELGIUM,2,EDINBURGH,CHARLEROI,71701,71701,0,63364,63364,0,13.1573133
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,BELGIUM,2,HUMBERSIDE,ANTWERP,0,0,0,149,0,149,0
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,BELGIUM,2,HUMBERSIDE,BRUSSELS,0,0,0,49,0,49,0
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,BELGIUM,2,HUMBERSIDE,OSTEND,0,0,0,430,0,430,0
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,BELGIUM,2,ISLE OF MAN,ANTWERP,80,0,80,0,0,0,0
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,BELGIUM,2,LIVERPOOL (JOHN LENNON),ANTWERP,0,0,0,47,0,47,0
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,BELGIUM,2,LIVERPOOL (JOHN LENNON),BRUSSELS,0,0,0,82,0,82,0
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,BELGIUM,2,MANCHESTER,ANTWERP,199,0,199,0,0,0,0
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,BELGIUM,2,MANCHESTER,BRUSSELS,200093,199676,417,164827,164734,93,21.39576647
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,BELGIUM,2,MANCHESTER,CHARLEROI,183551,183551,0,166671,166671,0,10.12773668
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,BELGIUM,2,MANCHESTER,OSTEND,1688,0,1688,0,0,0,0
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,BELGIUM,2,NEWCASTLE,BRUSSELS,26403,26403,0,20549,20549,0,28.48800428
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,BELGIUM,2,OXFORD (KIDLINGTON),ANTWERP,122,0,122,0,0,0,0
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,BELGIUM,2,SOUTHAMPTON,ANTWERP,629,629,0,0,0,0,0
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,CROATIA,1,GATWICK,DUBROVNIK,199741,199109,632,191478,180560,10918,4.315378268
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,CROATIA,1,GATWICK,PULA,31582,16226,15356,15358,0,15358,105.638755
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,CROATIA,1,GATWICK,SPLIT,124661,118420,6241,112199,112199,0,11.10705086
17/03/2016 11:32,2015,1,WESTERN EUROPE-EU,CROATIA,1,GATWICK,ZAGREB,0,0,0,52971,52971,0,0
