rundate,this_period,last_period,grp_cd,grp_name,apt1_apt_name,apt2_apt_name,total_pax_tp,total_pax_shd_tp,total_pax_cht_tp,total_pax_lp,total_pax_shd_lp,total_pax_cht_lp,total_pax_pc
24/03/2016 19:19,2015,2014,A,London Area Airports,GATWICK,ABERDEEN,163184,163184,0,161816,161816,0,0.845404685
24/03/2016 19:19,2015,2014,A,London Area Airports,GATWICK,BELFAST CITY (GEORGE BEST),212897,212897,0,277800,277800,0,-23.36321068
24/03/2016 19:19,2015,2014,A,London Area Airports,GATWICK,BELFAST INTERNATIONAL,470344,470344,0,434305,434214,91,8.298085213
24/03/2016 19:19,2015,2014,A,London Area Airports,GATWICK,BIRMINGHAM,36,0,36,327,0,327,-88.99082947
24/03/2016 19:19,2015,2014,A,London Area Airports,GATWICK,BLACKPOOL,0,0,0,70,0,70,
24/03/2016 19:19,2015,2014,A,London Area Airports,GATWICK,BRISTOL,1,0,1,218,0,218,-99.54128265
24/03/2016 19:19,2015,2014,A,London Area Airports,GATWICK,CARDIFF WALES,38,0,38,228,0,228,-83.33333588
24/03/2016 19:19,2015,2014,A,London Area Airports,GATWICK,DONCASTER SHEFFIELD,37,0,37,71,0,71,-47.88732529
24/03/2016 19:19,2015,2014,A,London Area Airports,GATWICK,DURHAM TEES VALLEY,74,0,74,37,0,37,100
24/03/2016 19:19,2015,2014,A,London Area Airports,GATWICK,EAST MIDLANDS INTERNATIONAL,176,0,176,32,0,32,450
24/03/2016 19:19,2015,2014,A,London Area Airports,GATWICK,EDINBURGH,672948,672948,0,690363,690316,47,-2.522585869
24/03/2016 19:19,2015,2014,A,London Area Airports,GATWICK,GLASGOW,612497,612329,168,613254,613254,0,-0.123439878
24/03/2016 19:19,2015,2014,A,London Area Airports,GATWICK,GUERNSEY,317723,317723,0,314374,314374,0,1.065291643
24/03/2016 19:19,2015,2014,A,London Area Airports,GATWICK,HUMBERSIDE,209,0,209,35,0,35,497.1428528
24/03/2016 19:19,2015,2014,A,London Area Airports,GATWICK,INVERNESS,207074,207074,0,192924,192826,98,7.334494591
