rundate,report_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,total_freight,freight_sd_shd_uk,freight_pu_shd_uk,freight_sd_shd_fe,freight_pu_shd_fe,freight_sd_shd_fn,freight_pu_shd_fn,freight_sd_cht_uk,freight_pu_cht_uk,freight_sd_cht_fe,freight_pu_cht_fe,freight_sd_cht_fn,freight_pu_cht_fn
17/03/2016 11:37,2015,1,1,London Area Airports,GATWICK,73371.135,16064.955,24678.885,1051.556,273.007,15402.137,10030.757,3610.476,1816.606,76.219,269.437,49.718,47.382
17/03/2016 11:37,2015,1,1,London Area Airports,HEATHROW,1496550.973,331681.221,347332.261,12238.176,8381.592,391332.151,369566.22,207.329,18.422,19418.852,16188.442,39.644,146.663
17/03/2016 11:37,2015,1,1,London Area Airports,LONDON CITY,23.945,0.723,1.467,1.397,11.892,6.557,1.909,0,0,0,0,0,0
17/03/2016 11:37,2015,1,1,London Area Airports,LUTON,28007.811,28.852,60.001,25.857,51.366,2382.81,1552.537,415.586,300.624,18377.529,4193.534,361.453,257.662
17/03/2016 11:37,2015,1,1,London Area Airports,SOUTHEND,4.773,0.045,0,0,0,0,0,0,0,4.728,0,0,0
17/03/2016 11:37,2015,1,1,London Area Airports,STANSTED,207996.35,8.783,8.072,6813.427,624.523,27238.02,17562.364,60.936,85.528,21691.678,5288.083,79247.778,49367.158
17/03/2016 11:37,2015,1,3,Other UK Airports,ABERDEEN,6545.455,157.135,186.191,213.803,189.768,66.649,108.234,2310.866,2454.391,482.245,345.305,8.997,21.871
17/03/2016 11:37,2015,1,3,Other UK Airports,BARRA,15.122,15.119,0.003,0,0,0,0,0,0,0,0,0,0
17/03/2016 11:37,2015,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),550.862,134.648,185.621,95.239,135.354,0,0,0,0,0,0,0,0
17/03/2016 11:37,2015,1,3,Other UK Airports,BELFAST INTERNATIONAL,30388.689,0,0.035,0,0,19.761,14.345,52.381,46.771,18546.002,11627.159,5.043,77.192
17/03/2016 11:37,2015,1,3,Other UK Airports,BENBECULA,6.014,0.956,5.058,0,0,0,0,0,0,0,0,0,0
17/03/2016 11:37,2015,1,3,Other UK Airports,BIRMINGHAM,7163.843,24.855,60.139,66.654,61.632,3151.851,3575.153,114.072,109.47,0,0.017,0,0
17/03/2016 11:37,2015,1,3,Other UK Airports,BOURNEMOUTH,1565.4,0,0,0,0,0,0,5.09,1547.695,0,12.615,0,0
17/03/2016 11:37,2015,1,3,Other UK Airports,CARDIFF WALES,25.819,0.041,0.117,0.077,0.158,0,0,9.01,2.257,11.784,0.955,1.42,0
17/03/2016 11:37,2015,1,3,Other UK Airports,COVENTRY,2258.524,0,0,0,0,0,0,936.279,762.021,321.218,239.006,0,0
17/03/2016 11:37,2015,1,3,Other UK Airports,DONCASTER SHEFFIELD,3201.062,0,0,0,0.001,0,78.8,9.496,24.069,203.093,161.441,537.822,2186.34
17/03/2016 11:37,2015,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,291688.569,0.759,6.448,8196.711,7310.855,6100.33,4638.478,19405.813,19424.269,99362.929,89272.669,20703.092,17266.216
17/03/2016 11:37,2015,1,3,Other UK Airports,EDINBURGH,19322.006,112.342,0.088,629.343,499.916,0,121.421,83.941,132.13,10082.731,7660.094,0,0
17/03/2016 11:37,2015,1,3,Other UK Airports,GLASGOW,13192.821,312.536,346.872,37.388,50.848,2950.166,8712.67,15.067,2.373,0.131,0,393.879,370.891
17/03/2016 11:37,2015,1,3,Other UK Airports,HUMBERSIDE,148.43,2.426,19.34,0,0,0,0,28.426,72.599,9.685,15.954,0,0
17/03/2016 11:37,2015,1,3,Other UK Airports,ISLAY,232.894,111.511,121.383,0,0,0,0,0,0,0,0,0,0
17/03/2016 11:37,2015,1,3,Other UK Airports,ISLES OF SCILLY (ST.MARYS),60.955,50.747,10.208,0,0,0,0,0,0,0,0,0,0
17/03/2016 11:37,2015,1,3,Other UK Airports,KIRKWALL,38.094,10.23,27.857,0,0,0,0,0,0.007,0,0,0,0
17/03/2016 11:37,2015,1,3,Other UK Airports,LANDS END (ST JUST),68.6,10.3,58.3,0,0,0,0,0,0,0,0,0,0
17/03/2016 11:37,2015,1,3,Other UK Airports,LEEDS BRADFORD,8.318,1.733,3.345,0.22,0,0,0,0,0,2.18,0.84,0,0
17/03/2016 11:37,2015,1,3,Other UK Airports,LIVERPOOL (JOHN LENNON),197.326,42.148,114.933,0.557,39.688,0,0,0,0,0,0,0,0
17/03/2016 11:37,2015,1,3,Other UK Airports,MANCHESTER,100020.656,2707.793,5212.89,1772.578,1216.721,43732.569,34505.755,2000.627,1258.311,2527.312,2408.777,707.957,1969.366
17/03/2016 11:37,2015,1,3,Other UK Airports,NEWCASTLE,3717.123,7.792,0.274,8.673,3.328,895.829,2091.887,2.978,0.624,14.5,0,337.218,354.02
17/03/2016 11:37,2015,1,3,Other UK Airports,NORWICH,345.662,0.117,0.142,0.486,0.097,0,0,138.81,206.01,0,0,0,0
17/03/2016 11:37,2015,1,3,Other UK Airports,PRESTWICK,11241.626,0,0,5947.735,3339.653,0,0,0,0,304.061,226.023,199.513,1224.641
17/03/2016 11:37,2015,1,3,Other UK Airports,SCATSTA,701.846,0,0,0,0,0,0,316.333,385.513,0,0,0,0
17/03/2016 11:37,2015,1,3,Other UK Airports,SOUTHAMPTON,184.75,24.048,145.702,0,0,0,0,0,0,7.5,7.5,0,0
