rundate,span,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,yr01,yr02,yr03,yr04,yr05,yr06,yr07,yr08,yr09,yr10,yr11,pc_change
17/03/2016 11:46,2005 - 2015,1,1,London Area Airports,GATWICK,222778.305,211856.819,171077.827,107702.029,74679.522,104031.963,88084.949,97567.054,96724.097,88508.453,73371.135,-17
17/03/2016 11:46,2005 - 2015,1,1,London Area Airports,HEATHROW,1305685.733,1263128.855,1310986.552,1397053.818,1277649.665,1472988.06,1484350.863,1464390.254,1422939.305,1498905.757,1496550.973,-0
17/03/2016 11:46,2005 - 2015,1,1,London Area Airports,LONDON CITY,0,0,0,0,0,0,0,0,0,27.768,23.945,-14
17/03/2016 11:46,2005 - 2015,1,1,London Area Airports,LUTON,23108.39,17992.862,38095.441,40517.99,28643.404,28743.271,27905.097,29635.403,29073.558,27414.298,28007.811,2
17/03/2016 11:46,2005 - 2015,1,1,London Area Airports,SOUTHEND,53.417,69.551,133.646,15.984,0,3.355,5.632,8.686,1,5.99,4.773,-17
17/03/2016 11:46,2005 - 2015,1,1,London Area Airports,STANSTED,237044.874,224312.219,203746.564,197738.177,182810.024,202238.301,202592.773,214159.691,211952.167,204724.904,207996.35,2
17/03/2016 11:46,2005 - 2015,1,3,Other UK Airports,ABERDEEN,4089.429,4021.608,3434.348,4005.753,3822.213,4210.788,5310.597,6166.355,7101.869,6278.351,6545.455,4
17/03/2016 11:46,2005 - 2015,1,3,Other UK Airports,BARRA,35.266,36.396,35.167,34.413,29.813,28.942,27.698,26.166,22.372,19.673,15.122,-25
17/03/2016 11:46,2005 - 2015,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),516.228,827.392,1056.813,167.763,137.744,154.618,456.782,581.375,526.563,491.472,550.862,12
17/03/2016 11:46,2005 - 2015,1,3,Other UK Airports,BELFAST INTERNATIONAL,37877.55,38416.721,38428.557,36114.583,29803.741,29716.096,31062.003,29094.99,29287.727,30073.101,30388.689,1
17/03/2016 11:46,2005 - 2015,1,3,Other UK Airports,BENBECULA,235.407,245.145,239.598,234.801,224.256,195.134,172.212,134.002,41.799,6.273,6.014,0
17/03/2016 11:46,2005 - 2015,1,3,Other UK Airports,BIRMINGHAM,12939.026,14681.02,13584.94,12191.896,13069.929,21604.93,16625.714,19088.151,21066.548,5118.69,7163.843,40
17/03/2016 11:46,2005 - 2015,1,3,Other UK Airports,BLACKPOOL,61.897,54.941,41.175,47.324,45.797,40.918,3.241,0,0,0,0,0
17/03/2016 11:46,2005 - 2015,1,3,Other UK Airports,BOURNEMOUTH,5718.965,5068.33,253.387,16.759,3.85,304.354,0.16,1120.712,1817.874,1888.122,1565.4,-17
17/03/2016 11:46,2005 - 2015,1,3,Other UK Airports,BRISTOL,16.265,32.089,20.418,3.241,0.024,0,0,0,0,0,0.226,0
17/03/2016 11:46,2005 - 2015,1,3,Other UK Airports,CAMBRIDGE,171.35,44.8,128.65,17.7,15.05,11.15,0,0,0,0,0,0
17/03/2016 11:46,2005 - 2015,1,3,Other UK Airports,CAMPBELTOWN,1.885,1.989,1.499,0.918,0.754,0.157,0.264,0.25,0.275,0.248,0.322,0
17/03/2016 11:46,2005 - 2015,1,3,Other UK Airports,CARDIFF WALES,2563.701,2212.103,2391.134,1334.445,178.295,28.342,377.243,66.138,48.425,35.886,25.819,-28
17/03/2016 11:46,2005 - 2015,1,3,Other UK Airports,COVENTRY,6141.944,7785.439,7469.453,5920.726,2439.523,0,563.748,2499.513,2355.418,2302.935,2258.524,-2
17/03/2016 11:46,2005 - 2015,1,3,Other UK Airports,DONCASTER SHEFFIELD,30.575,167.239,1602.052,1349.996,344.086,216.293,101.621,276.465,354.25,857.599,3201.062,273
17/03/2016 11:46,2005 - 2015,1,3,Other UK Airports,DURHAM TEES VALLEY,362.967,456.616,786.064,289.951,297.858,0,2.5,0,0,1.7,0,0
17/03/2016 11:46,2005 - 2015,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,266569.136,272302.94,274752.845,261506.671,255120.834,273669.102,264594.731,264292.294,266967.726,277412.586,291688.569,5
17/03/2016 11:46,2005 - 2015,1,3,Other UK Airports,EDINBURGH,29595.497,36388.778,19291.816,12417.769,23791.486,20356.872,19331.675,19115.015,18624.248,19369.09,19322.006,-0
17/03/2016 11:46,2005 - 2015,1,3,Other UK Airports,EXETER,70.644,62.928,68.289,46.77,24.582,10.042,15.215,4.058,1.379,0.647,0.233,-100
17/03/2016 11:46,2005 - 2015,1,3,Other UK Airports,GLASGOW,8733.345,6288.706,4275.875,3545.696,2333.843,2913.819,2429.538,9497.277,11836.73,15410.756,13192.821,-14
17/03/2016 11:46,2005 - 2015,1,3,Other UK Airports,HUMBERSIDE,114.211,144.309,143.59,167.76,240.856,600.253,1131.547,620.638,152.631,128.585,148.43,15
17/03/2016 11:46,2005 - 2015,1,3,Other UK Airports,INVERNESS,894.308,651.788,568.027,526.076,451.738,144.241,0,0,0,0,0,0
17/03/2016 11:46,2005 - 2015,1,3,Other UK Airports,ISLAY,196.915,245.066,271.6,275.012,228.745,213.336,209.109,167.768,206.526,218.308,232.894,7
17/03/2016 11:46,2005 - 2015,1,3,Other UK Airports,ISLES OF SCILLY (ST.MARYS),183.1,163.797,173.973,180.58,143.1,139.8,115.38,90.88,69.34,80.912,60.955,-25
17/03/2016 11:46,2005 - 2015,1,3,Other UK Airports,ISLES OF SCILLY (TRESCO),41.4,350.72,37.15,38.05,29.1,30,23.762,18.5,0,0,0,0
17/03/2016 11:46,2005 - 2015,1,3,Other UK Airports,KIRKWALL,137.819,101.903,108.083,105.564,88.586,83.918,58.206,33.223,37.895,35.652,38.094,6
17/03/2016 11:46,2005 - 2015,1,3,Other UK Airports,LANDS END (ST JUST),38.8,84.908,21.46,17.8,19.59,21.88,11.6,16.2,61.05,56.6,68.6,21
17/03/2016 11:46,2005 - 2015,1,3,Other UK Airports,LEEDS BRADFORD,91.85,101.147,109.077,334.219,359.294,234.622,193.723,282.4,323.878,67.577,8.318,-88
17/03/2016 11:46,2005 - 2015,1,3,Other UK Airports,LERWICK (TINGWALL),0.562,0,0,0,0,0,0,0,0,0,0,0
17/03/2016 11:46,2005 - 2015,1,3,Other UK Airports,LIVERPOOL (JOHN LENNON),8521.136,5723.901,3709.024,3739.891,264.301,265.326,168.047,129.938,278.126,236.343,197.326,-17
17/03/2016 11:46,2005 - 2015,1,3,Other UK Airports,MANCHESTER,147484.203,148957.395,165365.944,141780.692,102543.314,115921.983,107415.311,96821.819,96373.207,93465.982,100020.656,7
17/03/2016 11:46,2005 - 2015,1,3,Other UK Airports,MANSTON (KENT INT),7611.588,20841.038,28370.597,25673.281,30037.96,28102.605,27494.785,31077.901,29306.213,12696.223,0,0
17/03/2016 11:46,2005 - 2015,1,3,Other UK Airports,NEWCASTLE,198.815,306.263,785.008,1937.801,2596.624,3650.175,3059.194,2956.228,3700.912,4450.404,3717.123,-16
17/03/2016 11:46,2005 - 2015,1,3,Other UK Airports,NEWQUAY,0,0,0,0,0,0,0,0,0,11.934,0,0
17/03/2016 11:46,2005 - 2015,1,3,Other UK Airports,NORWICH,76.114,126.075,187.941,239.276,338.818,265.535,330.324,212.943,160.274,247.08,345.662,40
17/03/2016 11:46,2005 - 2015,1,3,Other UK Airports,OXFORD (KIDLINGTON),0,0,0,0,0,0,0,0,0.3,16.21,0,0
17/03/2016 11:46,2005 - 2015,1,3,Other UK Airports,PENZANCE HELIPORT,193,196,217,190,156,159,135,95,0,0,0,0
17/03/2016 11:46,2005 - 2015,1,3,Other UK Airports,PRESTWICK,29199.28,28536.701,31517.35,22965.994,13385.143,12163.136,11845.983,10313.572,9526.144,12539.633,11241.626,-10
17/03/2016 11:46,2005 - 2015,1,3,Other UK Airports,SCATSTA,725.428,730.02,765.239,723.361,751.568,765.14,808.168,873.198,848.882,788.014,701.846,-11
17/03/2016 11:46,2005 - 2015,1,3,Other UK Airports,SOUTHAMPTON,203.925,194.679,297.155,264.114,209.121,115.66,131.776,358.536,132.894,133.234,184.75,39
17/03/2016 11:46,2005 - 2015,1,3,Other UK Airports,STORNOWAY,558.53,520.41,558.341,550.868,475.311,191.671,115.392,153.989,114.499,113.547,100.73,-11
17/03/2016 11:46,2005 - 2015,1,3,Other UK Airports,SUMBURGH,81.124,85.614,103.961,143.512,53.25,268.074,315.362,362.387,329.145,334.731,382.323,14
17/03/2016 11:46,2005 - 2015,1,3,Other UK Airports,TIREE,25.074,25.334,24.004,22.551,21.089,19.028,24.648,19.234,21.267,11.205,13.14,18
