rundate,report_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,frt_shd_pax_acf_fe,frt_shd_cgo_acf_fe,frt_cht_pax_acf_fe,frt_cht_cgo_acf_fe,frt_shd_pax_acf_fn,frt_shd_cgo_acf_fn,frt_cht_pax_acf_fn,frt_cht_cgo_acf_fn,frt_shd_pax_acf_uk,frt_shd_cgo_acf_uk,frt_cht_pax_acf_uk,frt_cht_cgo_acf_uk
17/03/2016 11:47,2015,1,1,London Area Airports,GATWICK,1356.19,0,567.87,44.016,65789.496,0,5210.456,47.496,355.611,0,0,0
17/03/2016 11:47,2015,1,1,London Area Airports,HEATHROW,57333.248,2932.98,0.493,35539.737,1358700.44,39856.972,87.429,328.347,1707.981,0,0,63.346
17/03/2016 11:47,2015,1,1,London Area Airports,LONDON CITY,14.463,0,0,0,8.466,0,0,0,1.016,0,0,0
17/03/2016 11:47,2015,1,1,London Area Airports,LUTON,133.358,1005.117,49.14,22477.897,841.797,2121.151,0.354,486.746,0,0,0,892.251
17/03/2016 11:47,2015,1,1,London Area Airports,SOUTHEND,0.045,0,0,4.728,0,0,0,0,0,0,0,0
17/03/2016 11:47,2015,1,1,London Area Airports,STANSTED,2.128,13996.395,15.143,51375.168,755.5,37240.302,15.119,103593.823,1.85,259.014,0,741.908
17/03/2016 11:47,2015,1,3,Other UK Airports,ABERDEEN,206.559,0,0.742,0.009,372.824,0.018,1067.21,85.555,342.295,0.084,566.743,3903.416
17/03/2016 11:47,2015,1,3,Other UK Airports,BARRA,0,0,0,0,0,0,0,0,15.031,0.091,0,0
17/03/2016 11:47,2015,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),0.15,0,0,0,0,0,0,0,550.712,0,0,0
17/03/2016 11:47,2015,1,3,Other UK Airports,BELFAST INTERNATIONAL,0.035,0,1.025,110.55,34.106,0,1.285,26.512,0,0,0,30215.176
17/03/2016 11:47,2015,1,3,Other UK Airports,BENBECULA,0,0,0,0,0,0,0,0,6.014,0,0,0
17/03/2016 11:47,2015,1,3,Other UK Airports,BIRMINGHAM,172.915,0,29.38,0,6728.866,0,194.179,0,38.503,0,0,0
17/03/2016 11:47,2015,1,3,Other UK Airports,BOURNEMOUTH,0,0,0,0,0,0,0,0,0,0,0,1565.4
17/03/2016 11:47,2015,1,3,Other UK Airports,CARDIFF WALES,0.272,0,11.267,13.654,0,0,0,0,0.121,0,0,0.505
17/03/2016 11:47,2015,1,3,Other UK Airports,COVENTRY,0,0,0,2258.524,0,0,0,0,0,0,0,0
17/03/2016 11:47,2015,1,3,Other UK Airports,DONCASTER SHEFFIELD,0.001,0,4.886,1135.631,0,78.8,0,1972.768,0,0,0,8.976
17/03/2016 11:47,2015,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,1.781,17543.503,1.081,173234.163,0,4900.45,0.336,51912.827,5.428,3802.419,0,40286.581
17/03/2016 11:47,2015,1,3,Other UK Airports,EDINBURGH,0,1129.259,0,8031.935,121.421,0,0,0,112.43,0,0,9926.961
17/03/2016 11:47,2015,1,3,Other UK Airports,GLASGOW,95.782,0,11.031,734.17,11710.499,0,7.089,0,604.108,0.091,0,30.051
17/03/2016 11:47,2015,1,3,Other UK Airports,HUMBERSIDE,0,0,0.424,0,0,0,98.657,27.583,21.766,0,0,0
17/03/2016 11:47,2015,1,3,Other UK Airports,ISLAY,0,0,0,0,0,0,0,0,232.894,0,0,0
17/03/2016 11:47,2015,1,3,Other UK Airports,ISLES OF SCILLY (ST.MARYS),0,0,0,0,0,0,0,0,16.234,44.721,0,0
17/03/2016 11:47,2015,1,3,Other UK Airports,KIRKWALL,0,0,0,0,0,0,0,0,37.895,0.192,0,0.007
17/03/2016 11:47,2015,1,3,Other UK Airports,LANDS END (ST JUST),0,0,0,0,0,0,0,0,23.9,44.7,0,0
17/03/2016 11:47,2015,1,3,Other UK Airports,LEEDS BRADFORD,3.774,0,3.02,0,0,0,0,0,1.524,0,0,0
17/03/2016 11:47,2015,1,3,Other UK Airports,LIVERPOOL (JOHN LENNON),40.295,0,0,0,0,0,0,0,157.031,0,0,0
17/03/2016 11:47,2015,1,3,Other UK Airports,MANCHESTER,1852.431,1389.277,452.933,4994.294,84907.199,729.769,2881.443,1948.478,70.216,199.414,0.154,595.048
17/03/2016 11:47,2015,1,3,Other UK Airports,NEWCASTLE,14.998,0,0.949,568.329,2987.716,0,0.203,0,5.069,0,0,139.859
17/03/2016 11:47,2015,1,3,Other UK Airports,NORWICH,0.583,0,0,0,0,0,258.529,86.291,0.259,0,0,0
17/03/2016 11:47,2015,1,3,Other UK Airports,PRESTWICK,0.401,3340.343,0,428.012,17.679,5928.965,21.757,1493.768,0,0,0,10.701
17/03/2016 11:47,2015,1,3,Other UK Airports,SCATSTA,0,0,0,0,0,0,140.059,0.628,0,0,551.835,9.324
17/03/2016 11:47,2015,1,3,Other UK Airports,SOUTHAMPTON,17.561,0,0,15,0,0,0,0,152.189,0,0,0
17/03/2016 11:47,2015,1,3,Other UK Airports,STORNOWAY,0,0,0,0,0,0,0,0,100.73,0,0,0
17/03/2016 11:47,2015,1,3,Other UK Airports,SUMBURGH,0,0,0,0,0,0.27,19.927,0,267.364,0,94.593,0.169
17/03/2016 11:47,2015,1,3,Other UK Airports,TIREE,0,0,0,0,0,0,0,0,13.14,0,0,0
17/03/2016 11:47,2015,1,3,Other UK Airports,WICK JOHN O GROATS,0,0,0,0,0,0,0,0,0.709,0,0.423,0
17/03/2016 11:47,2015,2,4,Non UK Reporting Airports,ALDERNEY,0,0,0,0,0,0,0,0,106.747,1.981,0,0
17/03/2016 11:47,2015,2,4,Non UK Reporting Airports,GUERNSEY,1.351,0.042,0,26.704,0,0,0,0,301.108,1.695,0,1580.397
17/03/2016 11:47,2015,2,4,Non UK Reporting Airports,ISLE OF MAN,0.098,0,0,0,0,0,0,0,185.294,0,0,128.592
17/03/2016 11:47,2015,2,4,Non UK Reporting Airports,JERSEY,0,0,0,9.374,0,0,0,0,236.5,34.548,0,2386.577
