rundate,this_period,last_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,total_fr_pa_tp,total_fr_pa_lp,total_fr_pa_pc,total_fr_cg_tp,total_fr_cg_lp,total_fr_cg_pc,total_fr_tp,total_fr_lp,total_fr_pc
17/03/2016 11:48,2015,2014,1,1,London Area Airports,GATWICK,73279.623,88505.906,-17,91.512,2.547,2967,73371.135,88508.453,-17
17/03/2016 11:48,2015,2014,1,1,London Area Airports,HEATHROW,1417829.591,1424269.796,-0,78721.382,74635.961,5,1496550.973,1498905.757,-0
17/03/2016 11:48,2015,2014,1,1,London Area Airports,LONDON CITY,23.945,27.768,-14,0,0,,23.945,27.768,-14
17/03/2016 11:48,2015,2014,1,1,London Area Airports,LUTON,1024.649,631.995,62,26983.162,26782.303,1,28007.811,27414.298,2
17/03/2016 11:48,2015,2014,1,1,London Area Airports,SOUTHEND,0.045,0,,4.728,5.99,-17,4.773,5.99,-17
17/03/2016 11:48,2015,2014,1,1,London Area Airports,STANSTED,789.74,1185.012,-33,207206.61,203539.892,2,207996.35,204724.904,2
17/03/2016 11:48,2015,2014,1,3,Other UK Airports,ABERDEEN,2556.373,2863.533,-11,3989.082,3414.818,17,6545.455,6278.351,4
17/03/2016 11:48,2015,2014,1,3,Other UK Airports,BARRA,15.031,19.597,-25,0.091,0.076,,15.122,19.673,-25
17/03/2016 11:48,2015,2014,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),550.862,491.472,12,0,0,,550.862,491.472,12
17/03/2016 11:48,2015,2014,1,3,Other UK Airports,BELFAST INTERNATIONAL,36.451,45.284,-20,30352.238,30027.817,1,30388.689,30073.101,1
17/03/2016 11:48,2015,2014,1,3,Other UK Airports,BENBECULA,6.014,6.273,0,0,0,,6.014,6.273,0
17/03/2016 11:48,2015,2014,1,3,Other UK Airports,BIRMINGHAM,7163.843,5118.69,40,0,0,,7163.843,5118.69,40
17/03/2016 11:48,2015,2014,1,3,Other UK Airports,BOURNEMOUTH,0,0,,1565.4,1888.122,-17,1565.4,1888.122,-17
17/03/2016 11:48,2015,2014,1,3,Other UK Airports,CARDIFF WALES,11.66,1.991,500,14.159,33.895,-59,25.819,35.886,-28
17/03/2016 11:48,2015,2014,1,3,Other UK Airports,COVENTRY,0,0,,2258.524,2302.935,-2,2258.524,2302.935,-2
17/03/2016 11:48,2015,2014,1,3,Other UK Airports,DONCASTER SHEFFIELD,4.887,7.996,-38,3196.175,849.603,276,3201.062,857.599,273
17/03/2016 11:48,2015,2014,1,3,Other UK Airports,DURHAM TEES VALLEY,0,0,,0,1.7,,0,1.7,
17/03/2016 11:48,2015,2014,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,8.626,34.176,-74,291679.943,277378.41,5,291688.569,277412.586,5
17/03/2016 11:48,2015,2014,1,3,Other UK Airports,EDINBURGH,233.851,203.256,15,19088.155,19165.834,-0,19322.006,19369.09,-0
17/03/2016 11:48,2015,2014,1,3,Other UK Airports,EXETER,0.233,0.647,,0,0,,0.233,0.647,
17/03/2016 11:48,2015,2014,1,3,Other UK Airports,GLASGOW,12428.509,14622.761,-15,764.312,787.995,-3,13192.821,15410.756,-14
17/03/2016 11:48,2015,2014,1,3,Other UK Airports,HUMBERSIDE,120.847,117.13,3,27.583,11.455,155,148.43,128.585,15
17/03/2016 11:48,2015,2014,1,3,Other UK Airports,ISLAY,232.894,218.308,7,0,0,,232.894,218.308,7
17/03/2016 11:48,2015,2014,1,3,Other UK Airports,ISLES OF SCILLY (ST.MARYS),16.234,10.231,60,44.721,70.681,-37,60.955,80.912,-25
17/03/2016 11:48,2015,2014,1,3,Other UK Airports,KIRKWALL,37.895,35.282,9,0.199,0.37,,38.094,35.652,6
17/03/2016 11:48,2015,2014,1,3,Other UK Airports,LANDS END (ST JUST),23.9,8,200,44.7,48.6,-8,68.6,56.6,21
17/03/2016 11:48,2015,2014,1,3,Other UK Airports,LEEDS BRADFORD,8.318,67.577,-88,0,0,,8.318,67.577,-88
17/03/2016 11:48,2015,2014,1,3,Other UK Airports,LIVERPOOL (JOHN LENNON),197.326,236.343,-17,0,0,,197.326,236.343,-17
17/03/2016 11:48,2015,2014,1,3,Other UK Airports,MANCHESTER,90164.376,82941.434,9,9856.28,10524.548,-6,100020.656,93465.982,7
17/03/2016 11:48,2015,2014,1,3,Other UK Airports,MANSTON (KENT INT),0,0.29,,0,12695.933,,0,12696.223,
17/03/2016 11:48,2015,2014,1,3,Other UK Airports,NEWCASTLE,3008.935,3681.078,-18,708.188,769.326,-8,3717.123,4450.404,-16
17/03/2016 11:48,2015,2014,1,3,Other UK Airports,NEWQUAY,0,1.149,,0,10.785,,0,11.934,
17/03/2016 11:48,2015,2014,1,3,Other UK Airports,NORWICH,259.371,228.018,14,86.291,19.062,353,345.662,247.08,40
17/03/2016 11:48,2015,2014,1,3,Other UK Airports,OXFORD (KIDLINGTON),0,0,,0,16.21,,0,16.21,
17/03/2016 11:48,2015,2014,1,3,Other UK Airports,PRESTWICK,39.837,14.248,186,11201.789,12525.385,-11,11241.626,12539.633,-10
17/03/2016 11:48,2015,2014,1,3,Other UK Airports,SCATSTA,691.894,777.491,-11,9.952,10.523,-9,701.846,788.014,-11
17/03/2016 11:48,2015,2014,1,3,Other UK Airports,SOUTHAMPTON,169.75,130.554,30,15,2.68,400,184.75,133.234,39
17/03/2016 11:48,2015,2014,1,3,Other UK Airports,STORNOWAY,100.73,113.245,-11,0,0.302,,100.73,113.547,-11
17/03/2016 11:48,2015,2014,1,3,Other UK Airports,SUMBURGH,381.884,334.73,14,0.439,0.001,,382.323,334.731,14
17/03/2016 11:48,2015,2014,1,3,Other UK Airports,TIREE,13.14,11.205,18,0,0,,13.14,11.205,18
17/03/2016 11:48,2015,2014,1,3,Other UK Airports,WICK JOHN O GROATS,1.132,0.635,0,0,0.001,,1.132,0.636,0
17/03/2016 11:48,2015,2014,2,4,Non UK Reporting Airports,ALDERNEY,106.747,113.292,-5,1.981,5.324,-60,108.728,118.616,-8
17/03/2016 11:48,2015,2014,2,4,Non UK Reporting Airports,GUERNSEY,302.459,330.418,-8,1608.838,1696.759,-5,1911.297,2027.177,-6
17/03/2016 11:48,2015,2014,2,4,Non UK Reporting Airports,ISLE OF MAN,185.392,203.712,-9,128.592,154.741,-17,313.984,358.453,-12
17/03/2016 11:48,2015,2014,2,4,Non UK Reporting Airports,JERSEY,236.5,244.96,-4,2430.499,2630.899,-8,2666.999,2875.859,-7
