rundate,report_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,total_mail,mail_sd_shd_uk,mail_pu_shd_uk,mail_sd_shd_fe,mail_pu_shd_fe,mail_sd_shd_fn,mail_pu_shd_fn,mail_sd_cht_uk,mail_pu_cht_uk,mail_sd_cht_fe,mail_pu_cht_fe,mail_sd_cht_fn,mail_pu_cht_fn
17/03/2016 11:47,2015,1,1,London Area Airports,GATWICK,5521.629,234.025,997.524,683.999,1757.74,453.059,1367.135,1.411,26.341,0,0.02,0,0.375
17/03/2016 11:47,2015,1,1,London Area Airports,HEATHROW,94975.163,9010.691,14397.469,6384.914,4703.606,26681.098,33753.351,1.072,0,0,0,9.161,33.801
17/03/2016 11:47,2015,1,1,London Area Airports,LONDON CITY,1437.868,0,0.381,0.06,114.16,358.336,964.931,0,0,0,0,0,0
17/03/2016 11:47,2015,1,1,London Area Airports,STANSTED,19114.973,0,0,0,1.932,9.572,11.364,7360.307,11539.623,97.78,94.395,0,0
17/03/2016 11:47,2015,1,3,Other UK Airports,ABERDEEN,1528.255,1.793,3.786,0.337,0.145,0,0,952.584,351.18,166.5,51.93,0,0
17/03/2016 11:47,2015,1,3,Other UK Airports,BELFAST INTERNATIONAL,16771.174,0,0,0,0,0.001,0.377,9944.772,6747.398,74.091,4.535,0,0
17/03/2016 11:47,2015,1,3,Other UK Airports,BENBECULA,1.769,0.972,0.797,0,0,0,0,0,0,0,0,0,0
17/03/2016 11:47,2015,1,3,Other UK Airports,BIRMINGHAM,112.57,0.02,0.083,10.605,10.197,0.468,91.197,0,0,0,0,0,0
17/03/2016 11:47,2015,1,3,Other UK Airports,BOURNEMOUTH,7275.065,0,0,19.364,28.328,0,0,3263.818,3756.945,74.814,131.796,0,0
17/03/2016 11:47,2015,1,3,Other UK Airports,BRISTOL,2.435,0.117,0.57,0.069,0.125,0,0,0.399,1.155,0,0,0,0
17/03/2016 11:47,2015,1,3,Other UK Airports,CARDIFF WALES,274.078,0.002,0,0,0,0,0,274.076,0,0,0,0,0
17/03/2016 11:47,2015,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,29928.05,10.867,4.609,19.033,54.043,0,0,12448.979,17009.044,131.023,250.452,0,0
17/03/2016 11:47,2015,1,3,Other UK Airports,EDINBURGH,16360.222,1157.101,736.194,0,8.967,0,0,8291.456,6086.074,67.356,13.074,0,0
17/03/2016 11:47,2015,1,3,Other UK Airports,EXETER,3531.966,0.045,0,0,0,0,0,1946.615,1585.306,0,0,0,0
17/03/2016 11:47,2015,1,3,Other UK Airports,GLASGOW,111.794,28.494,72.574,0.025,0.01,0.1,8.896,0,0.07,0,0,0,1.625
17/03/2016 11:47,2015,1,3,Other UK Airports,INVERNESS,3.513,0,0,0,0,0,0,2.113,0,1.4,0,0,0
17/03/2016 11:47,2015,1,3,Other UK Airports,ISLAY,69.408,43.166,26.242,0,0,0,0,0,0,0,0,0,0
17/03/2016 11:47,2015,1,3,Other UK Airports,ISLES OF SCILLY (ST.MARYS),169.079,104.501,64.578,0,0,0,0,0,0,0,0,0,0
17/03/2016 11:47,2015,1,3,Other UK Airports,KIRKWALL,28.316,7.553,20.753,0,0,0,0,0,0.01,0,0,0,0
17/03/2016 11:47,2015,1,3,Other UK Airports,LANDS END (ST JUST),163.1,58.4,104.7,0,0,0,0,0,0,0,0,0,0
17/03/2016 11:47,2015,1,3,Other UK Airports,MANCHESTER,3764.954,10.64,0.692,0.977,8.572,8.654,3732.695,0.472,2.113,0,0.139,0,0
17/03/2016 11:47,2015,1,3,Other UK Airports,NEWCASTLE,4632.692,0.043,0,0,0,0,3.644,2320.497,1968.269,211.589,128.65,0,0
17/03/2016 11:47,2015,1,3,Other UK Airports,SOUTHAMPTON,9.578,9.552,0.026,0,0,0,0,0,0,0,0,0,0
17/03/2016 11:47,2015,1,3,Other UK Airports,STORNOWAY,0.586,0.586,0,0,0,0,0,0,0,0,0,0,0
17/03/2016 11:47,2015,1,3,Other UK Airports,TIREE,36.139,30.926,5.213,0,0,0,0,0,0,0,0,0,0
17/03/2016 11:47,2015,2,4,Non UK Reporting Airports,ALDERNEY,82.342,58.695,23.647,0,0,0,0,0,0,0,0,0,0
17/03/2016 11:47,2015,2,4,Non UK Reporting Airports,GUERNSEY,2790.904,24.551,58.847,0,0,0,0,1407.953,1245.411,48.638,5.504,0,0
17/03/2016 11:47,2015,2,4,Non UK Reporting Airports,ISLE OF MAN,2490.414,0.001,0.01,0.01,0.142,0,0,1428.702,944.955,64.811,51.783,0,0
17/03/2016 11:47,2015,2,4,Non UK Reporting Airports,JERSEY,1745.951,2.076,0.939,0,0,0,0,1225.903,514.777,0,2.256,0,0
