rundate,span,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,yr01,yr02,yr03,yr04,yr05,yr06,yr07,yr08,yr09,yr10,yr11,pc_change
17/03/2016 11:48,2005 - 2015,1,1,London Area Airports,GATWICK,9306.131,8019.011,5588.382,4663.341,4529.687,4554.502,4146.49,3806.472,4313.766,5300.782,5521.629,4
17/03/2016 11:48,2005 - 2015,1,1,London Area Airports,HEATHROW,83612.443,79517.087,82256.022,85607.939,71264.269,78320.134,84953.271,91589.614,92036.646,89570.412,94975.163,6
17/03/2016 11:48,2005 - 2015,1,1,London Area Airports,LONDON CITY,0,0,0,0,0,0,0,0,0,2034.865,1437.868,-29
17/03/2016 11:48,2005 - 2015,1,1,London Area Airports,STANSTED,17766.707,17018.461,21568.395,32324.551,30573.805,27850.564,27662.262,26964.507,24706.908,20922.082,19114.973,-9
17/03/2016 11:48,2005 - 2015,1,3,Other UK Airports,ABERDEEN,846.194,631.706,191.811,101.072,104.125,47.274,336.131,799.481,362.105,1450.093,1528.255,5
17/03/2016 11:48,2005 - 2015,1,3,Other UK Airports,BARRA,31.152,0,0,0,0,0.05,0.111,0.058,0.09,0.025,0.044,0
17/03/2016 11:48,2005 - 2015,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),3.858,18.409,43.583,0.731,0.093,0.391,1.879,2.729,0,0,0,0
17/03/2016 11:48,2005 - 2015,1,3,Other UK Airports,BELFAST INTERNATIONAL,13450.833,11982.024,11457.206,11970.424,13191.843,14162.436,15428.1,15709.878,14776.174,15984.736,16771.174,5
17/03/2016 11:48,2005 - 2015,1,3,Other UK Airports,BENBECULA,63.886,1.953,1.816,0.895,0.277,0.221,0.06,1.327,0.768,0.02,1.769,0
17/03/2016 11:48,2005 - 2015,1,3,Other UK Airports,BIRMINGHAM,256.189,37.331,25.525,21.485,48.489,54.439,16.106,2.741,14.808,24.46,112.57,371
17/03/2016 11:48,2005 - 2015,1,3,Other UK Airports,BOURNEMOUTH,5198.588,5495.926,10327.604,9701.835,9976.983,9383.63,10827.528,9171.4,7608.111,7821.232,7275.065,-7
17/03/2016 11:48,2005 - 2015,1,3,Other UK Airports,BRISTOL,4930.673,2787.543,2903.694,4495.79,3978.861,3497.556,255.579,0,0,0,2.435,0
17/03/2016 11:48,2005 - 2015,1,3,Other UK Airports,CAMBRIDGE,0,1.05,24,0,0,0,0,0,0,0,0,0
17/03/2016 11:48,2005 - 2015,1,3,Other UK Airports,CARDIFF WALES,0.009,0,0,0,0,9.8,1019.967,918.794,986.486,1234.01,274.078,-78
17/03/2016 11:48,2005 - 2015,1,3,Other UK Airports,COVENTRY,1692.997,1946.637,1702.705,909.162,0,0,4.154,0,0,0,0,0
17/03/2016 11:48,2005 - 2015,1,3,Other UK Airports,DONCASTER SHEFFIELD,0,0,0,0,0,34.805,0.025,0,0,0,0,0
17/03/2016 11:48,2005 - 2015,1,3,Other UK Airports,DURHAM TEES VALLEY,0,3.215,4.146,0,58.039,0,0,0,0,0,0,0
17/03/2016 11:48,2005 - 2015,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,25579.631,25979.649,27951.465,30865.589,31507.738,30469.805,34156.942,35701.539,30130.9,30344.316,29928.05,-1
17/03/2016 11:48,2005 - 2015,1,3,Other UK Airports,EDINBURGH,24698.873,14549.764,26607.693,36714.312,28219.176,23725.989,24976.128,23823.07,19458.091,17760.598,16360.222,-8
17/03/2016 11:48,2005 - 2015,1,3,Other UK Airports,EXETER,5295.298,5546.219,4991.202,4212.696,3854.128,3745.209,5550.019,6021.645,5237.11,5406.571,3531.966,-35
17/03/2016 11:48,2005 - 2015,1,3,Other UK Airports,GLASGOW,303.014,80.751,71.405,79.058,26.313,18.917,45.503,69.921,155.4,109.258,111.794,3
17/03/2016 11:48,2005 - 2015,1,3,Other UK Airports,HUMBERSIDE,0.303,0.385,0.245,0.047,0.022,0.752,0.326,0.073,0.165,0.082,0.198,0
17/03/2016 11:48,2005 - 2015,1,3,Other UK Airports,INVERNESS,4.649,76.402,3.642,4.223,2.374,0.386,199.295,26.23,7.5,15.27,3.513,-73
17/03/2016 11:48,2005 - 2015,1,3,Other UK Airports,ISLAY,49.283,52.731,54.253,72.381,83.651,74.465,73.783,59.67,67.444,66.672,69.408,3
17/03/2016 11:48,2005 - 2015,1,3,Other UK Airports,ISLES OF SCILLY (ST.MARYS),187.5,188.151,204.013,264.553,210.5,186.4,188.36,169.24,169.54,165.976,169.079,2
17/03/2016 11:48,2005 - 2015,1,3,Other UK Airports,ISLES OF SCILLY (TRESCO),10.43,61.12,8.38,7.4,7,6.3,4.53,2.8,0,0,0,0
17/03/2016 11:48,2005 - 2015,1,3,Other UK Airports,KIRKWALL,31.195,27.081,25.846,21.406,24.891,24.544,26.305,21.171,27.354,26.974,28.316,4
17/03/2016 11:48,2005 - 2015,1,3,Other UK Airports,LANDS END (ST JUST),267.2,91.335,66.9,77.8,76.75,69.93,74.1,89.9,137.63,118.8,163.1,37
17/03/2016 11:48,2005 - 2015,1,3,Other UK Airports,LEEDS BRADFORD,4.684,6.042,5.98,4.922,1.624,0.046,0.425,0.308,0.492,0.862,0,0
17/03/2016 11:48,2005 - 2015,1,3,Other UK Airports,LIVERPOOL (JOHN LENNON),6272.205,4133.36,0,2.612,0,10.7,0,0,0,0,0,0
17/03/2016 11:48,2005 - 2015,1,3,Other UK Airports,MANCHESTER,2483.211,1309.269,764.951,812.854,522.872,636.121,1125.265,1448.967,726.239,457.407,3764.954,724
17/03/2016 11:48,2005 - 2015,1,3,Other UK Airports,MANSTON (KENT INT),0.077,0,0,0,0,0,4.89,0,0,0,0,0
17/03/2016 11:48,2005 - 2015,1,3,Other UK Airports,NEWCASTLE,7819.615,7884.628,8483.146,10901.012,9758.026,9061.53,8532.332,7928.666,6512.46,4738.355,4632.692,-2
17/03/2016 11:48,2005 - 2015,1,3,Other UK Airports,NEWQUAY,0,0,0,0,0,0,0,0,0,18.339,0,0
17/03/2016 11:48,2005 - 2015,1,3,Other UK Airports,PENZANCE HELIPORT,121,132,132,140,130,130,122,67,0,0,0,0
17/03/2016 11:48,2005 - 2015,1,3,Other UK Airports,PRESTWICK,31.77,8.66,0.004,0.214,0.012,0.022,0.001,0.139,0,0.002,0,0
17/03/2016 11:48,2005 - 2015,1,3,Other UK Airports,SCATSTA,28.099,1.278,0.866,1.224,0.846,1.043,0.913,14.175,0.014,0,0,0
17/03/2016 11:48,2005 - 2015,1,3,Other UK Airports,SOUTHAMPTON,0,0.185,0.071,0.025,0.02,0,0.372,0.027,0.002,0.067,9.578,0
17/03/2016 11:48,2005 - 2015,1,3,Other UK Airports,STORNOWAY,37.117,2.211,0.712,2.181,2.585,0.091,0.09,0.097,0,0.006,0.586,0
17/03/2016 11:48,2005 - 2015,1,3,Other UK Airports,SUMBURGH,3.28,3.1,4.263,0.054,0.193,0.156,1.4,1.288,0.067,1.259,0.139,-100
17/03/2016 11:48,2005 - 2015,1,3,Other UK Airports,TIREE,33.897,34.281,32.337,33.444,31.027,31.431,30.778,26.928,32.454,33.008,36.139,9
17/03/2016 11:48,2005 - 2015,2,4,Non UK Reporting Airports,ALDERNEY,161.942,153.756,199.238,228.096,263.496,285.175,327.028,195.999,88.984,82.127,82.342,0
17/03/2016 11:48,2005 - 2015,2,4,Non UK Reporting Airports,GUERNSEY,2606.392,2717.516,2799.384,2924.261,2906.456,3233.782,3460.032,2920.112,2646.483,2744.185,2790.904,2
17/03/2016 11:48,2005 - 2015,2,4,Non UK Reporting Airports,ISLE OF MAN,2498.732,2296.432,2278.741,2251.351,2295.303,2556.976,2711.215,2656.223,2510.632,2521.44,2490.414,-1
17/03/2016 11:48,2005 - 2015,2,4,Non UK Reporting Airports,JERSEY,438.895,1328.424,1864.595,1843.037,1746.387,1943.539,2334.952,2259.652,1564.997,1728.249,1745.951,1
