rundate,report_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,grand_total,air_transport,air_taxi,positioning_flights,local_movements,test_and_training,other_flights,aero_club,private_flights,official,military,business_aviation
29/01/2018 15:42,2016,1,1,London Area Airports,GATWICK,280666,275910,203,3120,8,147,202,0,29,17,5,1228
29/01/2018 15:42,2016,1,1,London Area Airports,HEATHROW,474963,473332,124,1070,2,71,59,0,165,176,19,69
29/01/2018 15:42,2016,1,1,London Area Airports,LONDON CITY,85169,83783,3334,631,0,286,0,0,0,0,0,469
29/01/2018 15:42,2016,1,1,London Area Airports,LUTON,128519,106336,3647,5144,6,165,387,0,102,14,15,16350
29/01/2018 15:42,2016,1,1,London Area Airports,SOUTHEND,23449,9201,1020,949,548,1241,71,6482,3848,10,106,993
29/01/2018 15:42,2016,1,1,London Area Airports,STANSTED,180430,164473,479,5372,8,108,813,0,0,147,41,9468
29/01/2018 15:42,2016,1,2,Miscellaneous,METRO LONDON HELIPORT,11347,2790,2790,2572,2111,0,1133,0,2390,6,78,267
29/01/2018 15:42,2016,1,3,Other UK Airports,ABERDEEN,96156,87337,9056,3631,1,2932,588,1196,2,2,60,407
29/01/2018 15:42,2016,1,3,Other UK Airports,BARRA,1347,1252,9,0,0,13,0,0,78,0,2,0
29/01/2018 15:42,2016,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),42475,41779,456,176,7,42,10,2,159,9,2,289
29/01/2018 15:42,2016,1,3,Other UK Airports,BELFAST INTERNATIONAL,55155,40947,990,1028,4263,220,0,938,1275,0,5718,766
29/01/2018 15:42,2016,1,3,Other UK Airports,BENBECULA,3648,3171,1439,262,7,77,6,0,72,0,53,0
29/01/2018 15:42,2016,1,3,Other UK Airports,BIGGIN HILL,52970,7954,7890,55,0,4,0,30447,10212,0,84,4214
29/01/2018 15:42,2016,1,3,Other UK Airports,BIRMINGHAM,113184,104968,1111,2199,1956,90,2954,5,403,9,132,468
29/01/2018 15:42,2016,1,3,Other UK Airports,BLACKPOOL,33749,8158,1438,200,22,1437,6,16166,6761,0,116,883
29/01/2018 15:42,2016,1,3,Other UK Airports,BOURNEMOUTH,36922,4361,57,294,4,13488,7654,2359,6512,0,479,1771
29/01/2018 15:42,2016,1,3,Other UK Airports,BRISTOL,73536,62058,1408,1005,0,482,2407,6695,729,54,106,0
29/01/2018 15:42,2016,1,3,Other UK Airports,CAMBRIDGE,20226,56,0,12,3635,171,0,10844,2655,12,488,2353
29/01/2018 15:42,2016,1,3,Other UK Airports,CAMPBELTOWN,1452,1082,98,95,0,25,0,2,183,0,65,0
29/01/2018 15:42,2016,1,3,Other UK Airports,CARDIFF WALES,26256,15895,15,668,0,221,0,4234,4942,0,296,0
29/01/2018 15:42,2016,1,3,Other UK Airports,CARLISLE,19826,676,676,95,30,2,0,13515,4280,0,661,567
29/01/2018 15:42,2016,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),5441,1920,64,11,230,1370,0,839,815,6,96,154
29/01/2018 15:42,2016,1,3,Other UK Airports,COVENTRY,35932,1397,759,430,0,25927,24,1667,6483,0,4,0
29/01/2018 15:42,2016,1,3,Other UK Airports,DONCASTER SHEFFIELD,16098,10734,597,258,0,1790,1143,1300,243,5,622,3
29/01/2018 15:42,2016,1,3,Other UK Airports,DUNDEE,36730,1631,186,299,138,1032,97,32135,813,6,72,507
29/01/2018 15:42,2016,1,3,Other UK Airports,DURHAM TEES VALLEY,21162,4277,507,56,207,411,5627,7050,2587,1,946,0
29/01/2018 15:42,2016,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,73689,58841,1069,2853,9,978,4458,2,886,0,135,5527
29/01/2018 15:42,2016,1,3,Other UK Airports,EDINBURGH,122220,116831,1012,1650,21,38,26,40,2896,2,109,607
29/01/2018 15:42,2016,1,3,Other UK Airports,EXETER,40665,13510,260,355,2983,2217,471,9622,7533,2,461,3511
29/01/2018 15:42,2016,1,3,Other UK Airports,GLASGOW,98127,90990,6657,1746,5,223,1440,3273,10,7,63,370
29/01/2018 15:42,2016,1,3,Other UK Airports,GLOUCESTERSHIRE,83329,1450,353,632,1918,7744,503,54917,14562,12,342,1249
29/01/2018 15:42,2016,1,3,Other UK Airports,HAWARDEN,18433,0,0,44,2377,574,2153,6885,3855,24,605,1916
29/01/2018 15:42,2016,1,3,Other UK Airports,HUMBERSIDE,22744,9061,304,1954,727,6998,2275,0,1371,4,136,218
29/01/2018 15:42,2016,1,3,Other UK Airports,INVERNESS,30450,15201,4052,1710,530,2616,125,7936,1733,0,65,534
29/01/2018 15:42,2016,1,3,Other UK Airports,ISLAY,2540,1702,162,168,2,8,0,0,616,0,44,0
29/01/2018 15:42,2016,1,3,Other UK Airports,ISLES OF SCILLY (ST.MARYS),13164,11755,180,69,0,117,0,0,982,233,8,0
29/01/2018 15:42,2016,1,3,Other UK Airports,KIRKWALL,14539,12786,1882,764,16,317,198,0,436,0,14,8
29/01/2018 15:42,2016,1,3,Other UK Airports,LANDS END (ST JUST),11189,9063,246,144,102,752,21,48,1023,6,30,0
29/01/2018 15:42,2016,1,3,Other UK Airports,LEEDS BRADFORD,44304,32196,865,1852,2,5990,243,1306,2516,0,179,3
29/01/2018 15:42,2016,1,3,Other UK Airports,LERWICK (TINGWALL),2426,1821,653,336,157,20,1,0,91,0,0,0
29/01/2018 15:42,2016,1,3,Other UK Airports,LIVERPOOL (JOHN LENNON),62441,39077,1067,376,2,72,16,19640,1546,8,382,1322
29/01/2018 15:42,2016,1,3,Other UK Airports,LYDD,22060,351,174,304,63,114,0,10791,8649,1649,80,59
29/01/2018 15:42,2016,1,3,Other UK Airports,MANCHESTER,192293,183731,101,3363,30,137,74,0,0,0,42,4824
29/01/2018 15:42,2016,1,3,Other UK Airports,NEWCASTLE,56263,42750,246,1140,82,398,32,0,9103,2036,655,67
29/01/2018 15:42,2016,1,3,Other UK Airports,NEWQUAY,30417,8869,2012,335,0,7468,348,274,7336,9,4919,859
29/01/2018 15:42,2016,1,3,Other UK Airports,NORWICH,37190,27579,2347,1656,39,1611,394,2813,2996,1,101,0
29/01/2018 15:42,2016,1,3,Other UK Airports,OXFORD (KIDLINGTON),40507,249,225,4332,218,23751,195,381,8573,0,61,2747
29/01/2018 15:42,2016,1,3,Other UK Airports,PRESTWICK,25714,4706,5,334,0,7419,0,6678,3081,2,3494,0
29/01/2018 15:42,2016,1,3,Other UK Airports,SCATSTA,7894,7473,3,273,0,140,8,0,0,0,0,0
29/01/2018 15:42,2016,1,3,Other UK Airports,SHOREHAM,51394,555,412,130,1163,406,146,35245,13382,4,212,151
29/01/2018 15:42,2016,1,3,Other UK Airports,SOUTHAMPTON,42824,38095,565,1561,0,123,325,0,0,3,50,2667
29/01/2018 15:42,2016,1,3,Other UK Airports,STORNOWAY,10600,8406,2147,411,194,1012,0,0,386,0,191,0
29/01/2018 15:42,2016,1,3,Other UK Airports,SUMBURGH,21129,17435,5603,1623,243,1009,722,0,75,0,22,0
29/01/2018 15:42,2016,1,3,Other UK Airports,SWANSEA,11230,122,122,3,0,0,0,8511,2540,0,54,0
29/01/2018 15:42,2016,1,3,Other UK Airports,TIREE,1937,1758,140,14,2,2,0,0,161,0,0,0
29/01/2018 15:42,2016,1,3,Other UK Airports,WICK JOHN O GROATS,4427,2085,372,829,17,546,198,2,678,0,66,6
29/01/2018 15:42,2016,2,4,Non UK Reporting Airports,ALDERNEY,10120,5673,349,231,1161,33,26,871,2121,0,4,0
29/01/2018 15:42,2016,2,4,Non UK Reporting Airports,GUERNSEY,39717,24439,1292,1615,3903,213,347,4990,3725,46,34,405
29/01/2018 15:42,2016,2,4,Non UK Reporting Airports,ISLE OF MAN,28331,20883,1876,878,0,154,0,2584,2229,0,152,1451
29/01/2018 15:42,2016,2,4,Non UK Reporting Airports,JERSEY,47170,28547,2876,771,9,227,157,4684,7281,0,275,5219

