rundate,span,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,yr01,yr02,yr03,yr04,yr05,yr06,yr07,yr08,yr09,yr10,yr11,pc_change
29/01/2018 15:44,2006 - 2016,1,1,London Area Airports,GATWICK,263363,266550,263653,251879,240500,251067,246987,250520,259962,267760,280666,4.819988049
29/01/2018 15:44,2006 - 2016,1,1,London Area Airports,HEATHROW,477048,481476,478693,466393,454823,480906,475176,471936,472802,474087,474963,0.184776212
29/01/2018 15:44,2006 - 2016,1,1,London Area Airports,LONDON CITY,79436,91177,94516,76861,68640,68792,70781,74006,76260,84753,85169,0.490838082
29/01/2018 15:44,2006 - 2016,1,1,London Area Airports,LUTON,116131,120238,117859,98736,94574,97574,96797,95763,101950,114083,128519,12.653944935
29/01/2018 15:44,2006 - 2016,1,1,London Area Airports,SOUTHEND,38858,39881,37227,31785,27320,25470,27715,29443,30514,23538,23449,-0.378111989
29/01/2018 15:44,2006 - 2016,1,1,London Area Airports,STANSTED,206693,208462,193282,167817,155140,148317,143511,146324,157117,168629,180430,6.998203156
29/01/2018 15:44,2006 - 2016,1,2,London Heliports,METRO LONDON HELIPORT,14225,13126,11326,8391,8055,8442,7170,7650,8925,10352,11347,9.611669243
29/01/2018 15:44,2006 - 2016,1,3,Other UK Airports,ABERDEEN,116971,121927,119831,109876,102396,108862,115013,118219,124282,112357,96156,-14.419217316
29/01/2018 15:44,2006 - 2016,1,3,Other UK Airports,BARRA,1321,1296,1310,1356,1252,1258,1403,966,988,1034,1347,30.270793037
29/01/2018 15:44,2006 - 2016,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),39411,43022,42990,39330,40324,41844,37189,38050,37112,41782,42475,1.658608970
29/01/2018 15:44,2006 - 2016,1,3,Other UK Airports,BELFAST INTERNATIONAL,77652,77395,77943,68813,60742,57460,58011,54003,50973,52246,55155,5.567890365
29/01/2018 15:44,2006 - 2016,1,3,Other UK Airports,BEMBRIDGE,12238,13354,15462,17460,15514,0,0,0,0,0,0,
29/01/2018 15:44,2006 - 2016,1,3,Other UK Airports,BENBECULA,4462,4810,4660,4779,4402,4366,4478,3708,3504,3517,3648,3.724765425
29/01/2018 15:44,2006 - 2016,1,3,Other UK Airports,BIGGIN HILL,65180,69244,62211,58279,49830,47354,44264,41493,45477,50481,52970,4.930567936
29/01/2018 15:44,2006 - 2016,1,3,Other UK Airports,BIRMINGHAM,119490,114679,112227,101221,95454,93145,92632,95713,97346,98015,113184,15.476202622
