rundate,reporting_period,airport_cluster,rpt_apt_grp_cd,reporting_airport_group_name,reporting_airport_name,total_atms,atms_scheduled_UK_operator,atms_scheduled_foreign_EU_operator,atms_scheduled_foreign_non_EU_operator,atms_charter_UK_operator,atms_charter_foreign_EU_operator,atms_charter_foreign_non_EU_operator
29/01/2018 15:37,2016,1,1,London Area Airports,GATWICK,277094,189838,50945,20237,12345,3627,102
29/01/2018 15:37,2016,1,1,London Area Airports,HEATHROW,473199,260818,96494,114346,720,802,19
29/01/2018 15:37,2016,1,1,London Area Airports,LONDON CITY,80449,43641,30318,6473,3,14,0
29/01/2018 15:37,2016,1,1,London Area Airports,LUTON,102931,46449,48911,1849,2930,2600,192
29/01/2018 15:37,2016,1,1,London Area Airports,SOUTHEND,8276,5842,2420,6,5,2,1
29/01/2018 15:37,2016,1,1,London Area Airports,STANSTED,164213,24340,125217,7865,4770,1821,200
29/01/2018 15:37,2016,1,3,Other UK Airports,ABERDEEN,77679,31066,10335,2808,31009,2459,2
29/01/2018 15:37,2016,1,3,Other UK Airports,BARRA,1313,1313,0,0,0,0,0
29/01/2018 15:37,2016,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),41370,34298,7008,0,12,49,3
29/01/2018 15:37,2016,1,3,Other UK Airports,BELFAST INTERNATIONAL,38104,31310,3374,548,2023,837,12
29/01/2018 15:37,2016,1,3,Other UK Airports,BENBECULA,1755,1755,0,0,0,0,0
29/01/2018 15:37,2016,1,3,Other UK Airports,BIGGIN HILL,61,0,0,0,14,47,0
29/01/2018 15:37,2016,1,3,Other UK Airports,BIRMINGHAM,104246,51452,36805,9354,5938,647,50
29/01/2018 15:37,2016,1,3,Other UK Airports,BLACKPOOL,6718,3182,1485,0,2051,0,0
29/01/2018 15:37,2016,1,3,Other UK Airports,BOURNEMOUTH,4302,567,2577,4,1102,50,2
29/01/2018 15:37,2016,1,3,Other UK Airports,BRISTOL,61066,38510,18014,0,4205,296,41
29/01/2018 15:37,2016,1,3,Other UK Airports,CAMBRIDGE,56,0,56,0,0,0,0
29/01/2018 15:37,2016,1,3,Other UK Airports,CAMPBELTOWN,1037,1037,0,0,0,0,0
29/01/2018 15:37,2016,1,3,Other UK Airports,CARDIFF WALES,15948,7511,5293,0,2784,336,24
29/01/2018 15:37,2016,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),1856,0,1854,0,0,2,0
29/01/2018 15:37,2016,1,3,Other UK Airports,COVENTRY,637,1,293,168,12,163,0
29/01/2018 15:37,2016,1,3,Other UK Airports,DONCASTER SHEFFIELD,10143,3119,4434,11,2152,339,88
29/01/2018 15:37,2016,1,3,Other UK Airports,DUNDEE,1465,1397,0,0,40,27,1
29/01/2018 15:37,2016,1,3,Other UK Airports,DURHAM TEES VALLEY,3684,1678,1954,0,24,26,2
