rundate,span,airport_cluster,rpt_apt_grp_cd1,prt_apt_grp_name,rpt_apt_name,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,pc_change
29/01/2018 16:01,2016 - 2016,1,1,London Area Airports,GATWICK,254414,258921,256352,245377,233553,244570,240447,244301,254540,262571,277094,5.531075404
29/01/2018 16:01,2016 - 2016,1,1,London Area Airports,HEATHROW,470891,475789,473207,460178,449271,476295,471382,469564,470708,472058,473199,0.241707587
29/01/2018 16:01,2016 - 2016,1,1,London Area Airports,LONDON CITY,66129,77274,84074,66907,59919,61064,64310,68118,70133,79251,80449,1.511652850
29/01/2018 16:01,2016 - 2016,1,1,London Area Airports,LUTON,78840,83319,85661,75093,68571,72138,71725,70889,75616,87440,102931,17.716148216
29/01/2018 16:01,2016 - 2016,1,1,London Area Airports,SOUTHEND,562,878,869,75,64,1259,7268,9475,11541,8975,8276,-7.788300836
29/01/2018 16:01,2016 - 2016,1,1,London Area Airports,STANSTED,189995,191522,177285,155985,142993,136898,131297,131925,143230,154478,164213,6.301868227
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,ABERDEEN,97863,102835,100169,94386,87950,94796,98783,99887,106143,95687,77679,-18.819693375
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,BARRA,1118,1176,1249,1196,1177,1179,1254,880,882,947,1313,38.648363252
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),36862,39925,40205,37604,38701,40556,35921,36865,36052,40571,41370,1.969387001
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,BELFAST INTERNATIONAL,48212,51805,53631,44060,39230,37308,39120,36596,34795,36273,38104,5.047831721
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,BENBECULA,2771,2857,2755,2791,2555,2573,2420,1887,1681,1692,1755,3.723404255
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,BIGGIN HILL,6,0,0,0,0,0,0,8,34,24,61,154.166666667
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,BIRMINGHAM,108658,104481,102856,93936,84790,83826,84062,84851,89056,89837,104246,16.039048499
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,BLACKPOOL,12622,12688,10630,10890,9589,8897,9607,10282,8231,6554,6718,2.502288679
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,BOURNEMOUTH,11888,12186,11792,9269,7468,6255,7182,6824,6714,8554,4302,-49.707739069
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,BRISTOL,65825,58741,60068,53796,53788,52670,50654,53966,52574,54741,61066,11.554410771
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,CAMBRIDGE,121,69,41,38,30,10,63,763,1479,373,56,-84.986595174
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,CAMPBELTOWN,962,972,978,961,910,963,953,1022,1035,977,1037,6.141248721
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,CARDIFF WALES,21872,23039,23481,20455,17189,16065,13965,14024,14228,14044,15948,13.557391057
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),4747,5733,5823,4185,3848,3839,3114,3011,2537,1927,1856,-3.684483653
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,COVENTRY,8177,7496,4415,1117,0,196,738,604,539,676,637,-5.769230769
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,DONCASTER SHEFFIELD,7694,8754,7426,6145,6926,5765,4379,4291,5118,5581,10143,81.741623365
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,DUNDEE,2339,3188,3644,3936,3646,2843,2706,1357,1204,1174,1465,24.787052811
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,DURHAM TEES VALLEY,12371,11254,9301,5714,5597,5119,4202,4327,4047,3920,3684,-6.020408163
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,56305,61496,66111,57410,52108,54413,54643,57043,57197,56378,55401,-1.732945475
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,EDINBURGH,115846,115190,113535,106477,100584,105118,102884,103828,101407,107208,116281,8.462987837
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,EXETER,15252,16825,15066,13226,12330,11943,12080,12511,12469,12967,13442,3.663144906
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,GLASGOW,96754,93668,86647,74051,68871,69932,72287,72506,74036,80321,85380,6.298477360
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,GLOUCESTERSHIRE,4,452,1652,1751,1518,1306,1402,1256,1227,1210,1099,-9.173553719
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,HUMBERSIDE,13157,13490,12960,14195,13410,12843,12518,11672,11970,10911,9188,-15.791403171
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,INVERNESS,16575,15054,13537,11696,9608,10171,10377,10011,9624,10581,11206,5.906814101
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,ISLAY,1307,1345,1477,1279,1410,1564,1353,1558,1540,1611,1612,0.062073246
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,ISLES OF SCILLY (ST.MARYS),11104,12102,11279,10955,10297,10635,10157,10816,9483,10585,11575,9.352857818
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,ISLES OF SCILLY (TRESCO),2588,2690,2578,2124,2072,1856,1560,0,0,0,0,
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,KIRKWALL,9935,10814,11198,10801,10393,10630,9728,10786,10747,10701,11045,3.214652836
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,LANDS END (ST JUST),4430,5108,4752,5282,5238,5495,5785,6985,5530,8101,8819,8.863103321
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,LEEDS BRADFORD,37251,39603,37604,32531,33428,33069,30223,30393,29873,31149,31679,1.701499246
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,LERWICK (TINGWALL),1462,1667,1545,1629,1408,1539,1545,1329,1043,1161,1149,-1.033591731
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,LIVERPOOL (JOHN LENNON),47792,45772,43708,42143,43124,45634,35853,32947,29777,32882,38287,16.437564625
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,LYDD,329,351,263,137,119,102,97,127,108,160,85,-46.875000000
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,MANCHESTER,213026,206503,191228,162126,148876,158025,160473,161050,162919,164710,184578,12.062412725
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,MANSTON (KENT INT),461,608,540,583,1151,1472,687,1640,621,0,0,
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,NEWCASTLE,58053,58395,54706,49798,46970,44646,43660,42974,42873,42069,42390,0.763032161
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,NEWQUAY,9983,10262,12229,12658,11454,6906,4747,4966,5938,5976,7046,17.904953146
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,NORWICH,21350,22596,20806,19997,15926,16361,15915,22056,23117,22898,23659,3.323434361
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,OXFORD (KIDLINGTON),0,0,0,80,91,68,713,579,55,6,23,283.333333333
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,PENZANCE HELIPORT,6300,6477,6038,4904,4838,4495,3444,0,0,0,0,
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,PLYMOUTH,4661,4662,6223,8054,6984,2197,0,0,0,0,0,
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,PRESTWICK,19405,20336,20397,15464,13100,9985,8152,8606,6615,4264,4693,10.060975610
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,SCATSTA,11409,11269,10696,12656,12700,13032,13626,13174,12381,11239,7465,-33.579499956
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,SHOREHAM,1405,2175,1507,585,564,563,435,664,382,370,143,-61.351351351
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,SOUTHAMPTON,46314,47016,44525,40520,40333,40894,38639,36054,35710,34249,37461,9.378376011
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,STORNOWAY,7168,7429,7784,7161,6419,6483,6446,6340,6296,6284,6279,-0.079567155
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,SUMBURGH,6604,7603,7816,6651,6588,6702,7072,9197,10227,11057,11931,7.904494890
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,TIREE,601,606,798,957,860,939,885,985,1018,1248,1714,37.339743590
29/01/2018 16:01,2016 - 2016,1,3,Other UK Airports,WICK JOHN O GROATS,2661,2273,2141,2206,1948,2093,2152,3337,2364,2203,1775,-19.428052655
29/01/2018 16:01,2016 - 2016,2,4,Non UK Reporting Airports,ALDERNEY,9292,9156,8541,8074,7916,7420,6652,6379,6183,5802,5584,-3.757325060
29/01/2018 16:01,2016 - 2016,2,4,Non UK Reporting Airports,GUERNSEY,34517,38218,39655,38325,37263,37631,33957,32982,25766,23608,23572,-0.152490681
29/01/2018 16:01,2016 - 2016,2,4,Non UK Reporting Airports,ISLE OF MAN,32048,30268,27929,26444,24085,23624,22995,20372,17332,19081,19007,-0.387820345
29/01/2018 16:01,2016 - 2016,2,4,Non UK Reporting Airports,JERSEY,37947,40809,43713,37650,37919,37920,36931,34299,28400,25453,25655,0.793619613

