rundate,report_period,Reporting_Airport_Group_Name,rpt_apt_name,Total_EU_ATM,Scheduled_All_EU_International_ATM,scheduled_passenger_EU_international_atm,charter_all_EU_international_atm,charter_EU_international_passenger_atm,total_non_EU_international_atm,scheduled_all_non_EU_international_atm,scheduled_passenger_non_EU_international_atm,charter_all_non_EU_international_atm,charter_passenger_non_EU_international_atm,total_domestic_atm,scheduled_all_domestic_atm,scheduled_passenger_domestic_atm,charter_all_domestic_atm,charter_passenger_domestic_atm
29/01/2018 15:48,2016,London Area Airports,GATWICK,189652,177877,177877,11775,11775,55159,50974,50974,4185,4185,32284,32169,32169,115,115
29/01/2018 15:48,2016,London Area Airports,HEATHROW,213562,212147,211217,1415,642,222456,222331,221585,125,123,37181,37180,37179,1,1
29/01/2018 15:48,2016,London Area Airports,LONDON CITY,47728,47713,47713,15,15,11218,11218,11218,0,0,21503,21501,21501,2,2
29/01/2018 15:48,2016,London Area Airports,LUTON,82601,78377,77683,4224,3533,11647,10477,10335,1170,1145,8699,8355,8253,344,219
29/01/2018 15:48,2016,London Area Airports,SOUTHEND,7766,7762,7762,4,4,266,265,265,1,1,245,242,242,3,3
29/01/2018 15:48,2016,London Area Airports,STANSTED,130980,128646,125038,2334,2151,12355,11777,8427,578,497,20915,17014,16530,3901,6
29/01/2018 15:48,2016,Other UK Airports,ABERDEEN,9978,9284,9283,694,692,33672,5050,5050,28622,28236,34030,29876,29871,4154,2916
29/01/2018 15:48,2016,Other UK Airports,BARRA,0,0,0,0,0,0,0,0,0,0,1313,1313,1309,0,0
29/01/2018 15:48,2016,Other UK Airports,BELFAST CITY (GEORGE BEST),2527,2479,2479,48,48,10,0,0,10,10,39009,39003,39003,6,6
29/01/2018 15:48,2016,Other UK Airports,BELFAST INTERNATIONAL,9305,7680,7680,1625,1620,1161,950,950,211,211,27638,26602,26602,1036,41
29/01/2018 15:48,2016,Other UK Airports,BENBECULA,0,0,0,0,0,0,0,0,0,0,1755,1755,1755,0,0
29/01/2018 15:48,2016,Other UK Airports,BIGGIN HILL,48,0,0,48,48,3,0,0,3,3,10,0,0,10,10
29/01/2018 15:48,2016,Other UK Airports,BIRMINGHAM,71465,65898,65414,5567,5497,10959,9920,9919,1039,1033,22130,22079,21485,51,22
29/01/2018 15:48,2016,Other UK Airports,BLACKPOOL,0,0,0,0,0,5227,3179,3179,2048,2048,1491,1488,1488,3,3
29/01/2018 15:48,2016,Other UK Airports,BOURNEMOUTH,3767,2785,2785,982,982,317,209,209,108,108,218,154,154,64,64
29/01/2018 15:48,2016,Other UK Airports,BRISTOL,45761,41878,41878,3883,3883,3287,3079,3079,208,208,12039,11588,11588,451,451
29/01/2018 15:48,2016,Other UK Airports,CAMBRIDGE,56,56,56,0,0,0,0,0,0,0,0,0,0,0,0
29/01/2018 15:48,2016,Other UK Airports,CAMPBELTOWN,0,0,0,0,0,0,0,0,0,0,1037,1037,1037,0,0
29/01/2018 15:48,2016,Other UK Airports,CARDIFF WALES,10532,7611,7611,2921,2919,197,47,47,150,150,5227,5147,5147,80,80
29/01/2018 15:48,2016,Other UK Airports,CITY OF DERRY (EGLINTON),74,72,72,2,2,0,0,0,0,0,1782,1782,1782,0,0
29/01/2018 15:48,2016,Other UK Airports,COVENTRY,636,461,0,175,0,0,0,0,0,0,1,1,0,0,0
29/01/2018 15:48,2016,Other UK Airports,DONCASTER SHEFFIELD,9255,6873,6421,2382,2237,170,8,0,162,103,720,683,668,37,28
29/01/2018 15:48,2016,Other UK Airports,DUNDEE,271,260,260,11,11,6,0,0,6,6,1188,1137,1137,51,51
29/01/2018 15:48,2016,Other UK Airports,DURHAM TEES VALLEY,1986,1953,1953,33,31,0,0,0,0,0,1699,1679,1679,20,18
29/01/2018 15:48,2016,Other UK Airports,EAST MIDLANDS INTERNATIONAL,37134,26685,23135,10449,3051,2579,1393,436,1186,238,15739,13795,8773,1944,41
29/01/2018 15:48,2016,Other UK Airports,EDINBURGH,45661,44026,43061,1635,1418,8058,7790,7790,268,268,62568,61613,58491,955,12
29/01/2018 15:48,2016,Other UK Airports,EXETER,4363,3131,3131,1232,1232,155,45,45,110,110,8940,8426,8426,514,24
29/01/2018 15:48,2016,Other UK Airports,GLASGOW,27321,23094,22922,4227,3991,5512,4892,4892,620,620,52566,52526,52317,40,38
29/01/2018 15:48,2016,Other UK Airports,GLOUCESTERSHIRE,0,0,0,0,0,1,0,0,1,1,1098,1098,1098,0,0
29/01/2018 15:48,2016,Other UK Airports,HUMBERSIDE,2442,2247,2246,195,195,5005,3532,3306,1473,1343,1741,1674,1672,67,67
29/01/2018 15:48,2016,Other UK Airports,INVERNESS,1200,1191,1191,9,9,73,57,57,16,16,9934,9927,9927,7,6
29/01/2018 15:48,2016,Other UK Airports,ISLAY,0,0,0,0,0,0,0,0,0,0,1612,1612,1612,0,0
29/01/2018 15:48,2016,Other UK Airports,ISLES OF SCILLY (ST.MARYS),0,0,0,0,0,0,0,0,0,0,11575,11575,10664,0,0
29/01/2018 15:48,2016,Other UK Airports,KIRKWALL,1,0,0,1,1,58,0,0,58,58,10986,10962,10913,24,24
29/01/2018 15:48,2016,Other UK Airports,LANDS END (ST JUST),0,0,0,0,0,0,0,0,0,0,8819,8819,7908,0,0
29/01/2018 15:48,2016,Other UK Airports,LEEDS BRADFORD,21729,20967,20967,762,762,846,839,839,7,7,9129,9115,9115,14,14
29/01/2018 15:48,2016,Other UK Airports,LERWICK (TINGWALL),0,0,0,0,0,0,0,0,0,0,1149,1149,1149,0,0
29/01/2018 15:48,2016,Other UK Airports,LIVERPOOL (JOHN LENNON),25328,25192,25182,136,133,1374,1333,1333,41,41,11599,11484,11483,115,114
29/01/2018 15:48,2016,Other UK Airports,LYDD,75,63,63,12,12,6,0,0,6,6,4,0,0,4,4
29/01/2018 15:48,2016,Other UK Airports,MANCHESTER,117684,106929,106395,10755,10559,32180,29222,29077,2958,2951,34784,34633,34448,151,126
29/01/2018 15:48,2016,Other UK Airports,NEWCASTLE,25174,24266,24266,908,507,2720,2652,2652,68,67,14611,13450,13345,1161,123
29/01/2018 15:48,2016,Other UK Airports,NEWQUAY,735,723,723,12,12,0,0,0,0,0,6311,6309,6309,2,2
29/01/2018 15:48,2016,Other UK Airports,NORWICH,3510,2840,2840,670,670,13810,0,0,13810,13704,6357,6336,6336,21,21
29/01/2018 15:48,2016,Other UK Airports,OXFORD (KIDLINGTON),12,11,8,1,1,0,0,0,0,0,11,4,4,7,7
29/01/2018 15:48,2016,Other UK Airports,PRESTWICK,4272,4246,3925,26,15,407,329,15,78,9,19,2,1,17,14
29/01/2018 15:48,2016,Other UK Airports,SCATSTA,0,0,0,0,0,4609,0,0,4609,4606,2856,0,0,2856,2851
29/01/2018 15:48,2016,Other UK Airports,SHOREHAM,70,0,0,70,70,0,0,0,0,0,73,0,0,73,73
29/01/2018 15:48,2016,Other UK Airports,SOUTHAMPTON,13991,13901,13901,90,84,102,101,101,1,1,23368,23339,23339,29,29
29/01/2018 15:48,2016,Other UK Airports,STORNOWAY,0,0,0,0,0,0,0,0,0,0,6279,6277,6276,2,2
29/01/2018 15:48,2016,Other UK Airports,SUMBURGH,0,0,0,0,0,4470,124,124,4346,4340,7461,6896,6896,565,562
29/01/2018 15:48,2016,Other UK Airports,TIREE,0,0,0,0,0,0,0,0,0,0,1714,1712,1709,2,2
29/01/2018 15:48,2016,Other UK Airports,WICK JOHN O GROATS,3,0,0,3,3,15,0,0,15,15,1757,1742,1742,15,15
29/01/2018 15:48,2016,Non UK Reporting Airports,ALDERNEY,0,0,0,0,0,0,0,0,0,0,5584,5580,5567,4,0
29/01/2018 15:48,2016,Non UK Reporting Airports,GUERNSEY,751,558,556,193,11,4,0,0,4,4,22818,21207,21191,1611,35
29/01/2018 15:48,2016,Non UK Reporting Airports,ISLE OF MAN,1262,1189,1189,73,73,33,26,26,7,7,17712,17181,17181,531,6
29/01/2018 15:48,2016,Non UK Reporting Airports,JERSEY,983,862,855,121,116,187,181,181,6,6,24485,24012,23029,473,57

