rundate,this_period,last_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,total_pax_tp,total_pax_lp,total_pax_pc,term_pax_tp,term_pax_lp,term_pax_pc,tran_pax_tp,tran_pax_lp,tran_pax_pc
1/29/2018 3:53:15 PM,2016,2015,1,1,London Area Airports,GATWICK,43119628,40269087,7.078732627,43114888,40260068,7.090946791,4740,9019,-47.444284289
1/29/2018 3:53:15 PM,2016,2015,1,1,London Area Airports,HEATHROW,75711130,74985475,0.967727417,75671863,74953708,0.958131384,39267,31767,23.609405987
1/29/2018 3:53:15 PM,2016,2015,1,1,London Area Airports,LONDON CITY,4538813,4319301,5.082118611,4538735,4319301,5.080312764,78,0,
1/29/2018 3:53:15 PM,2016,2015,1,1,London Area Airports,LUTON,14645619,12263505,19.424414146,14642282,12262581,19.406200049,3337,924,261.147186147
1/29/2018 3:53:15 PM,2016,2015,1,1,London Area Airports,SOUTHEND,874549,900648,-2.897802471,874411,900634,-2.911615595,138,14,885.714285714
1/29/2018 3:53:15 PM,2016,2015,1,1,London Area Airports,STANSTED,24320071,22519178,7.997152472,24318395,22513443,8.017218868,1676,5735,-70.775937228
1/29/2018 3:53:15 PM,2016,2015,1,3,Other UK Airports,ABERDEEN,2955338,3469525,-14.820097852,2955325,3469328,-14.815635766,13,197,-93.401015228
1/29/2018 3:53:15 PM,2016,2015,1,3,Other UK Airports,BARRA,12820,10658,20.285231751,12808,10658,20.172640270,12,0,
1/29/2018 3:53:15 PM,2016,2015,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),2665139,2692713,-1.024022984,2665139,2692713,-1.024022984,0,0,
1/29/2018 3:53:15 PM,2016,2015,1,3,Other UK Airports,BELFAST INTERNATIONAL,5147546,4391292,17.221674168,5147399,4389861,17.256537280,147,1431,-89.727463312
1/29/2018 3:53:15 PM,2016,2015,1,3,Other UK Airports,BENBECULA,32467,32146,0.998569029,32439,32125,0.977431907,28,21,33.333333333
1/29/2018 3:53:15 PM,2016,2015,1,3,Other UK Airports,BIGGIN HILL,627,644,-2.639751553,627,644,-2.639751553,0,0,
