Run_Date,This_Period,Last_Period,rpt_apt_grp_name,rpt_apt_name,total_pax_tp,total_pax_eu_shd_tp,total_pax_eu_cht_tp,total_pax_eu_tp,total_pax_eu_lp,total_pax_eu_pc,total_pax_oi_shd_tp,total_pax_oi_cht_tp,total_pax_oi_tp,total_pax_oi_lp,total_pax_oi_pc
29/01/2018 15:54:19,   2016,2015,London Area Airports,GATWICK,"39,245,222","26,053,520","2,184,026","28,237,546","25,945,835",8.8326739,"10,037,469","970,207","11,007,676","10,718,072",2.7020158
29/01/2018 15:54:19,   2016,2015,London Area Airports,HEATHROW,"71,002,192","26,006,358","107,635","26,113,993","25,679,606",1.6915641,"44,868,109","20,090","44,888,199","44,132,656",1.7119817
29/01/2018 15:54:19,   2016,2015,London Area Airports,LONDON CITY,"3,411,887","2,757,812","1,138","2,758,950","2,558,028",7.8545661,"652,937",0,"652,937","635,307",2.7750363
29/01/2018 15:54:19,   2016,2015,London Area Airports,LUTON,"13,598,884","11,700,891","412,895","12,113,786","9,879,993",22.6092569,"1,448,813","36,285","1,485,098","1,437,076",3.3416465
29/01/2018 15:54:19,   2016,2015,London Area Airports,SOUTHEND,"847,960","818,422",227,"818,649","840,956",-2.6525764,"29,173",138,"29,311","35,714",-17.9285434
29/01/2018 15:54:19,   2016,2015,London Area Airports,STANSTED,"22,267,799","20,518,773","368,417","20,887,190","19,330,389",8.0536455,"1,310,208","70,401","1,380,609","1,437,664",-3.9685907
29/01/2018 15:54:19,   2016,2015,Other UK Airports,ABERDEEN,"1,337,423","651,707","93,903","745,610","777,346",-4.0826093,"182,587","409,226","591,813","732,073",-19.1592915
29/01/2018 15:54:19,   2016,2015,Other UK Airports,BELFAST CITY (GEORGE BEST),"261,376","254,200","5,888","260,088","171,039",52.0635645,0,"1,288","1,288",78,1551.2820513
29/01/2018 15:54:19,   2016,2015,Other UK Airports,BELFAST INTERNATIONAL,"1,583,741","1,116,732","294,762","1,411,494","1,257,014",12.2894415,"133,078","39,169","172,247","179,219",-3.8902125
29/01/2018 15:54:19,   2016,2015,Other UK Airports,BIGGIN HILL,243,0,229,229,246,-6.9105691,0,14,14,32,-56.2500000
29/01/2018 15:54:19,   2016,2015,Other UK Airports,BIRMINGHAM,"10,331,431","7,297,525","1,003,306","8,300,831","6,843,839",21.2891040,"1,781,919","248,681","2,030,600","2,055,817",-1.2266170
29/01/2018 15:54:19,   2016,2015,Other UK Airports,BLACKPOOL,"20,498",0,0,0,0,0.0000000,"12,657","7,841","20,498","23,155",-11.4748434
29/01/2018 15:54:19,   2016,2015,Other UK Airports,BOURNEMOUTH,"658,842","441,923","169,441","611,364","571,636",6.9498772,"28,510","18,968","47,478","50,251",-5.5182981
29/01/2018 15:54:19,   2016,2015,Other UK Airports,BRISTOL,"6,312,714","5,206,597","606,772","5,813,369","5,061,694",14.8502655,"463,580","35,765","499,345","490,034",1.9000722
29/01/2018 15:54:19,   2016,2015,Other UK Airports,CAMBRIDGE,591,591,0,591,"4,012",-85.2691924,0,0,0,0,0.0000000
29/01/2018 15:54:19,   2016,2015,Other UK Airports,CAMPBELTOWN,,0,,0,36,0.0000000,0,0,0,0,0.0000000
29/01/2018 15:54:19,   2016,2015,Other UK Airports,CARDIFF WALES,"1,113,171","580,751","502,055","1,082,806","918,474",17.8918510,"3,648","26,717","30,365","72,565",-58.1547578
29/01/2018 15:54:19,   2016,2015,Other UK Airports,CITY OF DERRY (EGLINTON),"11,810","11,718",92,"11,810","7,140",65.4061625,0,0,0,0,0.0000000
29/01/2018 15:54:19,   2016,2015,Other UK Airports,DONCASTER SHEFFIELD,"1,210,054","779,265","412,674","1,191,939","792,154",50.4680908,18,"18,097","18,115","60,854",-70.2320308
29/01/2018 15:54:19,   2016,2015,Other UK Airports,DUNDEE,"15,427","15,258",90,"15,348",297,5067.6767677,0,79,79,40,97.5000000
29/01/2018 15:54:19,   2016,2015,Other UK Airports,DURHAM TEES VALLEY,"106,949","103,789","3,160","106,949","108,563",-1.4866944,0,0,0,453,0.0000000
29/01/2018 15:54:19,   2016,2015,Other UK Airports,EAST MIDLANDS INTERNATIONAL,"4,241,140","3,579,078","537,514","4,116,592","3,806,674",8.1414379,"73,438","51,110","124,548","224,368",-44.4894103
29/01/2018 15:54:19,   2016,2015,Other UK Airports,EDINBURGH,"7,159,297","5,752,186","203,744","5,955,930","4,860,352",22.5411246,"1,161,508","41,859","1,203,367","1,055,209",14.0406308
29/01/2018 15:54:19,   2016,2015,Other UK Airports,EXETER,"437,035","203,275","213,088","416,363","406,535",2.4175040,"2,560","18,112","20,672","39,413",-47.5503007
29/01/2018 15:54:19,   2016,2015,Other UK Airports,GLASGOW,"5,033,438","3,146,988","723,584","3,870,572","3,327,824",16.3093962,"1,016,607","146,259","1,162,866","1,282,198",-9.3068309
29/01/2018 15:54:19,   2016,2015,Other UK Airports,GLOUCESTERSHIRE,1,0,0,0,10,0.0000000,0,1,1,0,0.0000000
29/01/2018 15:54:19,   2016,2015,Other UK Airports,HUMBERSIDE,"173,849","120,749","22,553","143,302","139,769",2.5277422,"19,853","10,694","30,547","46,995",-34.9994680
29/01/2018 15:54:19,   2016,2015,Other UK Airports,INVERNESS,"66,008","60,759",780,"61,539","58,206",5.7262138,"3,160","1,309","4,469","4,197",6.4808196
29/01/2018 15:54:19,   2016,2015,Other UK Airports,KIRKWALL,24,0,9,9,0,0.0000000,0,15,15,197,-92.3857868
29/01/2018 15:54:19,   2016,2015,Other UK Airports,LEEDS BRADFORD,"3,207,381","2,960,953","124,911","3,085,864","2,829,150",9.0738915,"121,262",255,"121,517","173,875",-30.1124371
29/01/2018 15:54:19,   2016,2015,Other UK Airports,LERWICK (TINGWALL),,0,0,0,0,0.0000000,0,,0,3,0.0000000
29/01/2018 15:54:19,   2016,2015,Other UK Airports,LIVERPOOL (JOHN LENNON),"3,785,412","3,582,103","18,847","3,600,950","3,203,722",12.3989535,"178,977","5,485","184,462","186,963",-1.3376978
29/01/2018 15:54:19,   2016,2015,Other UK Airports,LYDD,491,390,79,469,"1,064",-55.9210526,0,22,22,50,-56.0000000
29/01/2018 15:54:19,   2016,2015,Other UK Airports,MANCHESTER,"23,303,209","14,378,320","2,085,981","16,464,301","13,831,452",19.0352322,"6,107,882","731,026","6,838,908","6,881,580",-0.6200902
29/01/2018 15:54:19,   2016,2015,Other UK Airports,NEWCASTLE,"3,656,173","3,067,827","87,045","3,154,872","2,716,847",16.1225494,"489,424","11,877","501,301","637,175",-21.3244399
29/01/2018 15:54:19,   2016,2015,Other UK Airports,NEWQUAY,"64,080","63,033","1,047","64,080","11,381",463.0436693,0,0,0,0,0.0000000
29/01/2018 15:54:19,   2016,2015,Other UK Airports,NORWICH,"383,960","169,320","96,782","266,102","227,800",16.8138718,0,"117,858","117,858","120,646",-2.3108930
29/01/2018 15:54:19,   2016,2015,Other UK Airports,OXFORD (KIDLINGTON),322,322,0,322,166,93.9759036,0,0,0,0,0.0000000
29/01/2018 15:54:19,   2016,2015,Other UK Airports,PRESTWICK,"671,291","669,554","1,326","670,880","609,112",10.1406638,44,367,411,268,53.3582090
29/01/2018 15:54:19,   2016,2015,Other UK Airports,SCATSTA,"73,276",0,0,0,0,0.0000000,0,"73,276","73,276","114,434",-35.9665834
29/01/2018 15:54:19,   2016,2015,Other UK Airports,SHOREHAM,82,0,82,82,237,-65.4008439,0,0,0,0,0.0000000
29/01/2018 15:54:19,   2016,2015,Other UK Airports,SOUTHAMPTON,"777,872","762,806","8,972","771,778","622,897",23.9013834,"5,951",143,"6,094","9,469",-35.6426233
29/01/2018 15:54:19,   2016,2015,Other UK Airports,STORNOWAY,,0,0,0,0,0.0000000,0,,0,2,0.0000000
29/01/2018 15:54:19,   2016,2015,Other UK Airports,SUMBURGH,"66,666",0,0,0,"4,358",0.0000000,"1,033","65,633","66,666","26,865",148.1518705
29/01/2018 15:54:19,   2016,2015,Other UK Airports,WICK JOHN O GROATS,28,0,28,28,120,-76.6666667,0,0,0,949,0.0000000
29/01/2018 15:54:19,   2016,2015,Non UK Reporting Airports,GUERNSEY,"10,682","10,430",157,"10,587","8,753",20.9528162,0,95,95,760,-87.5000000
29/01/2018 15:54:19,   2016,2015,Non UK Reporting Airports,ISLE OF MAN,"50,196","42,057","6,296","48,353","41,197",17.3701969,"1,557",286,"1,843","2,071",-11.0091743
29/01/2018 15:54:19,   2016,2015,Non UK Reporting Airports,JERSEY,"69,574","55,378","7,530","62,908","59,443",5.8291136,"6,502",164,"6,666","7,206",-7.4937552

