rundate,this_period,last_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,total_pax_shd_tp,total_pax_cht_tp,total_pax_tp,total_pax_lp,total_pax_pc
29/01/2018 15:55,2016,2015,1,1,London Area Airports,GATWICK,3866449,2332,3868781,3596161,7.580861925
29/01/2018 15:55,2016,2015,1,1,London Area Airports,HEATHROW,4669634,37,4669671,5141446,-9.175920548
29/01/2018 15:55,2016,2015,1,1,London Area Airports,LONDON CITY,1126760,88,1126848,1125966,0.078332738
29/01/2018 15:55,2016,2015,1,1,London Area Airports,LUTON,1040157,3229,1043386,945512,10.351428644
29/01/2018 15:55,2016,2015,1,1,London Area Airports,SOUTHEND,26064,213,26277,23964,9.651977967
29/01/2018 15:55,2016,2015,1,1,London Area Airports,STANSTED,2050355,241,2050596,1745390,17.486407049
29/01/2018 15:55,2016,2015,1,3,Other UK Airports,ABERDEEN,1519069,89347,1608416,1959909,-17.934148983
29/01/2018 15:55,2016,2015,1,3,Other UK Airports,BARRA,12808,0,12808,10658,20.172640270
29/01/2018 15:55,2016,2015,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),2403710,53,2403763,2521596,-4.672953161
29/01/2018 15:55,2016,2015,1,3,Other UK Airports,BELFAST INTERNATIONAL,3562173,1485,3563658,2953628,20.653582645
29/01/2018 15:55,2016,2015,1,3,Other UK Airports,BENBECULA,32439,0,32439,32125,0.977431907
29/01/2018 15:55,2016,2015,1,3,Other UK Airports,BIGGIN HILL,0,336,336,366,-8.196721311
29/01/2018 15:55,2016,2015,1,3,Other UK Airports,BIRMINGHAM,1305573,1122,1306695,1280403,2.053415995
29/01/2018 15:55,2016,2015,1,3,Other UK Airports,BLACKPOOL,15768,3,15771,10339,52.538930264
29/01/2018 15:55,2016,2015,1,3,Other UK Airports,BOURNEMOUTH,4883,2494,7377,83546,-91.170133818
29/01/2018 15:55,2016,2015,1,3,Other UK Airports,BRISTOL,1288331,2809,1291140,1229467,5.016238744
29/01/2018 15:55,2016,2015,1,3,Other UK Airports,CAMBRIDGE,0,0,0,1787,
29/01/2018 15:55,2016,2015,1,3,Other UK Airports,CAMPBELTOWN,8472,0,8472,8252,2.666020359
