rundate,report_period,region_num,foreign_region,foreign_country,uk_group,uk_apt,foreign_apt,ty_t_pax,ty_s_pax,ty_c_pax,ly_t_pax,ly_s_pax,ly_c_pax,pc_change
29/01/2018 17:06,2016,,Unknown,Unknown,1,GATWICK,Unknown,53,53,0,0,0,0,0
29/01/2018 17:06,2016,,Unknown,Unknown,1,STANSTED,Unknown,1271,1271,0,0,0,0,0
29/01/2018 17:06,2016,,Unknown,Unknown,2,BELFAST CITY (GEORGE BEST),Unknown,2665,0,2665,0,0,0,0
29/01/2018 17:06,2016,,Unknown,Unknown,2,BRISTOL,Unknown,2110,0,2110,0,0,0,0
29/01/2018 17:06,2016,,Unknown,Unknown,2,GLASGOW,Unknown,895,0,895,0,0,0,0
29/01/2018 17:06,2016,,Unknown,Unknown,2,LEEDS BRADFORD,Unknown,974,974,0,0,0,0,0
29/01/2018 17:06,2016,,Unknown,Unknown,2,MANCHESTER,Unknown,6336,5879,457,0,0,0,0
29/01/2018 17:06,2016,,Unknown,Unknown,2,NEWCASTLE,Unknown,69,0,69,0,0,0,0
29/01/2018 17:06,2016,1,WESTERN EUROPE-EU,AUSTRIA,1,GATWICK,GRAZ,0,0,0,622,0,622,-100
29/01/2018 17:06,2016,1,WESTERN EUROPE-EU,AUSTRIA,1,GATWICK,INNSBRUCK,192361,169395,22966,189040,128271,60769,1.75677
29/01/2018 17:06,2016,1,WESTERN EUROPE-EU,AUSTRIA,1,GATWICK,SALZBURG,138933,118692,20241,141575,111277,30298,-1.86615
29/01/2018 17:06,2016,1,WESTERN EUROPE-EU,AUSTRIA,1,GATWICK,VIENNA,251430,251430,0,203630,203529,101,23.47395
29/01/2018 17:06,2016,1,WESTERN EUROPE-EU,AUSTRIA,1,HEATHROW,INNSBRUCK,3969,3969,0,0,0,0,0
29/01/2018 17:06,2016,1,WESTERN EUROPE-EU,AUSTRIA,1,HEATHROW,SALZBURG,8981,8981,0,1585,1585,0,466.62461
