rundate,this_period,last_period,grp_cd,grp_name,apt1_apt_name,apt2_apt_name,total_pax_tp,total_pax_shd_tp,total_pax_cht_tp,total_pax_lp,total_pax_shd_lp,total_pax_cht_lp,total_pax_pc
29/01/2018 17:02,2016,2015,A,London Area Airports,GATWICK,ABERDEEN,143651,143651,0,163184,163184,0,-11.96992
29/01/2018 17:02,2016,2015,A,London Area Airports,GATWICK,BELFAST CITY (GEORGE BEST),39662,39662,0,212897,212897,0,-81.37033
29/01/2018 17:02,2016,2015,A,London Area Airports,GATWICK,BELFAST INTERNATIONAL,858757,858744,13,470344,470344,0,82.58062
29/01/2018 17:02,2016,2015,A,London Area Airports,GATWICK,BIRMINGHAM,62,60,2,36,0,36,72.22222
29/01/2018 17:02,2016,2015,A,London Area Airports,GATWICK,BRISTOL,2,0,2,1,0,1,100
29/01/2018 17:02,2016,2015,A,London Area Airports,GATWICK,CARDIFF WALES,112,0,112,38,0,38,194.73684
29/01/2018 17:02,2016,2015,A,London Area Airports,GATWICK,DONCASTER SHEFFIELD,246,0,246,37,0,37,564.86486
29/01/2018 17:02,2016,2015,A,London Area Airports,GATWICK,DURHAM TEES VALLEY,124,0,124,74,0,74,67.56757
29/01/2018 17:02,2016,2015,A,London Area Airports,GATWICK,EAST MIDLANDS INTERNATIONAL,104,0,104,176,0,176,-40.90909
29/01/2018 17:02,2016,2015,A,London Area Airports,GATWICK,EDINBURGH,700064,699899,165,672948,672948,0,4.02943
29/01/2018 17:02,2016,2015,A,London Area Airports,GATWICK,EXETER,2,1,1,0,0,0,0
29/01/2018 17:02,2016,2015,A,London Area Airports,GATWICK,GLASGOW,608550,608381,169,612497,612329,168,-0.64441
29/01/2018 17:02,2016,2015,A,London Area Airports,GATWICK,GUERNSEY,311468,311468,0,317723,317723,0,-1.9687
29/01/2018 17:02,2016,2015,A,London Area Airports,GATWICK,HEATHROW,457,452,5,0,0,0,0
29/01/2018 17:02,2016,2015,A,London Area Airports,GATWICK,HUMBERSIDE,334,0,334,209,0,209,59.80861
29/01/2018 17:02,2016,2015,A,London Area Airports,GATWICK,INVERNESS,237927,237926,1,207074,207074,0,14.8995
