rundate,this_period,last_period,reporting_airport_group_name,reporting_airport_name,total_freight_passenger_aircraft_this_period,total_freight_passenger_aircraft_last_period,total_freight_passenger_aircraft_percent_change,total_freight_cargo_aircraft_this_period,total_freight_cargo_aircraft_last_period,total_freight_cargo_aircraft_percent_change,total_freight_this_period,total_freight_last_period,total_freight_percent_change
29/01/2018 16:09:30,2016,2015,London Area Airports,  GATWICK,79587.893000,73279.623000,9.000000,0.000000,91.512000,0.000000,79587.893000,73371.135000,8.000000
29/01/2018 16:09:30,2016,2015,London Area Airports,  HEATHROW,1457192.057000,1417821.806000,3.000000,83836.655000,78715.555000,7.000000,1541028.712000,1496537.361000,3.000000
29/01/2018 16:09:30,2016,2015,London Area Airports,  LONDON CITY,68.973000,23.945000,188.000000,0.000000,0.000000,0.000000,68.973000,23.945000,188.000000
29/01/2018 16:09:30,2016,2015,London Area Airports,  LUTON,765.244000,1024.649000,-25.000000,24660.449000,26983.162000,-9.000000,25425.693000,28007.811000,-9.000000
29/01/2018 16:09:30,2016,2015,London Area Airports,  SOUTHEND,0.000000,0.045000,0.000000,0.000000,4.728000,0.000000,0.000000,4.773000,0.000000
29/01/2018 16:09:30,2016,2015,London Area Airports,  STANSTED,197.061000,789.740000,-75.000000,223005.695000,207206.610000,8.000000,223202.756000,207996.350000,7.000000
29/01/2018 16:09:30,2016,2015,Other UK Airports,  ABERDEEN,1767.683000,2556.373000,-31.000000,3963.075000,3989.082000,-1.000000,5730.758000,6545.455000,-12.000000
29/01/2018 16:09:30,2016,2015,Other UK Airports,  BARRA,14.482000,15.031000,-7.000000,0.068000,0.091000,0.000000,14.672000,15.122000,0.000000
29/01/2018 16:09:30,2016,2015,Other UK Airports,  BELFAST CITY (GEORGE BEST),475.882000,550.862000,-14.000000,0.000000,0.000000,0.000000,475.882000,550.862000,-14.000000
29/01/2018 16:09:30,2016,2015,Other UK Airports,  BELFAST INTERNATIONAL,120.959000,36.451000,236.000000,7476.419000,30352.238000,-75.000000,7597.378000,30388.689000,-75.000000
29/01/2018 16:09:30,2016,2015,Other UK Airports,  BENBECULA,5.133000,6.014000,-17.000000,0.000000,0.000000,0.000000,5.133000,6.014000,-17.000000
29/01/2018 16:09:30,2016,2015,Other UK Airports,  BIRMINGHAM,19048.092000,7163.843000,166.000000,10961.565000,0.000000,0.000000,30009.657000,7163.843000,319.000000
29/01/2018 16:09:30,2016,2015,Other UK Airports,  BOURNEMOUTH,0.000000,0.000000,0.000000,0.000000,1565.400000,0.000000,0.000000,1565.400000,0.000000
29/01/2018 16:09:30,2016,2015,Other UK Airports,  CARDIFF WALES,3.140000,11.660000,-75.000000,1.440000,14.159000,-93.000000,4.580000,25.819000,-81.000000
29/01/2018 16:09:30,2016,2015,Other UK Airports,  COVENTRY,0.000000,0.000000,0.000000,2031.618000,2258.524000,-10.000000,2031.618000,2258.524000,-10.000000
29/01/2018 16:09:30,2016,2015,Other UK Airports,  DONCASTER SHEFFIELD,16.809000,4.887000,240.000000,9323.960000,3196.175000,192.000000,9340.769000,3201.062000,192.000000
29/01/2018 16:09:30,2016,2015,Other UK Airports,  DURHAM TEES VALLEY,0.003000,0.000000,0.000000,8.347000,0.000000,0.000000,8.350000,0.000000,0.000000
29/01/2018 16:09:30,2016,2015,Other UK Airports,  EAST MIDLANDS INTERNATIONAL,0.009000,8.626000,0.000000,300101.238000,291679.943000,3.000000,300101.247000,291688.569000,3.000000
29/01/2018 16:09:30,2016,2015,Other UK Airports,  EDINBURGH,223.447000,233.851000,-5.000000,20145.449000,19088.155000,6.000000,20368.896000,19322.006000,5.000000
29/01/2018 16:09:30,2016,2015,Other UK Airports,  GLASGOW,11998.988000,12428.509000,-3.000000,953.486000,764.312000,25.000000,12952.474000,13192.821000,-2.000000
29/01/2018 16:09:30,2016,2015,Other UK Airports,  HUMBERSIDE,99.108000,120.847000,-18.000000,23.757000,27.583000,-14.000000,122.865000,148.430000,-17.000000
29/01/2018 16:09:30,2016,2015,Other UK Airports,  ISLAY,231.179000,232.894000,-1.000000,0.000000,0.000000,0.000000,231.179000,232.894000,-1.000000
29/01/2018 16:09:30,2016,2015,Other UK Airports,  ISLES OF SCILLY (ST.MARYS),41.500000,15.300000,180.000000,34.000000,43.600000,-23.000000,75.500000,58.900000,29.000000
29/01/2018 16:09:30,2016,2015,Other UK Airports,  KIRKWALL,34.425000,37.895000,-11.000000,0.220000,0.199000,0.000000,34.645000,38.094000,-8.000000
29/01/2018 16:09:30,2016,2015,Other UK Airports,  LANDS END (ST JUST),35.300000,23.900000,46.000000,35.600000,44.700000,-20.000000,70.900000,68.600000,3.000000
29/01/2018 16:09:30,2016,2015,Other UK Airports,  LEEDS BRADFORD,22.225000,8.318000,175.000000,0.000000,0.000000,0.000000,22.225000,8.318000,175.000000
29/01/2018 16:09:30,2016,2015,Other UK Airports,  LIVERPOOL (JOHN LENNON),256.009000,197.326000,30.000000,13.708000,0.000000,0.000000,269.717000,197.326000,37.000000
29/01/2018 16:09:30,2016,2015,Other UK Airports,  MANCHESTER,98718.062000,90164.376000,9.000000,10057.617000,9856.280000,2.000000,109630.182000,100020.656000,10.000000
29/01/2018 16:09:30,2016,2015,Other UK Airports,  NEWCASTLE,3756.374000,3008.935000,25.000000,818.049000,708.188000,16.000000,4574.423000,3717.123000,23.000000
29/01/2018 16:09:30,2016,2015,Other UK Airports,  NEWQUAY,2.031000,0.000000,0.000000,0.000000,0.000000,0.000000,2.031000,0.000000,0.000000
29/01/2018 16:09:30,2016,2015,Other UK Airports,  NORWICH,389.849000,259.371000,51.000000,17.502000,86.291000,-79.000000,407.351000,345.662000,18.000000
29/01/2018 16:09:30,2016,2015,Other UK Airports,  OXFORD (KIDLINGTON),0.000000,0.000000,0.000000,5.680000,0.000000,0.000000,5.680000,0.000000,0.000000
29/01/2018 16:09:30,2016,2015,Other UK Airports,  PRESTWICK,498.612000,18.080000,2672.000000,10323.300000,11223.546000,-8.000000,10821.912000,11241.626000,-4.000000
29/01/2018 16:09:30,2016,2015,Other UK Airports,  SCATSTA,455.217000,691.894000,-34.000000,1.011000,9.952000,-90.000000,456.228000,701.846000,-35.000000
29/01/2018 16:09:30,2016,2015,Other UK Airports,  SOUTHAMPTON,160.263000,169.750000,-6.000000,12.408000,15.000000,-20.000000,172.671000,184.750000,-6.000000
29/01/2018 16:09:30,2016,2015,Other UK Airports,  STORNOWAY,93.450000,100.730000,-8.000000,0.292000,0.000000,0.000000,93.742000,100.730000,-7.000000
29/01/2018 16:09:30,2016,2015,Other UK Airports,  SUMBURGH,306.009000,381.884000,-20.000000,0.458000,0.439000,0.000000,306.467000,382.323000,-20.000000
29/01/2018 16:09:30,2016,2015,Other UK Airports,  TIREE,8.351000,13.140000,-38.000000,0.054000,0.000000,0.000000,8.405000,13.140000,-38.000000
29/01/2018 16:09:30,2016,2015,Other UK Airports,  WICK JOHN O GROATS,0.309000,1.132000,0.000000,0.000000,0.000000,0.000000,0.309000,1.132000,0.000000
29/01/2018 16:09:30,2016,2015,Non UK Reporting Airports,  ALDERNEY,93.502000,106.747000,-12.000000,1.263000,1.981000,-50.000000,94.765000,108.728000,-13.000000
29/01/2018 16:09:30,2016,2015,Non UK Reporting Airports,  GUERNSEY,281.517000,302.459000,-7.000000,1583.097000,1608.838000,-2.000000,1864.614000,1911.297000,-2.000000
29/01/2018 16:09:30,2016,2015,Non UK Reporting Airports,  ISLE OF MAN,159.589000,185.392000,-14.000000,102.071000,128.592000,-21.000000,261.660000,313.984000,-17.000000
29/01/2018 16:09:30,2016,2015,Non UK Reporting Airports,  JERSEY,294.011000,236.500000,24.000000,1600.966000,2430.499000,-34.000000,1894.977000,2666.999000,-29.000000

