rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,total_mail,mail_set_down_scheduled_UK,mail_picked_up_scheduled_UK,mail_set_down_scheduled_foreign_EU,mail_picked_up_scheduled_foreign_EU,mail_set_down_scheduled_foreign_non_EU,mail_picked_up_scheduled_foreign_non_EU,mail_set_down_charter_UK,mail_picked_up_charter_UK,mail_set_down_charter_foreign_EU,mail_picked_up_charter_foreign_EU,mail_set_down_charter_foreign_non_EU,mail_picked_up_charter_foreign_non_EU
29/01/2018 16:06:35,2016,London Area Airports,  GATWICK,5444.374000,338.802000,1078.781000,620.617000,1569.766000,777.159000,1026.868000,2.364000,29.076000,0.000000,0.941000,0.000000,0.000000
29/01/2018 16:06:35,2016,London Area Airports,  HEATHROW,99196.671000,9066.520000,14733.237000,6234.345000,5013.916000,27299.054000,36838.787000,0.987000,0.000000,0.000000,0.000000,2.322000,7.503000
29/01/2018 16:06:35,2016,London Area Airports,  LONDON CITY,1904.290000,0.003000,0.000000,0.168000,399.523000,341.350000,1163.246000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
29/01/2018 16:06:35,2016,London Area Airports,  LUTON,323.608000,0.000000,18.238000,0.000000,274.246000,0.000000,31.124000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
29/01/2018 16:06:35,2016,London Area Airports,  STANSTED,22803.819000,0.000000,0.000000,69.820000,8.223000,32.650000,42.152000,6559.467000,10138.511000,2354.561000,3584.290000,0.000000,0.000000
29/01/2018 16:06:35,2016,Other UK Airports,  ABERDEEN,1657.548000,0.488000,2.692000,0.066000,0.938000,0.077000,0.000000,430.521000,134.835000,729.734000,358.157000,0.000000,0.000000
29/01/2018 16:06:35,2016,Other UK Airports,  BELFAST INTERNATIONAL,3966.556000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003000,2073.391000,1593.829000,287.818000,11.515000,0.000000,0.000000
29/01/2018 16:06:35,2016,Other UK Airports,  BIRMINGHAM,263.874000,0.009000,0.011000,0.038000,7.194000,0.022000,256.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
29/01/2018 16:06:35,2016,Other UK Airports,  EAST MIDLANDS INTERNATIONAL,19955.127000,8805.984000,9596.239000,199.682000,707.257000,0.000000,2.579000,241.135000,397.542000,0.000000,4.709000,0.000000,0.000000
29/01/2018 16:06:35,2016,Other UK Airports,  EDINBURGH,16719.257000,7804.882000,5984.266000,517.668000,306.289000,11.895000,10.453000,1208.932000,845.224000,0.930000,28.718000,0.000000,0.000000
29/01/2018 16:06:35,2016,Other UK Airports,  EXETER,3236.604000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1778.736000,1457.868000,0.000000,0.000000,0.000000,0.000000
29/01/2018 16:06:35,2016,Other UK Airports,  GLASGOW,122.567000,26.392000,67.838000,0.179000,0.089000,0.000000,28.069000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
29/01/2018 16:06:35,2016,Other UK Airports,  INVERNESS,1.892000,0.000000,0.146000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.746000,0.000000,0.000000,0.000000
29/01/2018 16:06:35,2016,Other UK Airports,  ISLAY,72.204000,48.299000,23.905000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
29/01/2018 16:06:35,2016,Other UK Airports,  ISLES OF SCILLY (ST.MARYS),196.800000,129.200000,67.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
29/01/2018 16:06:35,2016,Other UK Airports,  KIRKWALL,31.583000,7.864000,23.719000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
29/01/2018 16:06:35,2016,Other UK Airports,  LANDS END (ST JUST),197.900000,67.300000,130.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
29/01/2018 16:06:35,2016,Other UK Airports,  MANCHESTER,3536.011000,5.203000,4.077000,2.031000,15.701000,18.618000,3482.704000,5.878000,1.642000,0.000000,0.157000,0.000000,0.000000
29/01/2018 16:06:35,2016,Other UK Airports,  NEWCASTLE,4893.665000,167.386000,180.842000,107.380000,77.576000,0.000000,2.867000,1119.657000,1286.247000,1128.300000,806.194000,9.662000,7.554000
29/01/2018 16:06:35,2016,Other UK Airports,  SOUTHAMPTON,40.650000,38.702000,1.944000,0.003000,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
29/01/2018 16:06:35,2016,Other UK Airports,  TIREE,37.242000,31.787000,5.367000,0.000000,0.000000,0.000000,0.000000,0.088000,0.000000,0.000000,0.000000,0.000000,0.000000
29/01/2018 16:06:35,2016,Non UK Reporting Airports,  ALDERNEY,72.946000,50.246000,22.489000,0.000000,0.000000,0.000000,0.000000,0.211000,0.000000,0.000000,0.000000,0.000000,0.000000
29/01/2018 16:06:35,2016,Non UK Reporting Airports,  GUERNSEY,2948.357000,23.095000,51.792000,0.000000,0.000000,0.000000,0.000000,1454.605000,1411.518000,2.807000,0.000000,0.000000,0.000000
29/01/2018 16:06:35,2016,Non UK Reporting Airports,  ISLE OF MAN,2532.166000,0.000000,0.000000,0.037000,0.000000,0.000000,0.000000,1089.312000,863.463000,352.593000,226.761000,0.000000,0.000000
29/01/2018 16:06:35,2016,Non UK Reporting Airports,  JERSEY,1593.397000,292.655000,128.110000,619.896000,253.864000,0.000000,0.000000,136.387000,32.795000,87.517000,42.173000,0.000000,0.000000

