rundate,this_period,last_period,repoting_airport_group_name,reporting_airport_name,total_mail_passenger_aircraft_this_period,total_mail_passenger_aircraft_last_period,total_mail_passenger_aircraft_percent_change,total_mail_cargo_aircraft_this_period,total_mail_cargo_aircraft_last_period,total_mail_cargo_aircraft_percent_change,total_mail_this_period,total_mail_last_period,total_mail_percent_change
1/29/2018 4:00:06 PM,2016,2015,London Area Airports,GATWICK,5444.374,5521.629,(1),0.000,0.000,,5444.374,5521.629,(1)
1/29/2018 4:00:06 PM,2016,2015,London Area Airports,HEATHROW,99132.485,94853.300,5,64.186,121.863,(47),99196.671,94975.163,4
1/29/2018 4:00:06 PM,2016,2015,London Area Airports,LONDON CITY,1904.290,1437.868,32,0.000,0.000,,1904.290,1437.868,32
1/29/2018 4:00:06 PM,2016,2015,London Area Airports,LUTON,55.104,0.000,,268.504,0.000,,323.608,0.000,
1/29/2018 4:00:06 PM,2016,2015,London Area Airports,STANSTED,1.061,4.325,(75),22802.758,19110.648,19,22803.819,19114.973,19
1/29/2018 4:00:06 PM,2016,2015,Other UK Airports,ABERDEEN,3.818,9.272,(59),1653.730,1518.983,9,1657.548,1528.255,8
1/29/2018 4:00:06 PM,2016,2015,Other UK Airports,BELFAST INTERNATIONAL,0.003,0.378,(99),3966.553,16770.796,(76),3966.556,16771.174,(76)
1/29/2018 4:00:06 PM,2016,2015,Other UK Airports,BENBECULA,0.256,1.769,(86),0.000,0.000,,0.256,1.769,(86)
1/29/2018 4:00:06 PM,2016,2015,Other UK Airports,BIRMINGHAM,263.874,112.570,134,0.000,0.000,,263.874,112.570,134
1/29/2018 4:00:06 PM,2016,2015,Other UK Airports,BOURNEMOUTH,0.000,0.149,,0.000,7274.916,,0.000,7275.065,
1/29/2018 4:00:06 PM,2016,2015,Other UK Airports,BRISTOL,0.318,2.435,(87),0.000,0.000,,0.318,2.435,(87)
1/29/2018 4:00:06 PM,2016,2015,Other UK Airports,CARDIFF WALES,0.000,0.002,,0.000,274.076,,0.000,274.078,
1/29/2018 4:00:06 PM,2016,2015,Other UK Airports,EAST MIDLANDS INTERNATIONAL,2168.820,15.476,13914,17786.307,29912.574,(41),19955.127,29928.050,(33)
1/29/2018 4:00:06 PM,2016,2015,Other UK Airports,EDINBURGH,14.999,0.026,57588,16704.258,16348.099,2,16719.257,16348.125,2
1/29/2018 4:00:06 PM,2016,2015,Other UK Airports,EXETER,0.000,0.045,,3236.604,3531.921,(8),3236.604,3531.966,(8)
1/29/2018 4:00:06 PM,2016,2015,Other UK Airports,GLASGOW,122.517,110.169,11,0.050,1.625,(97),122.567,111.794,10
1/29/2018 4:00:06 PM,2016,2015,Other UK Airports,INVERNESS,0.146,0.000,,1.746,3.513,(50),1.892,3.513,(46)
1/29/2018 4:00:06 PM,2016,2015,Other UK Airports,ISLAY,72.204,69.408,4,0.000,0.000,,72.204,69.408,4
1/29/2018 4:00:06 PM,2016,2015,Other UK Airports,ISLES OF SCILLY (ST.MARYS),15.100,13.700,10,181.700,153.200,19,196.800,166.900,18
1/29/2018 4:00:06 PM,2016,2015,Other UK Airports,KIRKWALL,31.194,27.822,12,0.389,0.494,(21),31.583,28.316,12
1/29/2018 4:00:06 PM,2016,2015,Other UK Airports,LANDS END (ST JUST),25.800,16.500,56,172.100,146.600,17,197.900,163.100,21
1/29/2018 4:00:06 PM,2016,2015,Other UK Airports,MANCHESTER,3536.011,3764.954,(6),0.000,0.000,,3536.011,3764.954,(6)
1/29/2018 4:00:06 PM,2016,2015,Other UK Airports,NEWCASTLE,3.109,8.778,(65),4890.556,4623.914,6,4893.665,4632.692,6
1/29/2018 4:00:06 PM,2016,2015,Other UK Airports,SOUTHAMPTON,40.650,9.578,324,0.000,0.000,,40.650,9.578,324
1/29/2018 4:00:06 PM,2016,2015,Other UK Airports,STORNOWAY,0.229,0.586,(61),0.000,0.000,,0.229,0.586,(61)
1/29/2018 4:00:06 PM,2016,2015,Other UK Airports,TIREE,37.070,36.114,3,0.172,0.025,588,37.242,36.139,3
1/29/2018 4:00:06 PM,2016,2015,Non UK Reporting Airports,ALDERNEY,72.494,80.994,(10),0.452,1.348,(66),72.946,82.342,(11)
1/29/2018 4:00:06 PM,2016,2015,Non UK Reporting Airports,GUERNSEY,73.598,82.254,(11),2874.759,2708.650,6,2948.357,2790.904,6
1/29/2018 4:00:06 PM,2016,2015,Non UK Reporting Airports,ISLE OF MAN,5.733,0.163,3417,2526.433,2490.251,1,2532.166,2490.414,2
1/29/2018 4:00:06 PM,2016,2015,Non UK Reporting Airports,JERSEY,423.002,3.015,13930,1170.395,1742.936,(33),1593.397,1745.951,(9)

