rundate,this_period,last_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,total_pax_fw_tp,total_pax_fw_lp,total_pax_fw_pc,total_pax_rw_tp,total_pax_rw_lp,total_pax_rw_pc,total_atms_fw_tp,total_atms_fw_lp,total_atms_fw_pc,total_atms_rw_tp,total_atms_rw_lp,total_atms_rw_pc
1/29/2018 3:41:00 PM,2016,2015,1,1,London Area Airports,GATWICK,43119627,40269087,7.078730144,1,0,,277094,262571,5.531075404,1,0,
1/29/2018 3:41:00 PM,2016,2015,1,1,London Area Airports,HEATHROW,75711130,74985475,0.967727417,0,0,,473199,472058,0.241707587,0,0,
1/29/2018 3:41:00 PM,2016,2015,1,1,London Area Airports,LONDON CITY,4538813,4319301,5.082118611,0,0,,80449,79251,1.511652850,0,0,
1/29/2018 3:41:00 PM,2016,2015,1,1,London Area Airports,LUTON,14645621,12263505,19.424430454,0,0,,102948,87440,17.735590119,0,0,
1/29/2018 3:41:00 PM,2016,2015,1,1,London Area Airports,SOUTHEND,874549,900648,-2.897802471,0,0,,8277,8975,-7.777158774,0,0,
1/29/2018 3:41:00 PM,2016,2015,1,1,London Area Airports,STANSTED,24320071,22519178,7.997152472,0,0,,164250,154478,6.325819858,0,0,
1/29/2018 3:41:00 PM,2016,2015,1,3,Other UK Airports,ABERDEEN,2570705,2958563,-13.109675204,384633,510962,-24.723756365,50933,59200,-13.964527027,27178,36487,-25.513196481
1/29/2018 3:41:00 PM,2016,2015,1,3,Other UK Airports,BARRA,12820,10658,20.285231751,0,0,,1313,947,38.648363252,0,0,
1/29/2018 3:41:00 PM,2016,2015,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),2665139,2692713,-1.024022984,0,0,,41546,40571,2.403194400,0,0,
1/29/2018 3:41:00 PM,2016,2015,1,3,Other UK Airports,BELFAST INTERNATIONAL,5147546,4391292,17.221674168,0,0,,38104,36273,5.047831721,0,0,
1/29/2018 3:41:00 PM,2016,2015,1,3,Other UK Airports,BENBECULA,32467,32146,0.998569029,0,0,,1755,1692,3.723404255,0,0,
1/29/2018 3:41:00 PM,2016,2015,1,3,Other UK Airports,BIGGIN HILL,627,644,-2.639751553,0,0,,61,24,154.166666667,0,0,
1/29/2018 3:41:00 PM,2016,2015,1,3,Other UK Airports,BIRMINGHAM,11645334,10187122,14.314268544,0,0,,104554,89837,16.381891648,0,0,
1/29/2018 3:41:00 PM,2016,2015,1,3,Other UK Airports,BLACKPOOL,15766,10339,52.490569688,20503,23155,-11.453249838,1485,1046,41.969407266,5233,5508,-4.992737836
1/29/2018 3:41:00 PM,2016,2015,1,3,Other UK Airports,BOURNEMOUTH,667981,706776,-5.489009248,0,0,,4302,8554,-49.707739069,0,0,
1/29/2018 3:41:00 PM,2016,2015,1,3,Other UK Airports,BRISTOL,7610780,6786790,12.141085845,0,0,,61087,54741,11.592773241,0,0,
1/29/2018 3:41:00 PM,2016,2015,1,3,Other UK Airports,CAMBRIDGE,591,5799,-89.808587688,0,0,,56,373,-84.986595174,0,0,
1/29/2018 3:41:00 PM,2016,2015,1,3,Other UK Airports,CAMPBELTOWN,8573,8511,0.728469040,0,0,,1037,977,6.141248721,0,0,
1/29/2018 3:41:00 PM,2016,2015,1,3,Other UK Airports,CARDIFF WALES,1347483,1160506,16.111678871,0,0,,15956,14044,13.614354885,0,0,
1/29/2018 3:41:00 PM,2016,2015,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),290671,284485,2.174455595,0,0,,1856,1927,-3.684483653,0,0,
1/29/2018 3:41:00 PM,2016,2015,1,3,Other UK Airports,COVENTRY,0,0,,0,0,,637,676,-5.769230769,0,0,
1/29/2018 3:41:00 PM,2016,2015,1,3,Other UK Airports,DONCASTER SHEFFIELD,1255907,857109,46.528271200,0,0,,10145,5581,81.777459237,0,0,
1/29/2018 3:41:00 PM,2016,2015,1,3,Other UK Airports,DUNDEE,37631,21973,71.260182952,16,0,,1464,1174,24.701873935,1,0,
1/29/2018 3:41:00 PM,2016,2015,1,3,Other UK Airports,DURHAM TEES VALLEY,132369,140902,-6.055982172,0,0,,3685,3920,-5.994897959,0,0,
1/29/2018 3:41:00 PM,2016,2015,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,4653818,4450862,4.559925695,0,0,,55450,56378,-1.646032140,2,0,
1/29/2018 3:41:00 PM,2016,2015,1,3,Other UK Airports,EDINBURGH,12348425,11114587,11.101069253,0,0,,116287,107208,8.468584434,0,0,
