rundate,report_period,airport_name,this_year_pax,this_year_total_pax,Five_years_prev_pax,Five_years_prev_pax_total
08/03/2018 09:14,2017,HEATHROW,77987524,284570301,69983139,220643625
08/03/2018 09:14,2017,GATWICK,45553837,284570301,34218668,220643625
08/03/2018 09:14,2017,MANCHESTER,27773303,284570301,19654100,220643625
08/03/2018 09:14,2017,STANSTED,25902618,284570301,17464792,220643625
08/03/2018 09:14,2017,LUTON,15989225,284570301,9614175,220643625
08/03/2018 09:14,2017,EDINBURGH,13409295,284570301,9194334,220643625
08/03/2018 09:14,2017,BIRMINGHAM,12982180,284570301,8916209,220643625
08/03/2018 09:14,2017,GLASGOW,9894845,284570301,7150095,220643625
08/03/2018 09:14,2017,BRISTOL,8233387,284570301,5916258,220643625
08/03/2018 09:14,2017,BELFAST INTERNATIONAL,5836735,284570301,4312441,220643625
08/03/2018 09:14,2017,NEWCASTLE,5297952,284570301,4354648,220643625
08/03/2018 09:14,2017,LIVERPOOL (JOHN LENNON),4896603,284570301,4458500,220643625
08/03/2018 09:14,2017,EAST MIDLANDS INTERNATIONAL,4877545,284570301,4067915,220643625
08/03/2018 09:14,2017,LONDON CITY,4530439,284570301,3016664,220643625
08/03/2018 09:14,2017,LEEDS BRADFORD,4074500,284570301,2968700,220643625
08/03/2018 09:14,2017,ABERDEEN,3090272,284570301,3328533,220643625
08/03/2018 09:14,2017,BELFAST CITY (GEORGE BEST),2559846,284570301,2246202,220643625
08/03/2018 09:14,2017,SOUTHAMPTON,2069605,284570301,1693350,220643625
08/03/2018 09:14,2017,CARDIFF WALES,1464180,284570301,1013386,220643625
08/03/2018 09:14,2017,DONCASTER SHEFFIELD,1335590,284570301,693129,220643625
08/03/2018 09:14,2017,SOUTHEND,1091738,284570301,616974,220643625
08/03/2018 09:14,2017,EXETER,908260,284570301,694963,220643625
08/03/2018 09:14,2017,INVERNESS,874486,284570301,601550,220643625
08/03/2018 09:14,2017,PRESTWICK,695669,284570301,1066917,220643625
08/03/2018 09:14,2017,BOURNEMOUTH,693977,284570301,689755,220643625
08/03/2018 09:14,2017,NORWICH,528153,284570301,396646,220643625
08/03/2018 09:14,2017,NEWQUAY,459924,284570301,166272,220643625
08/03/2018 09:14,2017,SUMBURGH,256393,284570301,148861,220643625
08/03/2018 09:14,2017,CITY OF DERRY (EGLINTON),193981,284570301,398209,220643625
08/03/2018 09:14,2017,HUMBERSIDE,190490,284570301,233589,220643625
08/03/2018 09:14,2017,SCATSTA,170847,284570301,304426,220643625
08/03/2018 09:14,2017,KIRKWALL,164484,284570301,132235,220643625
08/03/2018 09:14,2017,STORNOWAY,132009,284570301,115860,220643625
08/03/2018 09:14,2017,DURHAM TEES VALLEY,128007,284570301,164826,220643625
08/03/2018 09:14,2017,ISLES OF SCILLY (ST.MARYS),91852,284570301,97012,220643625
08/03/2018 09:14,2017,LANDS END (ST JUST),58834,284570301,31964,220643625
08/03/2018 09:14,2017,BENBECULA,33258,284570301,30849,220643625
08/03/2018 09:14,2017,ISLAY,32392,284570301,21230,220643625
08/03/2018 09:14,2017,BLACKPOOL,23391,284570301,235191,220643625
08/03/2018 09:14,2017,DUNDEE,21327,284570301,54642,220643625
08/03/2018 09:14,2017,WICK JOHN O GROATS,17672,284570301,24920,220643625
08/03/2018 09:14,2017,BARRA,14913,284570301,11414,220643625
08/03/2018 09:14,2017,TIREE,12137,284570301,7317,220643625
08/03/2018 09:14,2017,CAMPBELTOWN,8726,284570301,8689,220643625
08/03/2018 09:14,2017,LERWICK (TINGWALL),4139,284570301,5041,220643625
08/03/2018 09:14,2017,GLOUCESTERSHIRE,1488,284570301,15245,220643625
08/03/2018 09:14,2017,BIGGIN HILL,1318,284570301,0,220643625
08/03/2018 09:14,2017,LYDD,865,284570301,445,220643625
08/03/2018 09:14,2017,OXFORD (KIDLINGTON),90,284570301,6551,220643625
08/03/2018 09:14,2017,CAMBRIDGE,0,284570301,2130,220643625
08/03/2018 09:14,2017,ISLES OF SCILLY (TRESCO),0,284570301,24175,220643625
08/03/2018 09:14,2017,MANSTON (KENT INT),0,284570301,8262,220643625
08/03/2018 09:14,2017,PENZANCE HELIPORT,0,284570301,61747,220643625
08/03/2018 09:14,2017,SHOREHAM,0,284570301,480,220643625

