rundate,span,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,yr01,yr02,yr03,yr04,yr05,yr06,yr07,yr08,yr09,yr10,yr11,pc_change
03/04/2018 13:58,2007 - 2017,1,1,London Area Airports,GATWICK,266550,263653,251879,240500,251067,246987,250520,259962,267760,280666,285912,1.86912558
03/04/2018 13:58,2007 - 2017,1,1,London Area Airports,HEATHROW,481476,478693,466393,454823,480906,475176,471936,472802,474087,474963,475783,0.172645027
03/04/2018 13:58,2007 - 2017,1,1,London Area Airports,LONDON CITY,91177,94516,76861,68640,68792,70781,74006,76260,84753,85169,80490,-5.493782949
03/04/2018 13:58,2007 - 2017,1,1,London Area Airports,LUTON,120238,117859,98736,94574,97574,96797,95763,101950,114083,128519,133743,4.064768633
03/04/2018 13:58,2007 - 2017,1,1,London Area Airports,SOUTHEND,39881,37227,31785,27320,25470,27715,29443,30514,23538,23449,26674,13.75325174
03/04/2018 13:58,2007 - 2017,1,1,London Area Airports,STANSTED,208462,193282,167817,155140,148317,143511,146324,157117,168629,180430,189919,5.259103253
03/04/2018 13:58,2007 - 2017,1,2,London Heliports,METRO LONDON HELIPORT,13126,11326,8391,8055,8442,7170,7650,8925,10352,11347,11899,4.864721953
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,ABERDEEN,121927,119831,109876,102396,108862,115013,118219,124282,112357,96156,97007,0.885020176
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,BARRA,1296,1310,1356,1252,1258,1403,966,988,1034,1347,1412,4.825538233
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),43022,42990,39330,40324,41844,37189,38050,37112,41782,42475,36332,-14.46262507
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,BELFAST INTERNATIONAL,77395,77943,68813,60742,57460,58011,54003,50973,52246,55155,58152,5.433777536
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,BEMBRIDGE,13354,15462,17460,15514,0,0,0,0,0,0,0,
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,BENBECULA,4810,4660,4779,4402,4366,4478,3708,3504,3517,3648,3420,-6.25
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,BIGGIN HILL,69244,62211,58279,49830,47354,44264,41493,45477,50481,52970,50000,-5.606947329
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,BIRMINGHAM,114679,112227,101221,95454,93145,92632,95713,97346,98015,113184,122067,7.848282443
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,BLACKPOOL,58824,54249,52575,50905,48922,46875,41406,32776,33075,33749,33429,-0.948176242
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,BOURNEMOUTH,71742,78527,82538,55398,51799,51089,47174,43122,43020,36922,34641,-6.177888522
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,BRISTOL,76428,76517,70245,69134,66179,61206,65299,64230,68074,73536,76199,3.621355527
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,CAMBRIDGE,38983,42602,39573,24304,21745,17292,19785,20036,19215,20226,20749,2.585780678
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,CAMPBELTOWN,3674,1921,2418,2334,1993,1527,1596,1628,1520,1452,1410,-2.892561983
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,CARDIFF WALES,43963,37123,27003,25645,29130,26842,24879,25864,25077,26256,28934,10.19957343
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,CARLISLE,23363,19626,21395,18419,14911,17349,17280,16427,18427,19826,17439,-12.03974579
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),11598,13035,10286,9948,8464,7355,7103,5764,5005,5441,5156,-5.238007719
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,COVENTRY,54925,56144,51147,6648,29754,39964,41629,42928,39285,35932,26357,-26.6475565
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,DONCASTER SHEFFIELD,12667,13066,10584,11030,11876,11724,11197,11697,11998,16098,17435,8.30537955
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,DUNDEE,37292,36297,39274,37169,36815,40926,40427,35730,38680,36730,38096,3.719030765
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,DURHAM TEES VALLEY,57515,45310,25208,20756,20879,17938,18298,17940,18702,21162,19668,-7.059824213
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,93989,93038,83256,69452,75140,74602,76563,76726,77053,73689,77067,4.584130603
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,EDINBURGH,128172,125550,115969,108997,113357,110288,111736,109545,115286,122220,128675,5.281459663
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,EXETER,50062,44134,37562,33740,31308,31093,31458,32852,33210,40665,40472,-0.474609615
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,GLASGOW,108305,100087,85281,77755,78111,80472,79520,84000,90790,98127,102766,4.727546954
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,GLOUCESTERSHIRE,78694,76755,68075,67788,66715,73762,73857,73687,74474,83329,81451,-2.253717193
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,HAWARDEN,22801,23227,18851,17731,18911,18550,15662,13533,14882,18433,18208,-1.220636901
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,HUMBERSIDE,38797,37758,35060,32813,26599,25636,27178,27647,25665,22744,18282,-19.61836089
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,INVERNESS,39139,40538,30290,28155,30755,31764,28947,28495,29873,30450,31002,1.812807882
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,ISLAY,2650,2625,2603,2775,3003,2969,2637,2610,2515,2540,2637,3.818897638
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,ISLES OF SCILLY (ST.MARYS),14138,12951,12945,12097,12016,11425,12238,10965,12210,13164,11357,-13.72683075
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,ISLES OF SCILLY (TRESCO),2752,2578,2126,2072,1856,1560,0,0,0,0,0,
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,KIRKWALL,15574,15982,15590,14535,14131,13980,14403,14420,14199,14539,14754,1.478781209
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,LANDS END (ST JUST),14718,11962,8396,10412,8910,7460,8586,7088,10425,11189,10062,-10.07239253
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,LEEDS BRADFORD,65249,61699,53817,52284,51527,47311,45627,42989,42912,44304,46159,4.18698086
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,LERWICK (TINGWALL),2050,2085,2157,1859,1926,1924,2084,2169,2801,2426,1795,-26.00989283
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,LIVERPOOL (JOHN LENNON),86668,84890,79298,68164,69055,60270,55839,52249,55905,62441,56643,-9.285565574
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,LYDD,24725,21488,21785,20527,18259,17397,16347,19808,20095,22060,19853,-10.00453309
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,MANCHESTER,222703,204610,172515,159114,167469,168883,169497,170639,173165,192293,203689,5.926372775
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,MANSTON (KENT INT),21521,19269,18902,16260,18695,14688,17504,6494,0,0,0,
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,NEWCASTLE,79200,72904,69254,66677,64521,61006,59962,59114,55950,56263,57808,2.746032028
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,NEWQUAY,11178,12238,12835,11680,7130,4859,5118,9261,22848,30417,37113,22.01400533
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,NORWICH,54086,47792,42003,36864,38929,39846,40702,37391,36045,37190,37307,0.314600699
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,OXFORD (KIDLINGTON),0,0,36316,38382,40648,40322,37553,42456,44020,40507,36902,-8.899696349
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,PENZANCE HELIPORT,6899,6406,5218,5064,4762,3573,0,0,0,0,0,
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,PLYMOUTH,18377,19651,19763,18495,12193,0,0,0,0,0,0,
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,PRESTWICK,47910,42708,34230,33087,28131,25670,24305,25643,22765,25714,24897,-3.177257525
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,SCATSTA,12961,12951,14364,13841,14475,15587,14668,13778,12221,7894,8224,4.18039017
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,SHOREHAM,70420,60551,60775,60218,60673,54764,55500,54344,48731,51394,47203,-8.154648403
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,SOUTHAMPTON,54183,50689,45502,45350,45700,43284,40501,40374,39379,42824,44161,3.122081076
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,STORNOWAY,12716,13072,11627,10952,11255,11564,11049,10909,10952,10600,10924,3.056603774
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,SUMBURGH,13984,14758,12159,11118,12228,14045,16771,18171,17171,21129,22347,5.764588954
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,SWANSEA,26663,33037,30948,35899,27051,36393,20731,14100,8983,11230,9255,-17.58682102
03/04/2018 13:58,2007 - 2017,1,3,Other UK Airports,TIREE,868,1071,1316,1210,1111,1224,1247,1295,1478,1937,1903,-1.755291688
