rundate,report_period,Reporting_Airport_Group_Name,rpt_apt_name,Total_EU_ATM,Scheduled_All_EU_International_ATM,scheduled_passenger_EU_international_atm,charter_all_EU_international_atm,charter_EU_international_passenger_atm,total_non_EU_international_atm,scheduled_all_non_EU_international_atm,scheduled_passenger_non_EU_international_atm,charter_all_non_EU_international_atm,charter_passenger_non_EU_international_atm,total_domestic_atm,scheduled_all_domestic_atm,scheduled_passenger_domestic_atm,charter_all_domestic_atm,charter_passenger_domestic_atm
08/03/2018 10:27,2017,London Area Airports,GATWICK,191481,179705,179705,11776,11776,59285,55934,55934,3351,3351,32671,32501,32500,170,170
08/03/2018 10:27,2017,London Area Airports,HEATHROW,213404,212026,210690,1378,717,222691,222591,221619,100,98,40091,40088,40088,3,3
08/03/2018 10:27,2017,London Area Airports,LONDON CITY,46255,46240,46240,15,15,10278,10278,10278,0,0,20079,20077,20077,2,2
08/03/2018 10:27,2017,London Area Airports,LUTON,85781,82624,81512,3157,3157,11295,10573,10368,722,722,8998,8853,8680,145,145
08/03/2018 10:27,2017,London Area Airports,SOUTHEND,10295,10295,10295,0,0,294,294,294,0,0,744,744,744,0,0
08/03/2018 10:27,2017,London Area Airports,STANSTED,141284,138921,135059,2363,2099,13969,13510,10172,459,381,17369,14713,14310,2656,6
08/03/2018 10:27,2017,Other UK Airports,ABERDEEN,9545,8967,8967,578,577,32385,4683,4682,27702,27152,39998,34349,34319,5649,4486
08/03/2018 10:27,2017,Other UK Airports,BARRA,0,0,0,0,0,0,0,0,0,0,1394,1394,1392,0,0
08/03/2018 10:27,2017,Other UK Airports,BELFAST CITY (GEORGE BEST),1963,1906,1906,57,57,195,184,184,11,11,34733,34706,34706,27,27
08/03/2018 10:27,2017,Other UK Airports,BELFAST INTERNATIONAL,12747,10989,10989,1758,1679,604,505,505,99,97,28341,26819,26819,1522,58
08/03/2018 10:27,2017,Other UK Airports,BENBECULA,0,0,0,0,0,0,0,0,0,0,1827,1827,1827,0,0
08/03/2018 10:27,2017,Other UK Airports,BIGGIN HILL,110,0,0,110,110,17,0,0,17,17,19,0,0,19,19
08/03/2018 10:27,2017,Other UK Airports,BIRMINGHAM,80238,74383,72758,5855,5756,10560,9504,9501,1056,1037,22107,22050,21288,57,17
08/03/2018 10:27,2017,Other UK Airports,BLACKPOOL,0,0,0,0,0,5211,0,0,5211,5211,186,186,186,0,0
08/03/2018 10:27,2017,Other UK Airports,BOURNEMOUTH,3825,2765,2765,1060,1060,313,259,259,54,54,113,62,62,51,51
08/03/2018 10:27,2017,Other UK Airports,BRISTOL,49064,45305,45305,3759,3759,3277,2963,2963,314,314,11522,10966,10966,556,556
08/03/2018 10:27,2017,Other UK Airports,CAMPBELTOWN,0,0,0,0,0,0,0,0,0,0,1074,1074,1074,0,0
08/03/2018 10:27,2017,Other UK Airports,CARDIFF WALES,10707,7761,7761,2946,2946,240,57,57,183,183,6000,5907,5907,93,93
08/03/2018 10:27,2017,Other UK Airports,CITY OF DERRY (EGLINTON),22,4,4,18,18,1,1,1,0,0,1888,1885,1885,3,3
08/03/2018 10:27,2017,Other UK Airports,DONCASTER SHEFFIELD,9211,6920,6739,2291,2233,153,31,2,122,50,678,657,657,21,21
08/03/2018 10:27,2017,Other UK Airports,DUNDEE,17,0,0,17,17,6,0,0,6,6,1151,1139,1139,12,12
08/03/2018 10:27,2017,Other UK Airports,DURHAM TEES VALLEY,1964,1945,1945,19,18,6,1,1,5,4,2148,2125,2125,23,23
08/03/2018 10:27,2017,Other UK Airports,EAST MIDLANDS INTERNATIONAL,39400,29124,24396,10276,2972,2514,1656,462,858,128,15038,13291,7378,1747,33
08/03/2018 10:27,2017,Other UK Airports,EDINBURGH,50768,49248,48247,1520,1431,9047,8900,8898,147,147,62895,62249,58955,646,19
08/03/2018 10:27,2017,Other UK Airports,EXETER,4480,3243,3243,1237,1237,124,86,86,38,38,9175,8662,8662,513,12
08/03/2018 10:27,2017,Other UK Airports,GLASGOW,30266,26490,26100,3776,3774,5690,5010,5010,680,680,52905,52880,52669,25,25
08/03/2018 10:27,2017,Other UK Airports,GLOUCESTERSHIRE,3,0,0,3,3,0,0,0,0,0,137,136,136,1,1
08/03/2018 10:27,2017,Other UK Airports,HUMBERSIDE,2290,2079,2079,211,211,2802,0,0,2802,2684,1711,1679,1679,32,32
08/03/2018 10:27,2017,Other UK Airports,INVERNESS,1680,1658,1658,22,22,29,24,24,5,5,10537,10504,10504,33,7
08/03/2018 10:27,2017,Other UK Airports,ISLAY,0,0,0,0,0,0,0,0,0,0,1908,1908,1907,0,0
08/03/2018 10:27,2017,Other UK Airports,ISLES OF SCILLY (ST.MARYS),0,0,0,0,0,0,0,0,0,0,10031,10031,9195,0,0
08/03/2018 10:27,2017,Other UK Airports,KIRKWALL,0,0,0,0,0,38,30,30,8,8,11970,11966,11917,4,4
08/03/2018 10:27,2017,Other UK Airports,LANDS END (ST JUST),0,0,0,0,0,0,0,0,0,0,7312,7312,6480,0,0
08/03/2018 10:27,2017,Other UK Airports,LEEDS BRADFORD,24179,23407,23407,772,772,781,765,765,16,16,9589,9557,9557,32,32
08/03/2018 10:27,2017,Other UK Airports,LERWICK (TINGWALL),0,0,0,0,0,0,0,0,0,0,1023,1023,1023,0,0
08/03/2018 10:27,2017,Other UK Airports,LIVERPOOL (JOHN LENNON),24924,24703,24700,221,219,1257,1222,1222,35,35,9261,9156,9156,105,105
08/03/2018 10:27,2017,Other UK Airports,LYDD,140,112,112,28,28,8,0,0,8,8,2,0,0,2,2
08/03/2018 10:27,2017,Other UK Airports,MANCHESTER,124342,113443,112927,10899,10782,34314,31748,31668,2566,2525,37874,37826,37625,48,47
08/03/2018 10:27,2017,Other UK Airports,NEWCASTLE,28089,27710,27710,379,39,2517,2499,2499,18,18,13311,12907,12907,404,108
08/03/2018 10:27,2017,Other UK Airports,NEWQUAY,1087,1081,1081,6,6,0,0,0,0,0,7143,7143,7143,0,0
08/03/2018 10:27,2017,Other UK Airports,NORWICH,3510,2510,2510,1000,1000,13694,21,21,13673,13673,6372,6252,6252,120,120
08/03/2018 10:27,2017,Other UK Airports,OXFORD (KIDLINGTON),0,0,0,0,0,0,0,0,0,0,2,2,2,0,0
08/03/2018 10:27,2017,Other UK Airports,PRESTWICK,4570,4529,4194,41,26,378,340,0,38,1,40,0,0,40,40
08/03/2018 10:27,2017,Other UK Airports,SCATSTA,0,0,0,0,0,4831,0,0,4831,4831,2949,0,0,2949,2949
08/03/2018 10:27,2017,Other UK Airports,SHOREHAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/03/2018 10:27,2017,Other UK Airports,SOUTHAMPTON,14604,14537,14536,67,59,126,125,125,1,1,24555,24501,24487,54,54
08/03/2018 10:27,2017,Other UK Airports,STORNOWAY,0,0,0,0,0,0,0,0,0,0,6919,6918,6916,1,1
08/03/2018 10:27,2017,Other UK Airports,SUMBURGH,0,0,0,0,0,1806,59,59,1747,1747,9816,8118,8117,1698,1698
08/03/2018 10:27,2017,Other UK Airports,TIREE,0,0,0,0,0,0,0,0,0,0,1764,1764,1759,0,0
08/03/2018 10:27,2017,Other UK Airports,WICK JOHN O GROATS,0,0,0,0,0,1,0,0,1,1,1749,1749,1749,0,0
08/03/2018 10:27,2017,Non UK Reporting Airports,ALDERNEY,0,0,0,0,0,0,0,0,0,0,5742,5742,5709,0,0
