rundate,this_period,last_period,reporting_airport_group_name,reporting_airport_name,total_atms_this_period,atms_passenger_aircraft_this_period,atms_cargo_aircraft_this_period,total_atms_last_period,atms_passenger_aircraft_last_period,atms_cargo_aircraft_last_period,total_atms_percent,atms_passenger_aircraft_percent,atms_cargo_aircraft_percent
08/03/2018 10:29,2017,2016,London Area Airports,GATWICK,283437,283436,1,277095,277095,0,2.288746,2.288385,
08/03/2018 10:29,2017,2016,London Area Airports,HEATHROW,476186,473215,2971,473199,470747,2452,0.631235,0.524273,21.166395
08/03/2018 10:29,2017,2016,London Area Airports,LONDON CITY,76612,76612,0,80449,80449,0,-4.769481,-4.769481,
08/03/2018 10:29,2017,2016,London Area Airports,LUTON,106074,104584,1490,102946,101168,1778,3.038486,3.376562,-16.197975
08/03/2018 10:29,2017,2016,London Area Airports,SOUTHEND,11333,11333,0,8277,8277,0,36.921590,36.921590,
08/03/2018 10:29,2017,2016,London Area Airports,STANSTED,172153,162027,10126,163895,152649,11246,5.038592,6.143506,-9.959097
08/03/2018 10:29,2017,2016,Other UK Airports,ABERDEEN,81928,80183,1745,78111,76478,1633,4.886636,4.844530,6.858543
08/03/2018 10:29,2017,2016,Other UK Airports,BARRA,1394,1392,2,1311,1309,2,6.331045,6.340718,0.000000
08/03/2018 10:29,2017,2016,Other UK Airports,BELFAST CITY (GEORGE BEST),36891,36891,0,41546,41546,0,-11.204448,-11.204448,
08/03/2018 10:29,2017,2016,Other UK Airports,BELFAST INTERNATIONAL,41692,40147,1545,38104,37104,1000,9.416334,8.201272,54.500000
08/03/2018 10:29,2017,2016,Other UK Airports,BENBECULA,1827,1827,0,1755,1755,0,4.102564,4.102564,
08/03/2018 10:29,2017,2016,Other UK Airports,BIGGIN HILL,146,146,0,61,61,0,139.344262,139.344262,
08/03/2018 10:29,2017,2016,Other UK Airports,BIRMINGHAM,112905,110357,2548,104554,103370,1184,7.987260,6.759214,115.202703
08/03/2018 10:29,2017,2016,Other UK Airports,BLACKPOOL,5397,5397,0,6718,6718,0,-19.663590,-19.663590,
08/03/2018 10:29,2017,2016,Other UK Airports,BOURNEMOUTH,4251,4251,0,4302,4302,0,-1.185495,-1.185495,
08/03/2018 10:29,2017,2016,Other UK Airports,BRISTOL,63863,63863,0,61087,61087,0,4.544338,4.544338,
08/03/2018 10:29,2017,2016,Other UK Airports,CAMBRIDGE,0,0,0,56,56,0,-.000000,-.000000,
08/03/2018 10:29,2017,2016,Other UK Airports,CAMPBELTOWN,1074,1074,0,1037,1037,0,3.567985,3.567985,
08/03/2018 10:29,2017,2016,Other UK Airports,CARDIFF WALES,16947,16947,0,15956,15954,2,6.210830,6.224144,-.000000
08/03/2018 10:29,2017,2016,Other UK Airports,CITY OF DERRY (EGLINTON),1911,1911,0,1856,1856,0,2.963362,2.963362,
08/03/2018 10:29,2017,2016,Other UK Airports,COVENTRY,0,0,0,637,0,637,-.000000,,-.000000
08/03/2018 10:29,2017,2016,Other UK Airports,DONCASTER SHEFFIELD,10042,9702,340,10145,9457,688,-1.015278,2.590674,-50.581395
08/03/2018 10:29,2017,2016,Other UK Airports,DUNDEE,1174,1174,0,1465,1465,0,-19.863481,-19.863481,
08/03/2018 10:29,2017,2016,Other UK Airports,DURHAM TEES VALLEY,4118,4116,2,3685,3681,4,11.750339,11.817441,-50.000000
08/03/2018 10:29,2017,2016,Other UK Airports,EAST MIDLANDS INTERNATIONAL,56655,35369,21286,55031,35674,19357,2.951064,-0.854964,9.965387
08/03/2018 10:29,2017,2016,Other UK Airports,EDINBURGH,122710,117697,5013,116235,111040,5195,5.570611,5.995137,-3.503369
08/03/2018 10:29,2017,2016,Other UK Airports,EXETER,13779,13278,501,13458,12968,490,2.385198,2.390500,2.244898
08/03/2018 10:29,2017,2016,Other UK Airports,GLASGOW,88861,88258,603,85399,84780,619,4.053912,4.102383,-2.584814
08/03/2018 10:29,2017,2016,Other UK Airports,GLOUCESTERSHIRE,140,140,0,1099,1099,0,-87.261146,-87.261146,
08/03/2018 10:29,2017,2016,Other UK Airports,HUMBERSIDE,6803,6685,118,9188,8829,359,-25.957771,-24.283611,-67.130919
08/03/2018 10:29,2017,2016,Other UK Airports,INVERNESS,12246,12220,26,11207,11206,1,9.270991,9.048724,"2,500.000000"
08/03/2018 10:29,2017,2016,Other UK Airports,ISLAY,1908,1907,1,1612,1612,0,18.362283,18.300248,
08/03/2018 10:29,2017,2016,Other UK Airports,ISLES OF SCILLY (ST.MARYS),10031,9195,836,11575,10664,911,-13.339093,-13.775319,-8.232711
08/03/2018 10:29,2017,2016,Other UK Airports,KIRKWALL,12008,11959,49,11045,10996,49,8.718877,8.757730,0.000000
