rundate,report_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,total_pax,pax_term_shd_uk,pax_tran_shd_uk,pax_term_shd_fe,pax_tran_shd_fe,pax_term_shd_fn,pax_tran_shd_fn,pax_term_cht_uk,pax_tran_cht_uk,pax_term_cht_fe,pax_tran_cht_fe,pax_term_cht_fn,pax_tran_cht_fn
29/06/2018 11:44,2017,1,1,London Area Airports,GATWICK,45556899,30276021,1890,7750594,669,4555471,450,2467088,53,491770,0,12893,0
29/06/2018 11:44,2017,1,1,London Area Airports,HEATHROW,78012825,40496455,12,11977493,1012,25382813,24277,124695,0,2685,0,3383,0
29/06/2018 11:44,2017,1,1,London Area Airports,LONDON CITY,4530439,2752297,0,1357834,0,419441,0,412,0,455,0,0,0
29/06/2018 11:44,2017,1,1,London Area Airports,LUTON,15989873,7484786,246,7934434,291,138734,0,410343,514,14575,0,5950,0
29/06/2018 11:44,2017,1,1,London Area Airports,SOUTHEND,1092269,960409,653,131166,0,41,0,0,0,0,0,0,0
29/06/2018 11:44,2017,1,1,London Area Airports,STANSTED,25854332,4223872,840,20668448,0,536516,0,388869,0,25467,332,9328,660
29/06/2018 11:44,2017,1,3,Other UK Airports,ABERDEEN,3090443,1641704,31,766824,162,94013,0,493946,16,93095,161,491,0
29/06/2018 11:44,2017,1,3,Other UK Airports,BARRA,14913,14913,0,0,0,0,0,0,0,0,0,0,0
29/06/2018 11:44,2017,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),2559846,2072937,0,472457,0,6392,0,952,0,7108,0,0,0
29/06/2018 11:44,2017,1,3,Other UK Airports,BELFAST INTERNATIONAL,5836552,4529346,0,966677,0,2475,0,305340,0,31986,0,728,0
29/06/2018 11:44,2017,1,3,Other UK Airports,BENBECULA,33312,33258,54,0,0,0,0,0,0,0,0,0,0
29/06/2018 11:44,2017,1,3,Other UK Airports,BIGGIN HILL,1318,0,0,0,0,0,0,542,0,776,0,0,0
29/06/2018 11:44,2017,1,3,Other UK Airports,BIRMINGHAM,12887170,5208495,2329,4858858,1644,1534440,1584,1221081,323,36031,306,20322,1757
29/06/2018 11:44,2017,1,3,Other UK Airports,BLACKPOOL,23391,0,0,1906,0,0,0,21485,0,0,0,0,0
29/06/2018 11:44,2017,1,3,Other UK Airports,BOURNEMOUTH,647872,36449,331,409638,352,3863,0,187031,0,4128,0,6080,0
29/06/2018 11:44,2017,1,3,Other UK Airports,BRISTOL,8239250,5206305,656,2367760,88,314,0,586458,5044,54299,75,18251,0
29/06/2018 11:44,2017,1,3,Other UK Airports,CAMPBELTOWN,8806,8722,80,4,0,0,0,0,0,0,0,0,0
29/06/2018 11:44,2017,1,3,Other UK Airports,CARDIFF WALES,1465099,537199,748,382385,0,0,0,494518,184,49950,115,0,0
29/06/2018 11:44,2017,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),193981,32728,0,158855,0,0,0,148,0,2250,0,0,0
29/06/2018 11:44,2017,1,3,Other UK Airports,DONCASTER SHEFFIELD,1335577,279717,0,638396,0,104,0,385223,9,24162,0,7966,0
29/06/2018 11:44,2017,1,3,Other UK Airports,DUNDEE,21327,20821,0,0,0,0,0,18,0,488,0,0,0
29/06/2018 11:44,2017,1,3,Other UK Airports,DURHAM TEES VALLEY,130875,26778,2857,98131,0,0,0,657,0,2401,47,4,0
29/06/2018 11:44,2017,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,4878669,1892996,879,2441940,180,0,0,520254,177,22110,0,133,0
29/06/2018 11:44,2017,1,3,Other UK Airports,EDINBURGH,13410256,7689920,456,4629854,357,856116,142,195283,0,36759,93,1276,0
29/06/2018 11:44,2017,1,3,Other UK Airports,EXETER,906526,682768,490,85,0,0,0,208674,0,8611,0,5898,0
29/06/2018 11:44,2017,1,3,Other UK Airports,GLASGOW,9889907,5975614,1448,2213494,947,853580,323,779646,142,63213,254,1246,0
29/06/2018 11:44,2017,1,3,Other UK Airports,GLOUCESTERSHIRE,1464,0,0,1394,0,0,0,0,0,70,0,0,0
29/06/2018 11:44,2017,1,3,Other UK Airports,HUMBERSIDE,190936,25038,293,118129,0,0,0,38366,12,8921,141,36,0
29/06/2018 11:44,2017,1,3,Other UK Airports,INVERNESS,874933,792771,448,75297,0,2751,0,137,0,3529,0,0,0
29/06/2018 11:44,2017,1,3,Other UK Airports,ISLAY,32644,32392,252,0,0,0,0,0,0,0,0,0,0
29/06/2018 11:44,2017,1,3,Other UK Airports,ISLES OF SCILLY (ST.MARYS),91852,91852,0,0,0,0,0,0,0,0,0,0,0
29/06/2018 11:44,2017,1,3,Other UK Airports,KIRKWALL,177248,164248,12764,0,0,0,0,128,0,28,0,80,0
29/06/2018 11:44,2017,1,3,Other UK Airports,LANDS END (ST JUST),59386,58834,552,0,0,0,0,0,0,0,0,0,0
29/06/2018 11:44,2017,1,3,Other UK Airports,LEEDS BRADFORD,4076386,2462397,1810,1488766,0,0,0,110495,158,11810,111,805,34
29/06/2018 11:44,2017,1,3,Other UK Airports,LERWICK (TINGWALL),4139,4139,0,0,0,0,0,0,0,0,0,0,0
29/06/2018 11:44,2017,1,3,Other UK Airports,LIVERPOOL (JOHN LENNON),4900067,2413332,1829,2441689,2534,223,0,27698,47,10957,144,1614,0
29/06/2018 11:44,2017,1,3,Other UK Airports,LYDD,865,631,0,0,0,0,0,70,0,164,0,0,0
29/06/2018 11:44,2017,1,3,Other UK Airports,MANCHESTER,27824773,13632774,1851,7713239,811,3753924,45969,2467105,1072,156653,720,48327,2328
29/06/2018 11:44,2017,1,3,Other UK Airports,NEWCASTLE,5300274,3652915,1905,1391144,261,243425,0,7678,0,2738,156,52,0
29/06/2018 11:44,2017,1,3,Other UK Airports,NEWQUAY,461300,369228,1323,89838,53,0,0,130,0,728,0,0,0
29/06/2018 11:44,2017,1,3,Other UK Airports,NORWICH,527885,166710,0,121929,0,0,0,209425,0,29606,0,215,0
29/06/2018 11:44,2017,1,3,Other UK Airports,OXFORD (KIDLINGTON),90,90,0,0,0,0,0,0,0,0,0,0,0
29/06/2018 11:44,2017,1,3,Other UK Airports,PRESTWICK,696309,0,0,689730,86,0,0,2761,385,3177,169,1,0
29/06/2018 11:44,2017,1,3,Other UK Airports,SCATSTA,170847,0,0,0,0,0,0,170847,0,0,0,0,0
29/06/2018 11:44,2017,1,3,Other UK Airports,SOUTHAMPTON,2069910,1948465,290,113944,0,0,15,5098,0,2098,0,0,0
29/06/2018 11:44,2017,1,3,Other UK Airports,STORNOWAY,134148,132004,2139,0,0,0,0,0,0,5,0,0,0
29/06/2018 11:44,2017,1,3,Other UK Airports,SUMBURGH,256418,189117,25,0,0,0,0,65596,0,1538,0,142,0
29/06/2018 11:44,2017,1,3,Other UK Airports,TIREE,12488,12137,351,0,0,0,0,0,0,0,0,0,0
29/06/2018 11:44,2017,1,3,Other UK Airports,WICK JOHN O GROATS,17697,17668,25,0,0,0,0,0,0,4,0,0,0
29/06/2018 11:44,2017,2,4,Non UK Reporting Airports,ALDERNEY,54760,54760,0,0,0,0,0,0,0,0,0,0,0
29/06/2018 11:44,2017,2,4,Non UK Reporting Airports,GUERNSEY,843272,805690,33560,2007,309,0,0,972,188,456,0,90,0
29/06/2018 11:44,2017,2,4,Non UK Reporting Airports,ISLE OF MAN,797615,735821,178,54468,63,0,0,4220,0,2865,0,0,0
29/06/2018 11:44,2017,2,4,Non UK Reporting Airports,JERSEY,1637763,1565441,23287,37789,112,1737,0,294,143,8960,0,0,0

