rundate,this_period,last_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,total_pax_shd_tp,total_pax_cht_tp,total_pax_tp,total_pax_lp,total_pax_pc
08/03/2018 10:38,2017,2016,1,1,London Area Airports,GATWICK,4079355,3322,4082677,3868781,5.528769915
08/03/2018 10:38,2017,2016,1,1,London Area Airports,HEATHROW,4800648,131,4800779,4669671,2.807649618
08/03/2018 10:38,2017,2016,1,1,London Area Airports,LONDON CITY,1066531,78,1066609,1126848,-5.345796416
08/03/2018 10:38,2017,2016,1,1,London Area Airports,LUTON,1160165,2146,1162311,1043386,11.397986939
08/03/2018 10:38,2017,2016,1,1,London Area Airports,SOUTHEND,42248,0,42248,26277,60.779388819
08/03/2018 10:38,2017,2016,1,1,London Area Airports,STANSTED,1748086,352,1748438,2050596,-14.735130664
08/03/2018 10:38,2017,2016,1,3,Other UK Airports,ABERDEEN,1622341,132239,1754580,1617859,8.450736436
08/03/2018 10:38,2017,2016,1,3,Other UK Airports,BARRA,14913,0,14913,12808,16.435040600
08/03/2018 10:38,2017,2016,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),2349627,369,2349996,2403763,-2.236784575
08/03/2018 10:38,2017,2016,1,3,Other UK Airports,BELFAST INTERNATIONAL,3767399,3765,3771164,3563658,5.822837096
08/03/2018 10:38,2017,2016,1,3,Other UK Airports,BENBECULA,33258,0,33258,32439,2.524738740
08/03/2018 10:38,2017,2016,1,3,Other UK Airports,BIGGIN HILL,0,608,608,336,80.952380952
08/03/2018 10:38,2017,2016,1,3,Other UK Airports,BIRMINGHAM,1308084,621,1308705,1306695,0.153823195
08/03/2018 10:38,2017,2016,1,3,Other UK Airports,BLACKPOOL,1906,0,1906,15771,-87.914526663
08/03/2018 10:38,2017,2016,1,3,Other UK Airports,BOURNEMOUTH,2523,2101,4624,7377,-37.318693236
08/03/2018 10:38,2017,2016,1,3,Other UK Airports,BRISTOL,1326945,4541,1331486,1291140,3.124835417
08/03/2018 10:38,2017,2016,1,3,Other UK Airports,CAMPBELTOWN,8726,0,8726,8472,2.998111426
08/03/2018 10:38,2017,2016,1,3,Other UK Airports,CARDIFF WALES,247961,4065,252026,231102,9.054010783
08/03/2018 10:38,2017,2016,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),191492,18,191510,278861,-31.324208118
08/03/2018 10:38,2017,2016,1,3,Other UK Airports,DONCASTER SHEFFIELD,41020,648,41668,45465,-8.351479160
08/03/2018 10:38,2017,2016,1,3,Other UK Airports,DUNDEE,20821,108,20929,22205,-5.746453501
08/03/2018 10:38,2017,2016,1,3,Other UK Airports,DURHAM TEES VALLEY,26490,784,27274,24479,11.417950080
08/03/2018 10:38,2017,2016,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,409772,1335,411107,410177,0.226731387
08/03/2018 10:38,2017,2016,1,3,Other UK Airports,EDINBURGH,5267135,1608,5268743,5188529,1.545987312
08/03/2018 10:38,2017,2016,1,3,Other UK Airports,EXETER,448437,600,449037,409982,9.526027972
08/03/2018 10:38,2017,2016,1,3,Other UK Airports,GLASGOW,4278108,1406,4279514,4309709,-0.700627351
08/03/2018 10:38,2017,2016,1,3,Other UK Airports,GLOUCESTERSHIRE,1412,2,1414,12328,-88.530175211
08/03/2018 10:38,2017,2016,1,3,Other UK Airports,HUMBERSIDE,25038,734,25772,27257,-5.448141762
08/03/2018 10:38,2017,2016,1,3,Other UK Airports,INVERNESS,775240,433,775673,716237,8.298370511
08/03/2018 10:38,2017,2016,1,3,Other UK Airports,ISLAY,32392,0,32392,27973,15.797376041
