rundate,report_period,region_num,foreign_region,foreign_country,uk_group,uk_apt,foreign_apt,ty_t_pax,ty_s_pax,ty_c_pax,ly_t_pax,ly_s_pax,ly_c_pax,pc_change
08/03/2018 10:42,2017,,Unknown,Unknown,1,GATWICK,Unknown,32,0,32,53,53,0,-39.62264
08/03/2018 10:42,2017,,Unknown,Unknown,1,STANSTED,Unknown,0,0,0,1271,1271,0,-100
08/03/2018 10:42,2017,,Unknown,Unknown,2,BELFAST CITY (GEORGE BEST),Unknown,1330,0,1330,2665,0,2665,-50.09381
08/03/2018 10:42,2017,,Unknown,Unknown,2,BELFAST INTERNATIONAL,Unknown,145,0,145,0,0,0,0
08/03/2018 10:42,2017,,Unknown,Unknown,2,BRISTOL,Unknown,10693,0,10693,2110,0,2110,406.77725
08/03/2018 10:42,2017,,Unknown,Unknown,2,CARDIFF WALES,Unknown,36,0,36,0,0,0,0
08/03/2018 10:42,2017,,Unknown,Unknown,2,GLASGOW,Unknown,0,0,0,895,0,895,-100
08/03/2018 10:42,2017,,Unknown,Unknown,2,LEEDS BRADFORD,Unknown,5030,5030,0,974,974,0,416.4271
08/03/2018 10:42,2017,,Unknown,Unknown,2,MANCHESTER,Unknown,10271,8214,2057,6336,5879,457,62.10543
08/03/2018 10:42,2017,,Unknown,Unknown,2,NEWCASTLE,Unknown,119,0,119,69,0,69,72.46377
08/03/2018 10:42,2017,,Unknown,Unknown,2,SOUTHAMPTON,Unknown,20,20,0,0,0,0,0
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,1,GATWICK,INNSBRUCK,209084,183664,25420,192361,169395,22966,8.69355
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,1,GATWICK,KLAGENFURT,838,838,0,0,0,0,0
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,1,GATWICK,SALZBURG,144593,125057,19536,138933,118692,20241,4.07391
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,1,GATWICK,VIENNA,223828,223828,0,251430,251430,0,-10.97801
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,1,HEATHROW,INNSBRUCK,34573,34573,0,3969,3969,0,771.07584
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,1,HEATHROW,SALZBURG,13566,13231,335,8981,8981,0,51.05222
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,1,HEATHROW,VIENNA,807858,807858,0,794806,794806,0,1.64216
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,1,LONDON CITY,GRAZ,0,0,0,711,0,711,-100
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,1,LUTON,GRAZ,819,0,819,920,0,920,-10.97826
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,1,LUTON,INNSBRUCK,8515,8515,0,6932,6932,0,22.83612
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,1,LUTON,KLAGENFURT,0,0,0,19,0,19,-100
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,1,LUTON,LINZ,190,0,190,0,0,0,0
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,1,LUTON,SALZBURG,11107,7648,3459,8646,4980,3666,28.46403
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,1,LUTON,VIENNA,64044,64008,36,52839,52831,8,21.20593
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,1,SOUTHEND,VIENNA,13375,13375,0,0,0,0,0
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,1,STANSTED,GRAZ,502,0,502,0,0,0,0
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,1,STANSTED,INNSBRUCK,7775,0,7775,9260,0,9260,-16.03672
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,1,STANSTED,LINZ,34039,33929,110,32799,32799,0,3.7806
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,1,STANSTED,SALZBURG,105552,101419,4133,95893,92423,3470,10.07269
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,1,STANSTED,VIENNA,86559,85566,993,98741,98741,0,-12.33733
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,2,BELFAST CITY (GEORGE BEST),GRAZ,0,0,0,41,0,41,-100
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,2,BELFAST CITY (GEORGE BEST),SALZBURG,3562,0,3562,488,0,488,629.91803
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,2,BELFAST INTERNATIONAL,SALZBURG,411,0,411,3141,0,3141,-86.915
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,2,BELFAST INTERNATIONAL,VIENNA,293,293,0,0,0,0,0
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,2,BIRMINGHAM,GRAZ,8312,8101,211,238,0,238,3392.43697
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,2,BIRMINGHAM,INNSBRUCK,17869,3312,14557,15825,321,15504,12.91627
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,2,BIRMINGHAM,SALZBURG,15578,5569,10009,15333,3864,11469,1.59786
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,2,BIRMINGHAM,VIENNA,34626,34626,0,0,0,0,0
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,2,BIRMINGHAM,ZELTWEG (MILITARY),44,0,44,0,0,0,0
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,2,BOURNEMOUTH,VIENNA,159,159,0,0,0,0,0
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,2,BRISTOL,INNSBRUCK,21568,9709,11859,19996,8177,11819,7.86157
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,2,BRISTOL,SALZBURG,13366,9031,4335,12542,7880,4662,6.56993
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,2,BRISTOL,VIENNA,30902,30902,0,29214,29095,119,5.77805
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,2,CARDIFF WALES,VIENNA,396,155,241,149,0,149,165.77181
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,2,DONCASTER SHEFFIELD,SALZBURG,119,0,119,0,0,0,0
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,2,EAST MIDLANDS INTERNATIONAL,KLAGENFURT,102,0,102,0,0,0,0
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,2,EAST MIDLANDS INTERNATIONAL,SALZBURG,6936,3236,3700,4258,275,3983,62.89338
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,2,EDINBURGH,GRAZ,0,0,0,128,0,128,-100
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,2,EDINBURGH,INNSBRUCK,11058,0,11058,9000,0,9000,22.86667
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,2,EDINBURGH,SALZBURG,5980,5296,684,7755,5036,2719,-22.88846
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,2,EDINBURGH,VIENNA,64196,64104,92,52526,52526,0,22.21757
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,2,EXETER,GRAZ,59,0,59,179,0,179,-67.03911
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,2,EXETER,INNSBRUCK,367,367,0,114,0,114,221.92982
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,2,EXETER,LINZ,151,0,151,113,0,113,33.62832
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,2,EXETER,SALZBURG,0,0,0,217,0,217,-100
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,2,EXETER,VIENNA,280,140,140,928,0,928,-69.82759
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,2,GLASGOW,GRAZ,291,0,291,0,0,0,0
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,2,GLASGOW,LINZ,379,0,379,0,0,0,0
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,2,GLASGOW,SALZBURG,6524,0,6524,9298,2820,6478,-29.83437
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,2,GLASGOW,VIENNA,1263,0,1263,869,0,869,45.33947
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,2,HUMBERSIDE,SALZBURG,0,0,0,80,0,80,-100
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,2,JERSEY,VIENNA,945,0,945,1293,0,1293,-26.91415
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,2,LEEDS BRADFORD,INNSBRUCK,1446,0,1446,2083,0,2083,-30.58089
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,2,LEEDS BRADFORD,SALZBURG,5462,4893,569,4857,4857,0,12.45625
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,2,LEEDS BRADFORD,VIENNA,280,280,0,292,292,0,-4.10959
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,2,LIVERPOOL (JOHN LENNON),SALZBURG,4781,4781,0,4538,4538,0,5.35478
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,2,MANCHESTER,INNSBRUCK,48389,24168,24221,48117,19002,29115,0.56529
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,2,MANCHESTER,SALZBURG,34097,13954,20143,31894,10378,21516,6.90726
08/03/2018 10:42,2017,1,WESTERN EUROPE-EU,AUSTRIA,2,MANCHESTER,VIENNA,101116,101116,0,96706,96706,0,4.56021
