rundate,this_period,last_period,grp_cd,grp_name,apt1_apt_name,apt2_apt_name,total_pax_tp,total_pax_shd_tp,total_pax_cht_tp,total_pax_lp,total_pax_shd_lp,total_pax_cht_lp,total_pax_pc
08/03/2018 10:34,2017,2016,A,London Area Airports,GATWICK,ABERDEEN,156446,156446,0,143651,143651,0,8.907
08/03/2018 10:34,2017,2016,A,London Area Airports,GATWICK,BELFAST CITY (GEORGE BEST),0,0,0,39662,39662,0,-100
08/03/2018 10:34,2017,2016,A,London Area Airports,GATWICK,BELFAST INTERNATIONAL,982928,982925,3,858757,858744,13,14.45939
08/03/2018 10:34,2017,2016,A,London Area Airports,GATWICK,BIRMINGHAM,203,55,148,62,60,2,227.41935
08/03/2018 10:34,2017,2016,A,London Area Airports,GATWICK,BOURNEMOUTH,177,176,1,0,0,0,0
08/03/2018 10:34,2017,2016,A,London Area Airports,GATWICK,BRISTOL,1,0,1,2,0,2,-50
08/03/2018 10:34,2017,2016,A,London Area Airports,GATWICK,CARDIFF WALES,86,0,86,112,0,112,-23.21429
08/03/2018 10:34,2017,2016,A,London Area Airports,GATWICK,DONCASTER SHEFFIELD,169,0,169,246,0,246,-31.30081
08/03/2018 10:34,2017,2016,A,London Area Airports,GATWICK,DURHAM TEES VALLEY,0,0,0,124,0,124,-100
08/03/2018 10:34,2017,2016,A,London Area Airports,GATWICK,EAST MIDLANDS INTERNATIONAL,106,0,106,104,0,104,1.92308
08/03/2018 10:34,2017,2016,A,London Area Airports,GATWICK,EDINBURGH,737285,737285,0,700064,699899,165,5.3168
08/03/2018 10:34,2017,2016,A,London Area Airports,GATWICK,EXETER,189,189,0,2,1,1,9350
08/03/2018 10:34,2017,2016,A,London Area Airports,GATWICK,GLASGOW,618673,618423,250,608550,608381,169,1.66346
08/03/2018 10:34,2017,2016,A,London Area Airports,GATWICK,GUERNSEY,319573,319573,0,311468,311468,0,2.60219
08/03/2018 10:34,2017,2016,A,London Area Airports,GATWICK,HEATHROW,735,670,65,457,452,5,60.83151
08/03/2018 10:34,2017,2016,A,London Area Airports,GATWICK,HUMBERSIDE,99,0,99,334,0,334,-70.35928
08/03/2018 10:34,2017,2016,A,London Area Airports,GATWICK,INVERNESS,263411,263411,0,237927,237926,1,10.71085
08/03/2018 10:34,2017,2016,A,London Area Airports,GATWICK,ISLE OF MAN,171386,171386,0,155840,155840,0,9.97562
08/03/2018 10:34,2017,2016,A,London Area Airports,GATWICK,JERSEY,664879,664877,2,658968,658694,274,0.89701
08/03/2018 10:34,2017,2016,A,London Area Airports,GATWICK,LEEDS BRADFORD,190,1,189,213,138,75,-10.79812
08/03/2018 10:34,2017,2016,A,London Area Airports,GATWICK,LIVERPOOL (JOHN LENNON),219,0,219,138,0,138,58.69565
08/03/2018 10:34,2017,2016,A,London Area Airports,GATWICK,LONDON CITY,39,39,0,17,17,0,129.41176
08/03/2018 10:34,2017,2016,A,London Area Airports,GATWICK,LUTON,521,290,231,2,0,2,25950
08/03/2018 10:34,2017,2016,A,London Area Airports,GATWICK,MANCHESTER,1190,239,951,478,249,229,148.95397
08/03/2018 10:34,2017,2016,A,London Area Airports,GATWICK,NEWCASTLE,232,0,232,349,154,195,-33.52436
08/03/2018 10:34,2017,2016,A,London Area Airports,GATWICK,NEWQUAY,161614,161614,0,150137,150137,0,7.64435
08/03/2018 10:34,2017,2016,A,London Area Airports,GATWICK,NORWICH,107,0,107,38,0,38,181.57895
08/03/2018 10:34,2017,2016,A,London Area Airports,GATWICK,PRESTWICK,13,0,13,0,0,0,0
08/03/2018 10:34,2017,2016,A,London Area Airports,GATWICK,SOUTHEND,1,0,1,1,0,1,0
08/03/2018 10:34,2017,2016,A,London Area Airports,GATWICK,STANSTED,790,643,147,2,0,2,39400
08/03/2018 10:34,2017,2016,A,London Area Airports,GATWICK,WARTON,0,0,0,33,0,33,-100
08/03/2018 10:34,2017,2016,A,London Area Airports,HEATHROW,ABERDEEN,622034,622034,0,592701,592701,0,4.94904
08/03/2018 10:34,2017,2016,A,London Area Airports,HEATHROW,BELFAST CITY (GEORGE BEST),691552,691552,0,693937,693937,0,-0.34369
08/03/2018 10:34,2017,2016,A,London Area Airports,HEATHROW,BELFAST INTERNATIONAL,78,78,0,0,0,0,0
08/03/2018 10:34,2017,2016,A,London Area Airports,HEATHROW,BIRMINGHAM,168,168,0,0,0,0,0
08/03/2018 10:34,2017,2016,A,London Area Airports,HEATHROW,EDINBURGH,1179758,1179758,0,1053382,1053382,0,11.99717
08/03/2018 10:34,2017,2016,A,London Area Airports,HEATHROW,EXETER,71,0,71,0,0,0,0
08/03/2018 10:34,2017,2016,A,London Area Airports,HEATHROW,GATWICK,60,0,60,0,0,0,0
08/03/2018 10:34,2017,2016,A,London Area Airports,HEATHROW,GLASGOW,909117,909117,0,893846,893846,0,1.70846
08/03/2018 10:34,2017,2016,A,London Area Airports,HEATHROW,INVERNESS,79065,79065,0,57879,57879,0,36.60395
08/03/2018 10:34,2017,2016,A,London Area Airports,HEATHROW,LEEDS BRADFORD,162042,162042,0,160703,160703,0,0.83321
08/03/2018 10:34,2017,2016,A,London Area Airports,HEATHROW,LIVERPOOL (JOHN LENNON),72,72,0,0,0,0,0
08/03/2018 10:34,2017,2016,A,London Area Airports,HEATHROW,MANCHESTER,665203,665203,0,692960,692923,37,-4.00557
08/03/2018 10:34,2017,2016,A,London Area Airports,HEATHROW,NEWCASTLE,491597,491597,0,499479,499479,0,-1.57804
08/03/2018 10:34,2017,2016,A,London Area Airports,LONDON CITY,ABERDEEN,54350,54350,0,64452,64452,0,-15.67368
08/03/2018 10:34,2017,2016,A,London Area Airports,LONDON CITY,BELFAST CITY (GEORGE BEST),121019,121019,0,111944,111944,0,8.10673
08/03/2018 10:34,2017,2016,A,London Area Airports,LONDON CITY,BIRMINGHAM,55,55,0,0,0,0,0
08/03/2018 10:34,2017,2016,A,London Area Airports,LONDON CITY,CARDIFF WALES,21273,21195,78,12425,12380,45,71.21127
08/03/2018 10:34,2017,2016,A,London Area Airports,LONDON CITY,EDINBURGH,484892,484892,0,528029,527934,95,-8.16944
08/03/2018 10:34,2017,2016,A,London Area Airports,LONDON CITY,EXETER,33616,33616,0,38151,38151,0,-11.88698
08/03/2018 10:34,2017,2016,A,London Area Airports,LONDON CITY,GATWICK,0,0,0,48,48,0,-100
08/03/2018 10:34,2017,2016,A,London Area Airports,LONDON CITY,GLASGOW,231092,231092,0,235075,235075,0,-1.69435
08/03/2018 10:34,2017,2016,A,London Area Airports,LONDON CITY,GUERNSEY,21694,21694,0,26442,26442,0,-17.95628
08/03/2018 10:34,2017,2016,A,London Area Airports,LONDON CITY,HEATHROW,12,12,0,0,0,0,0
08/03/2018 10:34,2017,2016,A,London Area Airports,LONDON CITY,ISLE OF MAN,62061,62061,0,74001,74001,0,-16.13492
08/03/2018 10:34,2017,2016,A,London Area Airports,LONDON CITY,JERSEY,35150,35150,0,36987,36987,0,-4.96661
08/03/2018 10:34,2017,2016,A,London Area Airports,LONDON CITY,LIVERPOOL (JOHN LENNON),0,0,0,43,0,43,-100
08/03/2018 10:34,2017,2016,A,London Area Airports,LONDON CITY,MANCHESTER,2266,2266,0,84,84,0,2597.61905
