rundate,this_period,last_period,repoting_airport_group_name,reporting_airport_name,total_mail_passenger_aircraft_this_period,total_mail_passenger_aircraft_last_period,total_mail_passenger_aircraft_percent_change,total_mail_cargo_aircraft_this_period,total_mail_cargo_aircraft_last_period,total_mail_cargo_aircraft_percent_change,total_mail_this_period,total_mail_last_period,total_mail_percent_change
3/8/2018 9:17:49 AM,2017,2016,London Area Airports,GATWICK,5679.468,5444.374,4,0.000,0.000,,5679.468,5444.374,4
3/8/2018 9:17:49 AM,2017,2016,London Area Airports,HEATHROW,95748.448,99132.485,(3),59.914,64.186,(7),95808.362,99196.671,(3)
3/8/2018 9:17:49 AM,2017,2016,London Area Airports,LONDON CITY,1012.464,1904.290,(47),0.000,0.000,,1012.464,1904.290,(47)
3/8/2018 9:17:49 AM,2017,2016,London Area Airports,LUTON,28.408,55.104,(48),833.648,268.504,210,862.056,323.608,166
3/8/2018 9:17:49 AM,2017,2016,London Area Airports,STANSTED,0.000,1.061,,18563.643,22802.758,(19),18563.643,22803.819,(19)
3/8/2018 9:17:49 AM,2017,2016,Other UK Airports,ABERDEEN,6.011,3.818,57,1548.562,1653.730,(6),1554.573,1657.548,(6)
3/8/2018 9:17:49 AM,2017,2016,Other UK Airports,BELFAST INTERNATIONAL,7.756,0.003,258433,7261.947,3966.553,83,7269.703,3966.556,83
3/8/2018 9:17:49 AM,2017,2016,Other UK Airports,BIRMINGHAM,102.146,263.874,(61),0.000,0.000,,102.146,263.874,(61)
3/8/2018 9:17:49 AM,2017,2016,Other UK Airports,BRISTOL,0.511,0.318,61,0.000,0.000,,0.511,0.318,61
3/8/2018 9:17:49 AM,2017,2016,Other UK Airports,EAST MIDLANDS INTERNATIONAL,0.124,2168.820,(100),21962.846,17786.307,23,21962.970,19955.127,10
3/8/2018 9:17:49 AM,2017,2016,Other UK Airports,EDINBURGH,0.001,14.999,(100),20288.103,16704.258,21,20288.104,16719.257,21
3/8/2018 9:17:49 AM,2017,2016,Other UK Airports,EXETER,0.000,0.000,,3356.153,3236.604,4,3356.153,3236.604,4
3/8/2018 9:17:49 AM,2017,2016,Other UK Airports,GLASGOW,124.595,122.517,2,1.407,0.050,2714,126.002,122.567,3
3/8/2018 9:17:49 AM,2017,2016,Other UK Airports,INVERNESS,0.000,0.146,,70.937,1.746,3963,70.937,1.892,3649
3/8/2018 9:17:49 AM,2017,2016,Other UK Airports,ISLAY,72.936,72.204,1,0.000,0.000,,72.936,72.204,1
3/8/2018 9:17:49 AM,2017,2016,Other UK Airports,ISLES OF SCILLY (ST.MARYS),19.100,15.100,26,145.700,181.700,(20),164.800,196.800,(16)
3/8/2018 9:17:49 AM,2017,2016,Other UK Airports,KIRKWALL,24.045,31.194,(23),0.536,0.389,38,24.581,31.583,(22)
3/8/2018 9:17:49 AM,2017,2016,Other UK Airports,LANDS END (ST JUST),22.400,25.800,(13),170.800,172.100,(1),193.200,197.900,(2)
3/8/2018 9:17:49 AM,2017,2016,Other UK Airports,MANCHESTER,3228.758,3536.011,(9),0.000,0.000,,3228.758,3536.011,(9)
3/8/2018 9:17:49 AM,2017,2016,Other UK Airports,NEWCASTLE,0.064,3.109,(98),1128.304,4890.556,(77),1128.368,4893.665,(77)
3/8/2018 9:17:49 AM,2017,2016,Other UK Airports,PRESTWICK,0.000,0.000,,11.114,0.000,,11.114,0.000,
3/8/2018 9:17:49 AM,2017,2016,Other UK Airports,SOUTHAMPTON,19.529,40.650,(52),0.000,0.000,,19.529,40.650,(52)
3/8/2018 9:17:49 AM,2017,2016,Other UK Airports,STORNOWAY,2.100,0.229,817,0.000,0.000,,2.100,0.229,817
3/8/2018 9:17:49 AM,2017,2016,Other UK Airports,SUMBURGH,0.771,0.101,663,0.000,0.000,,0.771,0.101,663
3/8/2018 9:17:49 AM,2017,2016,Other UK Airports,TIREE,36.476,37.070,(2),0.167,0.172,(3),36.643,37.242,(2)
3/8/2018 9:17:49 AM,2017,2016,Non UK Reporting Airports,ALDERNEY,76.717,72.494,6,1.683,0.452,272,78.400,72.946,7
3/8/2018 9:17:49 AM,2017,2016,Non UK Reporting Airports,GUERNSEY,77.881,73.598,6,2782.946,2874.759,(3),2860.827,2948.357,(3)
3/8/2018 9:17:49 AM,2017,2016,Non UK Reporting Airports,ISLE OF MAN,0.000,5.733,,2233.134,2526.433,(12),2233.134,2532.166,(12)
3/8/2018 9:17:49 AM,2017,2016,Non UK Reporting Airports,JERSEY,295.824,423.002,(30),1934.947,1170.395,65,2230.771,1593.397,40

