rundate,report_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,grand_total,air_transport,air_taxi,positioning_flights,local_movements,test_and_training,other_flights,aero_club,private_flights,official,military,business_aviation
25/03/2022 10:36,2021,1,1,London Area Airports,GATWICK,55817,52148,4,2072,0,604,57,0,0,19,3,914
25/03/2022 10:36,2021,1,1,London Area Airports,HEATHROW,195336,190229,203,4719,2,52,16,0,272,40,6,0
25/03/2022 10:36,2021,1,1,London Area Airports,LONDON CITY,14463,14051,1397,394,0,16,0,0,0,0,2,0
25/03/2022 10:36,2021,1,1,London Area Airports,LUTON,61703,40693,0,738,2,206,700,0,12,22,0,19330
25/03/2022 10:36,2021,1,1,London Area Airports,SOUTHEND,34114,2480,59,81,207,1041,170,10349,18582,400,66,738
25/03/2022 10:36,2021,1,1,London Area Airports,STANSTED,93316,77648,647,4804,0,2389,698,0,0,28,53,7696
25/03/2022 10:36,2021,1,2,Miscellaneous,EDMISTON LONDON HELIPORT,5779,1591,1591,1223,229,0,748,0,1796,26,40,126
25/03/2022 10:36,2021,1,3,Other UK Airports,ABERDEEN,62986,51030,4545,3341,182,3056,2653,2412,0,11,111,190
25/03/2022 10:36,2021,1,3,Other UK Airports,BARRA,1147,1064,3,2,0,10,0,0,59,0,12,0
25/03/2022 10:36,2021,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),12819,12304,234,145,0,11,5,0,336,18,0,0
25/03/2022 10:36,2021,1,3,Other UK Airports,BELFAST INTERNATIONAL,33964,24475,435,691,0,234,3837,0,0,979,3739,9
25/03/2022 10:36,2021,1,3,Other UK Airports,BENBECULA,2931,2591,1019,220,6,0,6,0,56,0,52,0
25/03/2022 10:36,2021,1,3,Other UK Airports,BIGGIN HILL,38034,13526,13093,607,5684,0,0,4200,9474,0,96,4447
25/03/2022 10:36,2021,1,3,Other UK Airports,BIRMINGHAM,35411,30693,2536,1244,2,514,2179,0,616,15,148,0
25/03/2022 10:36,2021,1,3,Other UK Airports,BLACKPOOL,39587,816,816,4832,0,2508,24,23252,7539,0,203,413
25/03/2022 10:36,2021,1,3,Other UK Airports,BOURNEMOUTH,38304,3090,0,1203,0,18977,4626,1977,6064,2,511,1854
25/03/2022 10:36,2021,1,3,Other UK Airports,BRISTOL,32278,21493,729,425,0,2969,2247,4834,0,133,177,0
25/03/2022 10:36,2021,1,3,Other UK Airports,CAMBRIDGE,17371,0,0,0,2683,92,0,12154,1492,6,237,707
25/03/2022 10:36,2021,1,3,Other UK Airports,CAMPBELTOWN,1094,808,110,116,0,0,0,0,155,0,14,1
25/03/2022 10:36,2021,1,3,Other UK Airports,CARDIFF WALES,11236,2059,1,317,0,312,0,4518,3692,0,338,0
25/03/2022 10:36,2021,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),4552,2110,59,32,286,250,0,803,799,4,18,250
25/03/2022 10:36,2021,1,3,Other UK Airports,COVENTRY,25378,10,8,0,14,22722,3,0,2595,0,34,0
25/03/2022 10:36,2021,1,3,Other UK Airports,DONCASTER SHEFFIELD,14077,5468,2585,392,0,2221,764,3639,61,1174,358,0
25/03/2022 10:36,2021,1,3,Other UK Airports,DUNDEE,23956,1125,152,189,247,1453,109,19811,400,2,50,570
25/03/2022 10:36,2021,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,52327,37657,2017,4698,0,1413,3001,0,689,0,27,4842
25/03/2022 10:36,2021,1,3,Other UK Airports,EDINBURGH,43674,39557,465,1135,4,348,15,0,2496,3,116,0
25/03/2022 10:36,2021,1,3,Other UK Airports,EXETER,25201,3477,12,128,1898,3797,351,8680,5027,5,366,1472
25/03/2022 10:36,2021,1,3,Other UK Airports,GLASGOW,39713,28713,1784,889,114,745,3729,4688,1,156,324,354
25/03/2022 10:36,2021,1,3,Other UK Airports,GLOUCESTERSHIRE,65009,287,287,340,2032,11681,385,35062,14401,9,172,640
25/03/2022 10:36,2021,1,3,Other UK Airports,HAWARDEN,20816,0,0,1,1169,818,806,10301,5546,8,1496,671
25/03/2022 10:36,2021,1,3,Other UK Airports,HUMBERSIDE,11973,3262,85,1163,0,5152,960,0,514,4,745,173
25/03/2022 10:36,2021,1,3,Other UK Airports,INVERNESS,25267,9350,3545,2617,501,1145,66,9843,1062,0,89,594
25/03/2022 10:36,2021,1,3,Other UK Airports,ISLAY,2364,1292,236,230,0,6,0,0,761,0,75,0
25/03/2022 10:36,2021,1,3,Other UK Airports,ISLES OF SCILLY (ST.MARYS),8935,7753,141,59,0,14,0,0,889,218,2,0
25/03/2022 10:36,2021,1,3,Other UK Airports,KIRKWALL,11114,9419,1416,661,2,330,282,7,406,0,0,7
25/03/2022 10:36,2021,1,3,Other UK Airports,LANDS END (ST JUST),7539,5725,481,126,26,654,9,68,858,0,69,4
25/03/2022 10:36,2021,1,3,Other UK Airports,LEEDS BRADFORD,14566,9102,855,966,1,2639,50,4,1678,2,124,0
25/03/2022 10:36,2021,1,3,Other UK Airports,LERWICK (TINGWALL),1175,888,159,209,0,0,0,0,78,0,0,0
25/03/2022 10:36,2021,1,3,Other UK Airports,LIVERPOOL (JOHN LENNON),29327,13511,546,510,0,312,22,11372,2158,0,299,1143
25/03/2022 10:36,2021,1,3,Other UK Airports,LYDD,21700,117,112,158,305,162,0,11913,7311,1642,70,22
25/03/2022 10:36,2021,1,3,Other UK Airports,MANCHESTER,66310,59345,9,1784,11,808,128,0,0,0,30,4204
25/03/2022 10:36,2021,1,3,Other UK Airports,NEWCASTLE,21421,12726,81,445,0,315,11,50,5959,1136,649,130
25/03/2022 10:36,2021,1,3,Other UK Airports,NEWQUAY,32062,5776,3637,190,0,7705,1014,0,7406,0,8713,1258
25/03/2022 10:36,2021,1,3,Other UK Airports,NORWICH,30064,12131,12,3627,5190,733,246,3971,4042,0,124,0
25/03/2022 10:36,2021,1,3,Other UK Airports,OXFORD (KIDLINGTON),65265,233,222,3730,157,50902,5,0,7410,0,26,2802
25/03/2022 10:36,2021,1,3,Other UK Airports,PRESTWICK,17126,2100,43,591,0,2076,0,6121,2119,0,4119,0
25/03/2022 10:36,2021,1,3,Other UK Airports,SHOREHAM,46479,0,0,140,1503,22483,380,9564,12006,6,173,224
25/03/2022 10:36,2021,1,3,Other UK Airports,SOUTHAMPTON,11910,8281,177,1394,3,247,238,4,0,2,34,1707
25/03/2022 10:36,2021,1,3,Other UK Airports,STORNOWAY,6809,5225,2083,203,283,675,0,0,260,0,163,0
25/03/2022 10:36,2021,1,3,Other UK Airports,SUMBURGH,16699,12444,1132,1253,340,793,1755,0,82,0,32,0
25/03/2022 10:36,2021,1,3,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,18013,3997,35,169,0,492,5647,7125,32,7,544,0
25/03/2022 10:36,2021,1,3,Other UK Airports,TIREE,1480,1307,127,6,6,2,4,0,155,0,0,0
25/03/2022 10:36,2021,1,3,Other UK Airports,WICK JOHN O GROATS,2838,299,295,933,0,725,173,6,622,0,74,6
25/03/2022 10:36,2021,2,4,Non UK Reporting Airports,ALDERNEY,5456,3522,181,56,1147,2,26,168,531,4,0,0
25/03/2022 10:36,2021,2,4,Non UK Reporting Airports,GUERNSEY,18253,9426,350,1076,3034,45,219,1804,2093,12,102,442
25/03/2022 10:36,2021,2,4,Non UK Reporting Airports,ISLE OF MAN,9594,5929,1384,266,0,161,5,1056,988,0,76,1113
25/03/2022 10:36,2021,2,4,Non UK Reporting Airports,JERSEY,22861,10160,36,476,1,75,5399,6014,0,572,164,0

