rundate,reporting_period,airport_cluster,rpt_apt_grp_cd,reporting_airport_group_name,reporting_airport_name,total_atms,atms_scheduled_UK_operator,atms_scheduled_foreign_EU_operator,atms_scheduled_foreign_non_EU_operator,atms_charter_UK_operator,atms_charter_foreign_EU_operator,atms_charter_foreign_non_EU_operator
25/03/2022 10:45,2021,1,1,London Area Airports,GATWICK,52344,36327,9497,2989,3285,207,39
25/03/2022 10:45,2021,1,1,London Area Airports,HEATHROW,193134,95525,35224,49767,5630,1396,5592
25/03/2022 10:45,2021,1,1,London Area Airports,LONDON CITY,12921,9648,2846,424,1,2,0
25/03/2022 10:45,2021,1,1,London Area Airports,LUTON,41656,22141,18733,416,169,186,11
25/03/2022 10:45,2021,1,1,London Area Airports,SOUTHEND,1544,0,1544,0,0,0,0
25/03/2022 10:45,2021,1,1,London Area Airports,STANSTED,77278,10099,55503,8515,3065,62,34
25/03/2022 10:45,2021,1,3,Other UK Airports,ABERDEEN,47411,12541,2713,1272,30796,24,65
25/03/2022 10:45,2021,1,3,Other UK Airports,BARRA,1247,1247,0,0,0,0,0
25/03/2022 10:45,2021,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),12217,6825,5354,0,21,17,0
25/03/2022 10:45,2021,1,3,Other UK Airports,BELFAST INTERNATIONAL,24008,22562,751,504,112,66,13
25/03/2022 10:45,2021,1,3,Other UK Airports,BENBECULA,1645,1641,0,0,4,0,0
25/03/2022 10:45,2021,1,3,Other UK Airports,BIGGIN HILL,433,0,0,0,39,394,0
25/03/2022 10:45,2021,1,3,Other UK Airports,BIRMINGHAM,28523,10035,13603,2707,1846,222,110
25/03/2022 10:45,2021,1,3,Other UK Airports,BOURNEMOUTH,3098,855,1551,12,308,370,2
25/03/2022 10:45,2021,1,3,Other UK Airports,BRISTOL,20935,13201,6854,1,860,17,2
25/03/2022 10:45,2021,1,3,Other UK Airports,CAMPBELTOWN,917,917,0,0,0,0,0
25/03/2022 10:45,2021,1,3,Other UK Airports,CARDIFF WALES,2065,483,978,0,534,56,14
25/03/2022 10:45,2021,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),2184,2184,0,0,0,0,0
25/03/2022 10:45,2021,1,3,Other UK Airports,DONCASTER SHEFFIELD,2911,627,1153,105,777,101,148
25/03/2022 10:45,2021,1,3,Other UK Airports,DUNDEE,995,950,0,0,32,13,0
25/03/2022 10:45,2021,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,35351,13879,14138,3416,810,1541,1567
25/03/2022 10:45,2021,1,3,Other UK Airports,EDINBURGH,39457,23733,14673,717,262,66,6
25/03/2022 10:45,2021,1,3,Other UK Airports,EXETER,4076,3065,312,0,689,10,0
25/03/2022 10:45,2021,1,3,Other UK Airports,GLASGOW,27652,22680,3604,797,434,112,25
25/03/2022 10:45,2021,1,3,Other UK Airports,HUMBERSIDE,3697,643,202,0,2779,65,8
25/03/2022 10:45,2021,1,3,Other UK Airports,INVERNESS,5848,5114,274,0,455,5,0
