rundate,span,airport_cluster,rpt_apt_grp_cd1,prt_apt_grp_name,rpt_apt_name,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,pc_change
25/03/2022 11:14,2021 - 2021,1,1,London Area Airports,GATWICK,244570,240447,244301,254540,262571,277094,283437,283186,282896,79489,52344,-34.149379159
25/03/2022 11:14,2021 - 2021,1,1,London Area Airports,HEATHROW,476295,471382,469564,470708,472058,473199,476186,480339,479811,207021,193134,-6.708015129
25/03/2022 11:14,2021 - 2021,1,1,London Area Airports,LONDON CITY,61064,64310,68118,70133,79251,80449,76611,78037,80931,19554,12921,-33.921448297
25/03/2022 11:14,2021 - 2021,1,1,London Area Airports,LUTON,72138,71725,70889,75616,87440,102931,106064,106666,112745,49251,41656,-15.421006680
25/03/2022 11:14,2021 - 2021,1,1,London Area Airports,SOUTHEND,1259,7268,9475,11541,8975,8276,11331,17088,19162,4892,1544,-68.438266558
25/03/2022 11:14,2021 - 2021,1,1,London Area Airports,STANSTED,136898,131297,131925,143230,154478,164213,172109,185660,183566,74417,77278,3.844551648
25/03/2022 11:14,2021 - 2021,1,3,Other UK Airports,ABERDEEN,94796,98783,99887,106143,95687,77679,81926,81552,78209,47430,47411,-0.040059034
25/03/2022 11:14,2021 - 2021,1,3,Other UK Airports,BARRA,1179,1254,880,882,947,1313,1394,1390,1366,1047,1247,19.102196753
25/03/2022 11:14,2021 - 2021,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),40556,35921,36865,36052,40571,41370,36891,35845,34625,10095,12217,21.020307083
25/03/2022 11:14,2021 - 2021,1,3,Other UK Airports,BELFAST INTERNATIONAL,37308,39120,36596,34795,36273,38104,41691,46115,47230,19416,24008,23.650597445
25/03/2022 11:14,2021 - 2021,1,3,Other UK Airports,BENBECULA,2573,2420,1887,1681,1692,1755,1827,1960,1974,1299,1645,26.635873749
25/03/2022 11:14,2021 - 2021,1,3,Other UK Airports,BIGGIN HILL,0,0,8,34,24,61,146,202,325,277,433,56.317689531
25/03/2022 11:14,2021 - 2021,1,3,Other UK Airports,BIRMINGHAM,83826,84062,84851,89056,89837,104246,112128,104553,102515,31968,28523,-10.776401401
25/03/2022 11:14,2021 - 2021,1,3,Other UK Airports,BLACKPOOL,8897,9607,10282,8231,6554,6718,5397,4724,4014,3000,0,-100.000000000
25/03/2022 11:14,2021 - 2021,1,3,Other UK Airports,BOURNEMOUTH,6255,7182,6824,6714,8554,4302,3975,4096,4973,1964,3098,57.739307536
25/03/2022 11:14,2021 - 2021,1,3,Other UK Airports,BRISTOL,52670,50654,53966,52574,54741,61066,63863,66147,62556,21661,20935,-3.351645815
25/03/2022 11:14,2021 - 2021,1,3,Other UK Airports,CAMBRIDGE,10,63,763,1479,373,56,0,0,0,0,0,
25/03/2022 11:14,2021 - 2021,1,3,Other UK Airports,CAMPBELTOWN,963,953,1022,1035,977,1037,1074,1069,1064,992,917,-7.560483871
25/03/2022 11:14,2021 - 2021,1,3,Other UK Airports,CARDIFF WALES,16065,13965,14024,14228,14044,15948,16944,17009,16688,3258,2065,-36.617556783
25/03/2022 11:14,2021 - 2021,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),3839,3114,3011,2537,1927,1856,1911,2324,3063,1698,2184,28.621908127
25/03/2022 11:14,2021 - 2021,1,3,Other UK Airports,COVENTRY,196,738,604,539,676,637,0,0,0,0,0,
25/03/2022 11:14,2021 - 2021,1,3,Other UK Airports,DONCASTER SHEFFIELD,5765,4379,4291,5118,5581,10143,10039,8797,9520,2792,2911,4.262177650
25/03/2022 11:14,2021 - 2021,1,3,Other UK Airports,DUNDEE,2843,2706,1357,1204,1174,1465,1174,1215,1212,730,995,36.301369863
25/03/2022 11:14,2021 - 2021,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,54413,54643,57043,57197,56378,55401,56949,57133,56219,35272,35351,0.223973690
25/03/2022 11:14,2021 - 2021,1,3,Other UK Airports,EDINBURGH,105118,102884,103828,101407,107208,116281,122707,125426,127335,43634,39457,-9.572810194
25/03/2022 11:14,2021 - 2021,1,3,Other UK Airports,EXETER,11943,12080,12511,12469,12967,13442,13761,13512,14521,3161,4076,28.946535906
25/03/2022 11:14,2021 - 2021,1,3,Other UK Airports,GLASGOW,69932,72287,72506,74036,80321,85380,88798,85877,79276,26702,27652,3.557785934
25/03/2022 11:14,2021 - 2021,1,3,Other UK Airports,GLOUCESTERSHIRE,1306,1402,1256,1227,1210,1099,137,0,0,1,0,-100.000000000
25/03/2022 11:14,2021 - 2021,1,3,Other UK Airports,HUMBERSIDE,12843,12518,11672,11970,10911,9188,6803,7618,7341,3067,3697,20.541245517
25/03/2022 11:14,2021 - 2021,1,3,Other UK Airports,INVERNESS,10171,10377,10011,9624,10581,11206,12245,12007,12733,4620,5848,26.580086580
25/03/2022 11:14,2021 - 2021,1,3,Other UK Airports,ISLAY,1564,1353,1558,1540,1611,1612,1908,1832,2021,1192,1258,5.536912752
25/03/2022 11:14,2021 - 2021,1,3,Other UK Airports,ISLES OF SCILLY (ST.MARYS),10635,10157,10816,9483,10585,11575,10031,10587,10734,5345,7615,42.469597755
25/03/2022 11:14,2021 - 2021,1,3,Other UK Airports,ISLES OF SCILLY (TRESCO),1856,1560,0,0,0,0,0,0,0,0,0,
25/03/2022 11:14,2021 - 2021,1,3,Other UK Airports,KIRKWALL,10630,9728,10786,10747,10701,11045,12008,11840,11256,7452,8446,13.338701020
25/03/2022 11:14,2021 - 2021,1,3,Other UK Airports,LANDS END (ST JUST),5495,5785,6985,5530,8101,8819,7312,8587,8310,4196,5244,24.976167779
25/03/2022 11:14,2021 - 2021,1,3,Other UK Airports,LEEDS BRADFORD,33069,30223,30393,29873,31149,31679,34533,31525,29746,8123,8480,4.394927982
25/03/2022 11:14,2021 - 2021,1,3,Other UK Airports,LERWICK (TINGWALL),1539,1545,1329,1043,1161,1149,1023,955,904,481,729,51.559251559
25/03/2022 11:14,2021 - 2021,1,3,Other UK Airports,LIVERPOOL (JOHN LENNON),45634,35853,32947,29777,32882,38287,35435,35914,34976,13676,13233,-3.239251243
25/03/2022 11:14,2021 - 2021,1,3,Other UK Airports,LYDD,102,97,127,108,160,85,150,58,13,0,5,
25/03/2022 11:14,2021 - 2021,1,3,Other UK Airports,MANCHESTER,158025,160473,161050,162919,164710,184578,196490,194131,195926,63022,60376,-4.198533845
25/03/2022 11:14,2021 - 2021,1,3,Other UK Airports,MANSTON (KENT INT),1472,687,1640,621,0,0,0,0,0,0,0,
25/03/2022 11:14,2021 - 2021,1,3,Other UK Airports,NEWCASTLE,44646,43660,42974,42873,42069,42390,43917,42412,40169,12305,12751,3.624542869
25/03/2022 11:14,2021 - 2021,1,3,Other UK Airports,NEWQUAY,6906,4747,4966,5938,5976,7046,8230,7631,8206,1542,2146,39.169909209
25/03/2022 11:14,2021 - 2021,1,3,Other UK Airports,NORWICH,16361,15915,22056,23117,22898,23659,23564,20575,19729,10284,12133,17.979385453
25/03/2022 11:14,2021 - 2021,1,3,Other UK Airports,OXFORD (KIDLINGTON),68,713,579,55,6,23,2,3,0,8,11,37.500000000
