rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,total_atms,total_cancelled_atms,total_atms_excl_cancelled
25/03/2022 11:15,20211,Other UK Airports,ABERDEEN,"47,411",926,"46,485"
25/03/2022 11:15,20211,Non UK Reporting Airports,ALDERNEY,"3,341",,"3,341"
25/03/2022 11:15,20211,Other UK Airports,BARRA,"1,247",186,"1,061"
25/03/2022 11:15,20211,Other UK Airports,BELFAST CITY (GEORGE BEST),"12,217",151,"12,066"
25/03/2022 11:15,20211,Other UK Airports,BELFAST INTERNATIONAL,"24,008",,"24,008"
25/03/2022 11:15,20211,Other UK Airports,BENBECULA,"1,645",73,"1,572"
25/03/2022 11:15,20211,Other UK Airports,BIGGIN HILL,433,,433
25/03/2022 11:15,20211,Other UK Airports,BIRMINGHAM,"28,523",351,"28,172"
25/03/2022 11:15,20211,Other UK Airports,BOURNEMOUTH,"3,098",2,"3,096"
25/03/2022 11:15,20211,Other UK Airports,BRISTOL,"20,935",103,"20,832"
25/03/2022 11:15,20211,Other UK Airports,CAMPBELTOWN,917,219,698
25/03/2022 11:15,20211,Other UK Airports,CARDIFF WALES,"2,065",7,"2,058"
25/03/2022 11:15,20211,Other UK Airports,DONCASTER SHEFFIELD,"2,911",18,"2,893"
25/03/2022 11:15,20211,Other UK Airports,DUNDEE,995,23,972
25/03/2022 11:15,20211,Other UK Airports,EAST MIDLANDS INTERNATIONAL,"35,351",123,"35,228"
25/03/2022 11:15,20211,Other UK Airports,EDINBURGH,"39,457",365,"39,092"
25/03/2022 11:15,20211,Other UK Airports,EXETER,"4,076",,"4,076"
25/03/2022 11:15,20211,Other UK Airports,GLASGOW,"27,652",726,"26,926"
25/03/2022 11:15,20211,Other UK Airports,PRESTWICK,"2,050",1,"2,049"
25/03/2022 11:15,20211,Non UK Reporting Airports,GUERNSEY,"9,371",296,"9,075"
25/03/2022 11:15,20211,Other UK Airports,HUMBERSIDE,"3,697",520,"3,177"
25/03/2022 11:15,20211,Other UK Airports,INVERNESS,"5,848",47,"5,801"
25/03/2022 11:15,20211,Other UK Airports,ISLAY,"1,258",202,"1,056"
25/03/2022 11:15,20211,Non UK Reporting Airports,ISLE OF MAN,"4,612",93,"4,519"
25/03/2022 11:15,20211,Other UK Airports,ISLES OF SCILLY (ST.MARYS),"7,615",,"7,615"
25/03/2022 11:15,20211,Non UK Reporting Airports,JERSEY,"10,051",48,"10,003"
25/03/2022 11:15,20211,Other UK Airports,KIRKWALL,"8,446",481,"7,965"
25/03/2022 11:15,20211,Other UK Airports,LANDS END (ST JUST),"5,244",,"5,244"
25/03/2022 11:15,20211,Other UK Airports,LEEDS BRADFORD,"8,480",236,"8,244"
25/03/2022 11:15,20211,Other UK Airports,LERWICK (TINGWALL),729,,729
25/03/2022 11:15,20211,Other UK Airports,LIVERPOOL (JOHN LENNON),"13,233",102,"13,131"
25/03/2022 11:15,20211,London Area Airports,GATWICK,"52,344",207,"52,137"
25/03/2022 11:15,20211,London Area Airports,HEATHROW,"193,134","3,113","190,021"
25/03/2022 11:15,20211,London Area Airports,LONDON CITY,"12,921",268,"12,653"
25/03/2022 11:15,20211,London Area Airports,LUTON,"41,656",847,"40,809"
25/03/2022 11:15,20211,London Area Airports,STANSTED,"77,278",277,"77,001"
25/03/2022 11:15,20211,Other UK Airports,CITY OF DERRY (EGLINTON),"2,184",133,"2,051"
25/03/2022 11:15,20211,Other UK Airports,MANCHESTER,"60,376","1,090","59,286"
25/03/2022 11:15,20211,Other UK Airports,NEWCASTLE,"12,751",112,"12,639"
25/03/2022 11:15,20211,Other UK Airports,NEWQUAY,"2,146",22,"2,124"
25/03/2022 11:15,20211,Other UK Airports,NORWICH,"12,133",,"12,133"
25/03/2022 11:15,20211,Other UK Airports,OXFORD (KIDLINGTON),11,,11
25/03/2022 11:15,20211,Other UK Airports,SUMBURGH,"9,346",137,"9,209"
25/03/2022 11:15,20211,Other UK Airports,SHOREHAM,-,,-
25/03/2022 11:15,20211,Other UK Airports,SOUTHAMPTON,"8,464",362,"8,102"
25/03/2022 11:15,20211,London Area Airports,SOUTHEND,"1,544",3,"1,541"
25/03/2022 11:15,20211,Other UK Airports,STORNOWAY,"3,228",91,"3,137"
25/03/2022 11:15,20211,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,"3,987",1,"3,986"
25/03/2022 11:15,20211,Other UK Airports,TIREE,"1,264",85,"1,179"
25/03/2022 11:15,20211,Other UK Airports,LYDD,5,,5
25/03/2022 11:15,20211,Other UK Airports,WICK JOHN O GROATS,2,,2

