rundate,this_period,last_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,total_pax_tp,total_pax_lp,total_pax_pc,term_pax_tp,term_pax_lp,term_pax_pc,tran_pax_tp,tran_pax_lp,tran_pax_pc
3/25/2022 10:53:48 AM,2021,2020,1,1,London Area Airports,GATWICK,6261814,10173431,-38.449339264,6260072,10171867,-38.457001060,1742,1564,11.381074169
3/25/2022 10:53:48 AM,2021,2020,1,1,London Area Airports,HEATHROW,19393886,22111326,-12.289810209,19392178,22109550,-12.290489856,1708,1776,-3.828828829
3/25/2022 10:53:48 AM,2021,2020,1,1,London Area Airports,LONDON CITY,720580,908105,-20.650145082,720580,908105,-20.650145082,0,0,
3/25/2022 10:53:48 AM,2021,2020,1,1,London Area Airports,LUTON,4674800,5550821,-15.781827589,4673656,5550401,-15.796065906,1144,420,172.380952381
3/25/2022 10:53:48 AM,2021,2020,1,1,London Area Airports,SOUTHEND,94367,401143,-76.475471341,94367,401143,-76.475471341,0,0,
3/25/2022 10:53:48 AM,2021,2020,1,1,London Area Airports,STANSTED,7148200,7539689,-5.192375972,7145802,7536869,-5.188719613,2398,2820,-14.964539007
3/25/2022 10:53:48 AM,2021,2020,1,3,Other UK Airports,ABERDEEN,1075639,994077,8.204797013,1075639,994076,8.204905862,0,1,
3/25/2022 10:53:48 AM,2021,2020,1,3,Other UK Airports,BARRA,9956,6156,61.728395062,9954,6140,62.117263844,2,16,-87.500000000
3/25/2022 10:53:48 AM,2021,2020,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),812424,542547,49.742602945,812397,542523,49.744250474,27,24,12.500000000
3/25/2022 10:53:48 AM,2021,2020,1,3,Other UK Airports,BELFAST INTERNATIONAL,2328276,1747086,33.266250202,2327139,1746951,33.211463859,1137,135,742.222222222
3/25/2022 10:53:48 AM,2021,2020,1,3,Other UK Airports,BENBECULA,24202,14199,70.448623142,20320,12713,59.836387949,3882,1486,161.238223419
3/25/2022 10:53:48 AM,2021,2020,1,3,Other UK Airports,BIGGIN HILL,2612,1845,41.571815718,2612,1845,41.571815718,0,0,
3/25/2022 10:53:48 AM,2021,2020,1,3,Other UK Airports,BIRMINGHAM,2482430,2869582,-13.491581701,2476584,2865845,-13.582765293,5846,3737,56.435643564
