rundate,this_period,last_period,grp_cd,grp_name,apt1_apt_name,apt2_apt_name,total_pax_tp,total_pax_shd_tp,total_pax_cht_tp,total_pax_lp,total_pax_shd_lp,total_pax_cht_lp,total_pax_pc
25/03/2022 10:53,2021,2020,A,London Area Airports,GATWICK,ABERDEEN,51795,51795,0,67,67,0,77205.97015
25/03/2022 10:53,2021,2020,A,London Area Airports,GATWICK,BELFAST CITY (GEORGE BEST),94470,94470,0,0,0,0,0
25/03/2022 10:53,2021,2020,A,London Area Airports,GATWICK,BELFAST INTERNATIONAL,317963,317810,153,221958,221479,479,43.25368
25/03/2022 10:53,2021,2020,A,London Area Airports,GATWICK,BIRMINGHAM,906,0,906,1129,371,758,-19.75199
25/03/2022 10:53,2021,2020,A,London Area Airports,GATWICK,BLACKPOOL,0,0,0,78,0,78,-100
25/03/2022 10:53,2021,2020,A,London Area Airports,GATWICK,BRISTOL,99,76,23,314,181,133,-68.47134
25/03/2022 10:53,2021,2020,A,London Area Airports,GATWICK,CARDIFF WALES,172,0,172,0,0,0,0
25/03/2022 10:53,2021,2020,A,London Area Airports,GATWICK,DONCASTER SHEFFIELD,219,0,219,128,3,125,71.09375
25/03/2022 10:53,2021,2020,A,London Area Airports,GATWICK,DUNDEE,0,0,0,100,0,100,-100
25/03/2022 10:53,2021,2020,A,London Area Airports,GATWICK,EAST MIDLANDS INTERNATIONAL,200,0,200,159,0,159,25.78616
25/03/2022 10:53,2021,2020,A,London Area Airports,GATWICK,EDINBURGH,195780,195648,132,202694,202316,378,-3.41105
25/03/2022 10:53,2021,2020,A,London Area Airports,GATWICK,EXETER,0,0,0,17,0,17,-100
25/03/2022 10:53,2021,2020,A,London Area Airports,GATWICK,GLASGOW,194399,194342,57,175346,175346,0,10.86595
25/03/2022 10:53,2021,2020,A,London Area Airports,GATWICK,GUERNSEY,83183,83183,0,52504,52504,0,58.43174
25/03/2022 10:53,2021,2020,A,London Area Airports,GATWICK,HEATHROW,29,0,29,757,757,0,-96.16909
25/03/2022 10:53,2021,2020,A,London Area Airports,GATWICK,HUMBERSIDE,0,0,0,76,0,76,-100
25/03/2022 10:53,2021,2020,A,London Area Airports,GATWICK,INVERNESS,110958,110896,62,83462,83462,0,32.94433
25/03/2022 10:53,2021,2020,A,London Area Airports,GATWICK,ISLE OF MAN,49062,49062,0,31892,31892,0,53.83795
25/03/2022 10:53,2021,2020,A,London Area Airports,GATWICK,JERSEY,135794,135794,0,176871,176871,0,-23.22427
25/03/2022 10:53,2021,2020,A,London Area Airports,GATWICK,LEEDS BRADFORD,263,0,263,0,0,0,0
25/03/2022 10:53,2021,2020,A,London Area Airports,GATWICK,LIVERPOOL (JOHN LENNON),546,1,545,332,0,332,64.45783
25/03/2022 10:53,2021,2020,A,London Area Airports,GATWICK,LUTON,0,0,0,122,122,0,-100
25/03/2022 10:53,2021,2020,A,London Area Airports,GATWICK,MANCHESTER,1497,49,1448,1165,165,1000,28.49785
25/03/2022 10:53,2021,2020,A,London Area Airports,GATWICK,NEWCASTLE,268,152,116,466,122,344,-42.48927
25/03/2022 10:53,2021,2020,A,London Area Airports,GATWICK,NEWQUAY,10238,10238,0,0,0,0,0
25/03/2022 10:53,2021,2020,A,London Area Airports,GATWICK,NORWICH,110,0,110,77,0,77,42.85714
25/03/2022 10:53,2021,2020,A,London Area Airports,GATWICK,PRESTWICK,0,0,0,1,0,1,-100
25/03/2022 10:53,2021,2020,A,London Area Airports,GATWICK,SOUTHEND,0,0,0,42,0,42,-100
25/03/2022 10:53,2021,2020,A,London Area Airports,GATWICK,STANSTED,1009,90,919,453,269,184,122.73731
25/03/2022 10:53,2021,2020,A,London Area Airports,HEATHROW,ABERDEEN,244399,244399,0,203094,203094,0,20.33787
25/03/2022 10:53,2021,2020,A,London Area Airports,HEATHROW,BELFAST CITY (GEORGE BEST),338431,338431,0,261777,261777,0,29.28218
25/03/2022 10:53,2021,2020,A,London Area Airports,HEATHROW,BELFAST INTERNATIONAL,74,74,0,107,107,0,-30.84112
25/03/2022 10:53,2021,2020,A,London Area Airports,HEATHROW,DUNDEE,33,33,0,0,0,0,0
25/03/2022 10:53,2021,2020,A,London Area Airports,HEATHROW,EDINBURGH,381994,381701,293,329438,329381,57,15.95323
25/03/2022 10:53,2021,2020,A,London Area Airports,HEATHROW,GLASGOW,369026,368514,512,271723,271723,0,35.80963
25/03/2022 10:53,2021,2020,A,London Area Airports,HEATHROW,GUERNSEY,0,0,0,5477,5477,0,-100
25/03/2022 10:53,2021,2020,A,London Area Airports,HEATHROW,INVERNESS,63980,63980,0,42920,42920,0,49.06803
25/03/2022 10:53,2021,2020,A,London Area Airports,HEATHROW,ISLE OF MAN,6901,6901,0,794,794,0,769.14358
25/03/2022 10:53,2021,2020,A,London Area Airports,HEATHROW,JERSEY,157216,157171,45,56170,56170,0,179.89318
25/03/2022 10:53,2021,2020,A,London Area Airports,HEATHROW,LEEDS BRADFORD,0,0,0,21089,21089,0,-100
