run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,arrival_departure,scheduled_charter,number_flights_matched,actual_flights_unmatched,early_to_15_mins_late_percent,flts_16_to_30_mins_late_percent,flts_31_to_60_mins_late_percent,flts_61_to_180_mins_late_percent,flts_181_to_360_mins_late_percent,more_than_360_mins_late_percent,average_delay_mins,planned_flights_unmatched,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
07-Dec-2015 14:31,201412,BIRMINGHAM,AUSTRIA,INNSBRUCK,AUSTRIAN AIRLINES,A,C, 2 , 0 , 100 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
07-Dec-2015 14:31,201412,BIRMINGHAM,AUSTRIA,INNSBRUCK,AUSTRIAN AIRLINES,D,C, 3 , 0 , 66.6666666666667 , 0 , 33.3333333333333 , 0 , 0 , 0 , 15.6666666666667 , 0 , 0 , 0 , 0 
07-Dec-2015 14:31,201412,BIRMINGHAM,AUSTRIA,INNSBRUCK,CELLO AVIATION LTD,A,C, 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
07-Dec-2015 14:31,201412,BIRMINGHAM,AUSTRIA,INNSBRUCK,ESTONIAN AIR,A,C, 17 , 0 , 58.8235294117647 , 11.7647058823529 , 23.5294117647059 , 5.88235294117647 , 0 , 0 , 21.4705882352941 , 0 , 0 , 0 , 0 
07-Dec-2015 14:31,201412,BIRMINGHAM,AUSTRIA,INNSBRUCK,ESTONIAN AIR,D,C, 17 , 0 , 58.8235294117647 , 17.6470588235294 , 17.6470588235294 , 5.88235294117647 , 0 , 0 , 18 , 0 , 0 , 0 , 0 
07-Dec-2015 14:31,201412,BIRMINGHAM,AUSTRIA,INNSBRUCK,FLYBE LTD,A,C, 12 , 0 , 66.6666666666667 , 8.33333333333333 , 25 , 0 , 0 , 0 , 14.25 , 0 , 27 , 92.5925925925926 , 54.4444444444444 
07-Dec-2015 14:31,201412,BIRMINGHAM,AUSTRIA,INNSBRUCK,FLYBE LTD,D,C, 12 , 0 , 41.6666666666667 , 8.33333333333333 , 33.3333333333333 , 16.6666666666667 , 0 , 0 , 34.25 , 0 , 28 , 89.2857142857143 , 10.3571428571429 
07-Dec-2015 14:31,201412,BIRMINGHAM,AUSTRIA,INNSBRUCK,THOMSON AIRWAYS LTD,A,C, 15 , 0 , 86.6666666666667 , 0 , 0 , 6.66666666666667 , 6.66666666666667 , 0 , 32.0666666666667 , 0 , 15 , 66.6666666666667 , 29.2 
07-Dec-2015 14:31,201412,BIRMINGHAM,AUSTRIA,INNSBRUCK,THOMSON AIRWAYS LTD,D,C, 14 , 0 , 85.7142857142857 , 7.14285714285714 , 0 , 0 , 7.14285714285714 , 0 , 30.2857142857143 , 0 , 15 , 80 , 22.5333333333333 
07-Dec-2015 14:31,201412,BIRMINGHAM,AUSTRIA,INNSBRUCK,TYROLEAN AIRWAYS,A,C, 15 , 0 , 86.6666666666667 , 6.66666666666667 , 6.66666666666667 , 0 , 0 , 0 , 7.06666666666667 , 0 , 16 , 81.25 , 17.8125 
07-Dec-2015 14:31,201412,BIRMINGHAM,AUSTRIA,INNSBRUCK,TYROLEAN AIRWAYS,D,C, 14 , 0 , 85.7142857142857 , 14.2857142857143 , 0 , 0 , 0 , 0 , 6.14285714285714 , 0 , 16 , 68.75 , 24.3125 
07-Dec-2015 14:31,201412,BIRMINGHAM,AUSTRIA,KLAGENFURT,ESTONIAN AIR,D,C, 1 , 0 , 0 , 0 , 100 , 0 , 0 , 0 , 35 , 0 , 0 , 0 , 0 
07-Dec-2015 14:31,201412,BIRMINGHAM,AUSTRIA,SALZBURG,ESTONIAN AIR,A,C, 16 , 0 , 81.25 , 6.25 , 6.25 , 0 , 0 , 6.25 , 40.0625 , 0 , 0 , 0 , 0 
07-Dec-2015 14:31,201412,BIRMINGHAM,AUSTRIA,SALZBURG,ESTONIAN AIR,D,C, 16 , 0 , 75 , 6.25 , 12.5 , 0 , 0 , 6.25 , 44.25 , 0 , 0 , 0 , 0 
07-Dec-2015 14:31,201412,BIRMINGHAM,AUSTRIA,SALZBURG,FLYBE LTD,A,C, 40 , 0 , 85 , 7.5 , 2.5 , 2.5 , 0 , 2.5 , 40.225 , 0 , 59 , 86.4406779661017 , 8.5593220338983 
07-Dec-2015 14:31,201412,BIRMINGHAM,AUSTRIA,SALZBURG,FLYBE LTD,D,C, 38 , 0 , 36.8421052631579 , 23.6842105263158 , 18.4210526315789 , 21.0526315789474 , 0 , 0 , 30.3421052631579 , 0 , 60 , 71.6666666666667 , 13.7 
07-Dec-2015 14:31,201412,BIRMINGHAM,AUSTRIA,SALZBURG,MONARCH AIRLINES,A,S, 2 , 0 , 100 , 0 , 0 , 0 , 0 , 0 , 6 , 0 , 0 , 0 , 0 
07-Dec-2015 14:31,201412,BIRMINGHAM,AUSTRIA,SALZBURG,MONARCH AIRLINES,D,S, 2 , 0 , 50 , 0 , 50 , 0 , 0 , 0 , 19 , 0 , 0 , 0 , 0 
07-Dec-2015 14:31,201412,BIRMINGHAM,AUSTRIA,SALZBURG,THOMSON AIRWAYS LTD,A,C, 13 , 0 , 100 , 0 , 0 , 0 , 0 , 0 , 0.384615384615385 , 0 , 13 , 92.3076923076923 , 2.38461538461538 
07-Dec-2015 14:31,201412,BIRMINGHAM,AUSTRIA,SALZBURG,THOMSON AIRWAYS LTD,D,C, 13 , 0 , 76.9230769230769 , 15.3846153846154 , 7.69230769230769 , 0 , 0 , 0 , 12.6923076923077 , 0 , 13 , 92.3076923076923 , 9.30769230769231 
07-Dec-2015 14:31,201412,BIRMINGHAM,BANGLADESH,DHAKHA,BIMAN BANGLADESH AIRLINES,A,C, 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
07-Dec-2015 14:31,201412,BIRMINGHAM,BARBADOS,BRIDGETOWN,THOMSON AIRWAYS LTD,A,C, 59 , 0 , 64.4067796610169 , 11.864406779661 , 8.47457627118644 , 10.1694915254237 , 1.69491525423729 , 3.38983050847458 , 38.0508474576271 , 0 , 44 , 63.6363636363636 , 26.4772727272727 
07-Dec-2015 14:31,201412,BIRMINGHAM,BARBADOS,BRIDGETOWN,THOMSON AIRWAYS LTD,D,C, 60 , 0 , 58.3333333333333 , 18.3333333333333 , 10 , 10 , 0 , 3.33333333333333 , 35.7 , 0 , 44 , 61.3636363636364 , 29.4772727272727 
07-Dec-2015 14:31,201412,BIRMINGHAM,BELGIUM,ANTWERP,CITY JET,A,C, 1 , 0 , 100 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
07-Dec-2015 14:31,201412,BIRMINGHAM,BELGIUM,ANTWERP,VLM (BELGIUM),A,C, 1 , 0 , 100 , 0 , 0 , 0 , 0 , 0 , 12 , 0 , 0 , 0 , 0 
07-Dec-2015 14:31,201412,BIRMINGHAM,BELGIUM,ANTWERP,VLM (BELGIUM),D,C, 1 , 0 , 100 , 0 , 0 , 0 , 0 , 0 , 10 , 0 , 0 , 0 , 0 
07-Dec-2015 14:31,201412,BIRMINGHAM,BELGIUM,BRUSSELS,BMI REGIONAL,A,S, 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
07-Dec-2015 14:31,201412,BIRMINGHAM,BELGIUM,BRUSSELS,BRUSSELS AIRLINES,A,S, 1285 , 3 , 76.0311284046693 , 11.1284046692607 , 9.0272373540856 , 3.73540856031128 , 7.78210116731518E-02 , 0 , 11.7789883268482 , 11 , 1265 , 84.5059288537549 , 7.80316205533597 
07-Dec-2015 14:31,201412,BIRMINGHAM,BELGIUM,BRUSSELS,BRUSSELS AIRLINES,D,S, 1286 , 0 , 69.5178849144635 , 14.8522550544323 , 10.1866251944012 , 5.36547433903577 , 7.77604976671851E-02 , 0 , 15.0272161741835 , 10 , 1265 , 84.3478260869565 , 7.89881422924901 
07-Dec-2015 14:31,201412,BIRMINGHAM,BELGIUM,KORTRIJK/WEVELGEM,VLM (BELGIUM),A,C, 1 , 0 , 0 , 100 , 0 , 0 , 0 , 0 , 23 , 0 , 0 , 0 , 0 
