run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,arrival_departure,scheduled_charter,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_unmatched_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
15/07/2022 14:18,2019,ABERDEEN,CANADA,TORONTO,SUNWING AIRLINES INC,A,C,1,0,0,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,
15/07/2022 14:18,2019,ABERDEEN,CANADA,TORONTO,SUNWING AIRLINES INC,D,C,1,0,0,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7,0,0.000000,
15/07/2022 14:18,2019,ABERDEEN,BULGARIA,BURGAS,BH AIR,A,C,24,0,0,0.000000,58.333333,33.333333,0.000000,4.166667,0.000000,4.166667,0.000000,0.000000,0.000000,0.000000,10,24,95.833333,6
15/07/2022 14:18,2019,ABERDEEN,BULGARIA,BURGAS,BH AIR,D,C,22,0,0,4.545455,31.818182,45.454545,9.090909,4.545455,0.000000,4.545455,0.000000,0.000000,0.000000,0.000000,11,23,82.608696,13
15/07/2022 14:18,2019,ABERDEEN,GEORGIA,TBILISI,MALETH AERO,A,C,1,0,0,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,
15/07/2022 14:18,2019,ABERDEEN,GEORGIA,TBILISI,MALETH AERO,D,C,1,0,0,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,
15/07/2022 14:18,2019,ABERDEEN,LATVIA,RIGA,AIR BALTIC,A,S,52,0,0,0.000000,34.615385,44.230769,7.692308,1.923077,9.615385,1.923077,0.000000,0.000000,0.000000,0.000000,16,37,81.081081,10
15/07/2022 14:18,2019,ABERDEEN,LATVIA,RIGA,AIR BALTIC,D,S,52,0,0,1.923077,26.923077,46.153846,11.538462,3.846154,7.692308,1.923077,0.000000,0.000000,0.000000,0.000000,17,37,81.081081,10
15/07/2022 14:18,2019,ABERDEEN,POLAND,GDANSK,WIZZ AIR,A,S,136,0,0,23.529412,39.705882,26.470588,3.676471,4.411765,1.470588,0.735294,0.000000,0.000000,0.000000,0.000000,7,105,83.962264,9
15/07/2022 14:18,2019,ABERDEEN,POLAND,GDANSK,WIZZ AIR,D,S,136,0,0,0.735294,34.558824,50.000000,5.882353,5.882353,2.205882,0.735294,0.000000,0.000000,0.000000,0.000000,9,105,79.245283,11
15/07/2022 14:18,2019,ABERDEEN,POLAND,WARSAW (CHOPIN),WIZZ AIR,A,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,6,66.666667,15
15/07/2022 14:18,2019,ABERDEEN,POLAND,WARSAW (CHOPIN),WIZZ AIR,D,S,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,6,50.000000,28
15/07/2022 14:18,2019,ABERDEEN,UNITED KINGDOM,BELFAST CITY (GEORGE BEST),FLYBE LTD,A,S,315,0,1,2.848101,48.101266,34.493671,4.430380,4.430380,2.848101,1.582278,0.949367,0.000000,0.000000,0.316456,11,342,84.637681,10
15/07/2022 14:18,2019,ABERDEEN,UNITED KINGDOM,BELFAST CITY (GEORGE BEST),FLYBE LTD,D,S,314,0,1,0.000000,49.523810,36.825397,6.031746,3.174603,2.857143,0.317460,0.952381,0.000000,0.000000,0.317460,10,342,86.705202,8
15/07/2022 14:18,2019,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,AVANTI AIR BEDARFSFLUGGES,D,C,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,1,0.000000,56
15/07/2022 14:18,2019,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,FLYBE LTD,A,S,890,0,6,6.250000,41.741071,32.142857,8.593750,5.468750,3.571429,1.450893,0.111607,0.000000,0.000000,0.669643,11,908,81.690141,12
