Year:year,Member State:text,Greenhouse gas (GHG) emission intensity:number,Indicative level-high:number,Indicative level-low:number
2020,EU-27,,265,265
2030,EU-27,,118,110
1990,EU-27,501,,
1991,EU-27,490,,
1992,EU-27,478,,
1993,EU-27,459,,
1994,EU-27,456,,
1995,EU-27,445,,
1996,EU-27,432,,
1997,EU-27,419,,
1998,EU-27,420,,
1999,EU-27,410,,
2000,EU-27,394,,
2001,EU-27,388,,
2002,EU-27,394,,
2003,EU-27,391,,
2004,EU-27,379,,
2005,EU-27,378,,
2006,EU-27,377,,
2007,EU-27,385,,
2008,EU-27,363,,
2009,EU-27,350,,
2010,EU-27,335,,
2011,EU-27,342,,
2012,EU-27,338,,
2013,EU-27,321,,
2014,EU-27,312,,
2015,EU-27,312,,
2016,EU-27,302,,
2017,EU-27,302,,
2018,EU-27,289,,
2019,EU-27,254,,
2020,EU-27,227,,
2021,EU-27,237,,
2022,EU-27,258,,
1990,Sweden,10,,
1991,Sweden,15,,
1992,Sweden,16,,
1993,Sweden,18,,
1994,Sweden,24,,
1995,Sweden,20,,
1996,Sweden,47,,
1997,Sweden,22,,
1998,Sweden,24,,
1999,Sweden,19,,
2000,Sweden,17,,
2001,Sweden,19,,
2002,Sweden,26,,
2003,Sweden,35,,
2004,Sweden,21,,
2005,Sweden,17,,
2006,Sweden,20,,
2007,Sweden,17,,
2008,Sweden,17,,
2009,Sweden,17,,
2010,Sweden,22,,
2011,Sweden,16,,
2012,Sweden,12,,
2013,Sweden,12,,
2014,Sweden,11,,
2015,Sweden,9,,
2016,Sweden,11,,
2017,Sweden,11,,
2018,Sweden,11,,
2019,Sweden,10,,
2020,Sweden,8,,
2021,Sweden,9,,
2022,Sweden,8,,
1990,Luxembourg,418,,
1991,Luxembourg,449,,
1992,Luxembourg,513,,
1993,Luxembourg,625,,
1994,Luxembourg,522,,
1995,Luxembourg,1058,,
1996,Luxembourg,1048,,
1997,Luxembourg,581,,
1998,Luxembourg,327,,
1999,Luxembourg,450,,
2000,Luxembourg,92,,
2001,Luxembourg,166,,
2002,Luxembourg,274,,
2003,Luxembourg,246,,
2004,Luxembourg,266,,
2005,Luxembourg,262,,
2006,Luxembourg,262,,
2007,Luxembourg,261,,
2008,Luxembourg,234,,
2009,Luxembourg,275,,
2010,Luxembourg,228,,
2011,Luxembourg,231,,
2012,Luxembourg,234,,
2013,Luxembourg,185,,
2014,Luxembourg,196,,
2015,Luxembourg,138,,
2016,Luxembourg,72,,
2017,Luxembourg,65,,
2018,Luxembourg,65,,
2019,Luxembourg,68,,
2020,Luxembourg,57,,
2021,Luxembourg,58,,
2022,Luxembourg,62,,
1990,Finland,195,,
1991,Finland,175,,
1992,Finland,154,,
1993,Finland,189,,
1994,Finland,249,,
1995,Finland,222,,
1996,Finland,275,,
1997,Finland,253,,
1998,Finland,204,,
1999,Finland,190,,
2000,Finland,158,,
2001,Finland,203,,
2002,Finland,225,,
2003,Finland,285,,
2004,Finland,238,,
2005,Finland,146,,
2006,Finland,244,,
2007,Finland,219,,
2008,Finland,160,,
2009,Finland,175,,
2010,Finland,214,,
2011,Finland,172,,
2012,Finland,123,,
2013,Finland,158,,
2014,Finland,137,,
2015,Finland,98,,
2016,Finland,107,,
2017,Finland,93,,
2018,Finland,109,,
2019,Finland,85,,
2020,Finland,64,,
2021,Finland,69,,
2022,Finland,62,,
1990,Latvia,345,,
1991,Latvia,296,,
1992,Latvia,318,,
1993,Latvia,243,,
1994,Latvia,181,,
1995,Latvia,122,,
1996,Latvia,197,,
1997,Latvia,124,,
1998,Latvia,96,,
1999,Latvia,161,,
2000,Latvia,117,,
2001,Latvia,114,,
2002,Latvia,123,,
2003,Latvia,130,,
2004,Latvia,92,,
2005,Latvia,86,,
2006,Latvia,109,,
2007,Latvia,103,,
2008,Latvia,111,,
2009,Latvia,97,,
2010,Latvia,121,,
2011,Latvia,131,,
2012,Latvia,90,,
2013,Latvia,127,,
2014,Latvia,127,,
2015,Latvia,146,,
2016,Latvia,117,,
2017,Latvia,65,,
2018,Latvia,146,,
2019,Latvia,150,,
2020,Latvia,103,,
2021,Latvia,97,,
2022,Latvia,66,,
1990,France,205,,
1991,France,172,,
1992,France,174,,
1993,France,161,,
1994,France,148,,
1995,France,136,,
1996,France,136,,
1997,France,133,,
1998,France,156,,
1999,France,111,,
2000,France,72,,
2001,France,54,,
2002,France,62,,
2003,France,68,,
2004,France,65,,
2005,France,83,,
2006,France,86,,
2007,France,90,,
2008,France,81,,
2009,France,79,,
2010,France,78,,
2011,France,70,,
2012,France,77,,
2013,France,73,,
2014,France,55,,
2015,France,58,,
2016,France,66,,
2017,France,73,,
2018,France,59,,
2019,France,59,,
2020,France,55,,
2021,France,58,,
2022,France,74,,
1990,Austria,232,,
1991,Austria,240,,
1992,Austria,187,,
1993,Austria,172,,
1994,Austria,190,,
1995,Austria,199,,
1996,Austria,206,,
1997,Austria,206,,
1998,Austria,180,,
1999,Austria,164,,
2000,Austria,155,,
2001,Austria,172,,
2002,Austria,164,,
2003,Austria,204,,
2004,Austria,184,,
2005,Austria,179,,
2006,Austria,174,,
2007,Austria,160,,
2008,Austria,146,,
2009,Austria,130,,
2010,Austria,153,,
2011,Austria,160,,
2012,Austria,116,,
2013,Austria,106,,
2014,Austria,92,,
2015,Austria,107,,
2016,Austria,94,,
2017,Austria,103,,
2018,Austria,100,,
2019,Austria,91,,
2020,Austria,78,,
2021,Austria,81,,
2022,Austria,80,,
1990,Slovakia,468,,
1991,Slovakia,413,,
1992,Slovakia,346,,
1993,Slovakia,332,,
1994,Slovakia,280,,
1995,Slovakia,256,,
1996,Slovakia,254,,
1997,Slovakia,270,,
1998,Slovakia,247,,
1999,Slovakia,220,,
2000,Slovakia,210,,
2001,Slovakia,216,,
2002,Slovakia,203,,
2003,Slovakia,218,,
2004,Slovakia,222,,
2005,Slovakia,194,,
2006,Slovakia,184,,
2007,Slovakia,186,,
2008,Slovakia,189,,
2009,Slovakia,166,,
2010,Slovakia,141,,
2011,Slovakia,152,,
2012,Slovakia,149,,
2013,Slovakia,131,,
2014,Slovakia,118,,
2015,Slovakia,125,,
2016,Slovakia,117,,
2017,Slovakia,112,,
2018,Slovakia,134,,
2019,Slovakia,120,,
2020,Slovakia,104,,
