"Airport","Year","Passengers"
"Eurostar",1995,3e+06
"Eurostar",1996,4900000
"Eurostar",1997,6e+06
"Eurostar",1998,6300000
"Eurostar",1999,6600000
"Eurostar",2000,7100000
"Eurostar",2001,7e+06
"Eurostar",2002,6600000
"Eurostar",2003,6300000
"Eurostar",2004,7300000
"Eurostar",2005,7500000
"Eurostar",2006,7900000
"Eurostar",2007,8300000
"Eurostar",2008,9100000
"Eurostar",2009,9200000
"Eurostar",2010,9500000
"Eurostar",2011,9700000
"Eurostar",2012,9900000
"Eurostar",2013,1e+07
"Eurostar",2014,10200000
"Eurostar",2015,10200000
"Eurostar",2016,1e+07
"Eurostar",2017,10100000
"Eurostar",2018,1.1e+07
