"airport1","airport1_country","airport2","airport2_country","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","flt_1990","flt_1991","flt_1992","flt_1993","flt_1994","flt_1995","flt_1996","flt_1997","flt_1998","flt_1999","flt_2000","flt_2001","flt_2002","flt_2003","flt_2004","flt_2005","flt_2006","flt_2007","flt_2008","flt_2009","flt_2010","flt_2011","flt_2012","flt_2013","flt_2014","flt_2015","flt_2016","flt_2017","flt_2018","length_km","pass_km_2018"
"Biggin Hill","United Kingdom","Paris (Charles De Gaulle)","France",0,0,0,0,72,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,314.8,0
"Biggin Hill","United Kingdom","Paris (Le Bourget)","France",0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,314.8,0
"Biggin Hill","United Kingdom","Paris (Orly)","France",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334.7,0
"Gatwick","United Kingdom","Antwerp","Belgium",48333,21380,41172,41028,45988,53575,54885,50388,9072,113,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,45,0,2372,1384,1966,1918,2008,2017,2030,1942,456,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,324.7,0
"Gatwick","United Kingdom","Beauvais","France",63368,34933,20143,36,122,249,0,0,0,0,0,0,0,0,0,0,0,465,0,0,0,0,0,0,0,0,0,0,0,381,266,170,1,2,7,1,0,0,0,0,1,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,249.8,0
"Gatwick","United Kingdom","Brussels","Belgium",186043,121349,112678,138156,138479,125958,126629,173807,227837,227946,118970,54050,49356,71831,60149,50432,60222,59556,58233,46462,657,223,0,0,97731,93791,14742,2240,12304,2881,2871,2048,2620,2577,2537,2303,3508,4891,4625,3031,1342,1134,1238,1091,1072,1203,1262,1353,1269,25,2,0,1,940,789,122,2,2,328.6,4043094.4
"Gatwick","United Kingdom","Paris (Charles De Gaulle)","France",858044,566961,540481,498015,469254,352728,314167,305433,314002,322498,312083,281754,278064,288997,211224,473,1444,1531,809,57,377,122,45,0,144865,206338,329847,455425,486072,11544,7631,7478,5616,5153,4134,3651,3560,3598,3569,3484,3421,3632,3960,2756,18,16,15,10,5,11,3,2,2,1080,1490,2569,3105,3243,308.3,149855997.6
"Gatwick","United Kingdom","Paris (Le Bourget)","France",80,4,0,0,58,50,32,0,0,0,0,0,0,0,0,6,0,0,29,46,0,0,0,0,0,705,206,0,0,2,2,0,2,6,1,3,1,0,3,0,0,3,3,4,2,1,0,6,5,0,0,0,0,0,7,5,2,1,307.6,0
"Gatwick","United Kingdom","Paris (Orly)","France",15283,4389,5381,2737,42652,61588,1044,188,0,0,0,0,0,0,0,0,0,0,0,162,0,0,52,0,0,0,1,638,105,115,42,27,11,663,1050,23,2,0,0,0,0,3,0,0,2,1,0,0,2,1,0,2,1,1,0,0,4,1,326,34230
"Gatwick","United Kingdom","Pontoise","France",1392,1814,6349,7027,6372,5832,1538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571,588,900,1044,1019,1015,252,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,277.8,0
"Heathrow","United Kingdom","Antwerp","Belgium",42177,40440,36362,35977,30899,30238,29220,7455,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1069,1086,1082,1091,1112,1104,1099,264,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,343.9,0
"Heathrow","United Kingdom","Beauvais","France",139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288.9,0
"Heathrow","United Kingdom","Brussels","Belgium",773948,754502,881925,921326,1008819,964228,974111,1068698,1064499,1080766,1163880,1022320,968982,838337,854968,811485,740218,689237,616686,526394,492723,516626,547617,568755,574569,628148,571967,651009,672319,9054,8991,12554,14713,15398,15049,14396,13909,13860,13820,14114,13723,14212,10106,9519,9589,9378,9353,8553,8210,6586,6621,6923,6397,6108,6115,5545,6014,5877,351.1,236051200.9
"Heathrow","United Kingdom","Charleroi","Belgium",19,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362.8,0
"Heathrow","United Kingdom","Grimbergen","Belgium",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343.8,0
"Heathrow","United Kingdom","Paris (Charles De Gaulle)","France",2500053,2498696,2813883,2913987,2832621,1972210,1893779,1839086,1846290,1883927,1964525,2120079,2150791,1970345,1995763,2010765,1970532,1789538,1489167,1338307,1299701,1272349,1167557,1209683,1247665,1252777,1143213,1207929,1250771,15905,18754,20715,21021,20058,17298,17783,17655,18684,18885,19172,21388,20750,20186,19750,18761,18560,15921,12624,11758,11255,11254,10231,9765,9980,9961,9689,9420,9619,347.5,434642922.5
"Heathrow","United Kingdom","Paris (Le Bourget)","France",112,127,88,158,0,20,199,0,0,0,0,0,0,0,0,38,76,0,6,114,26,50,0,66,5,33,0,0,0,0,19,0,3,31,2,0,1,0,1,2,6,16,13,14,6,7,2,6,11,3,8,1,4,2,8,1,0,0,347,0
"Heathrow","United Kingdom","Paris (Orly)","France",3134,1135,3235,979,361815,697919,498722,433607,451056,428877,378915,38002,11,0,0,0,0,0,0,0,0,162170,229965,267436,298414,321622,282673,226685,176,8,10,7,4,3686,8729,5774,3960,4210,4186,3813,488,2,5,1,0,3,5,4,1,4,1915,2771,2779,2807,2779,2700,2014,1,365.8,64380.8
"London City","United Kingdom","Antwerp","Belgium",0,0,0,22954,48166,58236,58187,66415,78775,79484,83802,81632,76326,80226,84153,83494,83513,87228,79830,71302,74385,79134,72215,70991,56379,58548,54885,50564,27525,0,0,0,0,0,0,0,2139,2829,2827,2842,2785,2774,2811,2981,2868,2868,2864,2545,2480,2539,2673,2537,2525,2134,1921,1730,1814,0,309.3,8513482.5
"London City","United Kingdom","Brussels","Belgium",44011,46273,31575,33460,44536,38857,41799,61066,74728,77138,86986,56283,52774,70348,63628,63304,65009,48649,22002,3738,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,2064,3161,2997,2574,2250,2419,2570,2730,2559,2660,2011,1223,371,1,0,0,1,0,0,0,0,0,317.2,21252.4
"London City","United Kingdom","Paris (Charles De Gaulle)","France",106617,85603,81523,64588,77031,65091,42910,95242,77830,72121,96101,88140,71331,43035,19891,14558,14632,4825,40809,13688,0,0,0,0,58,0,13036,4092,0,0,0,0,0,0,0,0,1804,1884,1872,2562,2473,2111,1631,783,551,556,214,992,438,0,0,0,0,0,0,402,131,0,329.8,0
