"","region","pass_2019_FALSE","pass_2019_TRUE","pass_km_2019_FALSE","pass_km_2019_TRUE","emissions_2019_FALSE","emissions_2019_TRUE"
"1","Austria",1704663,702665,2377493557.4,811436746.3,417630518.292884,142536978.855058
"2","Belgium",39,1558682,36160.8,870909316.7,6352.006128,152983930.571522
"3","Denmark",576403,2990060,516899758.2,3311935534.2,90798611.525412,581774595.937572
"4","France",2134542,11456486,2496389918.6,9032240276.8,438515853.101276,1586603327.02269
"5","Germany",63888,14469909,76663652.9,13149679628.8,13466737.268414,2309872723.59501
"6","Italy",3136035,12916623,5867056284.2,17036806748.2,1030607106.88257,2992685473.38881
"7","Luxembourg",548,591384,434006.2,360773770,76237.529092,63373520.4382
"8","Netherlands",227719,11085949,183377204.6,5689737997.3,32212039.760036,999459376.605718
"9","Spain",19736749,24897360,48177639873.9,39593090034.3,8462884220.24927,6954922195.42514
"10","Sweden",2691469,561,3884763475.8,619507.5,682397552.159028,108822.68745
"11","Switzerland",25797,5882565,33116212.2,5468097466.9,5817193.835052,960526001.035654
"12","United Kingdom",9522957,11807202,3868901524.8,6884653791.2,1094280107.27443,1947255478.30301
"13","Africa",6586309,0,35819777528.1,0,7774324514.69882,0
"14","Americas",30790769,0,222836567624.8,0,48364448637.2866,0
"15","Asia",36114292,0,223785790727.2,0,48570468019.4315,0
"16","Europe",65745129,0,105447865634.2,0,18590964266.4715,0
"17","Oceania",355891,0,5995534189,0,1301270740.38056,0
